Table: Table_1
Comtés - Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
Richmond,Brompton, canton,,,,2,,,,,,,,,,,,,,,,,,,
,Windsor, canton,,,,1,,,,,,,,,,,,,,,,,,,
,Windsor, ville,,,,,,,1,,,,,,,,,,,,,,,,
Rimouski,Rimouski,,,,,,,,,,,,,,4,,1,,,,,,,
Rouville,Rougemont,,,,2,,,,,,,,,,,,,,,,,,,
,St-Ange-Gardien,,,,,,,,,,,,,,3,,,,,,,,,
,Marieville,,,,,,,,,,,,,,,,,,,1,,,,
Shefford,Granby,,,,,,,,,,,,,,2,,,,,,,,,
Sherbrooke,Sherbrooke,,,,4,,,,,,,,,,,,12,,,,,,,
,Lennoxville,,,,,,,,,,,,,,,,1,,,,,,,
,St-Elie d'Orford,,,,,,,,,,,,,,,,1,,,,,,,
Soulanges,St-Télesphore,,,,3,,,,,,,,,,,,,,,,,,,
,Côteau Station,,,,,,,,,,,,,,,,,,,1,,,,
Stanstead,Coaticook,,,,,,,,,,,,,,,,1,,,,,,,
,Dixville,,,,,,,,,,,,,,,,1,,,,,,,
,West Hatley,,,,,,,,,,,,,,1,,,,,,,,,
St-Hyacinthe,St-Hyacinthe,,,,4,,,,,,,1,,,7,,,,,,,,8,
,La Présentation,,,,1,,,,,,,,,,,,,,,,,,,
,St-Barnabé Sud,,,,1,,,,,,,,,,,,,,,,,,,
,La Providence,,,,,,,,,,,,,,,,,,,,,1,,
St-Maurice,Charette,,,,3,,,,,,,,,,,,,,,,,,,
,Shawinigan Falls,,,,,,,,,2,,,,,,,,,,,,,,
Témiscouata,Ile Verte,,,,,,,,,,,,,,,,,,,,,,8,
,Rivière du Loup,,,,3,,,,,,,,,,,,5,,,1,,,,
,St-Epiphane,,,,,,,,,,,,,,,,,,,,,1,,
,Trois Pistoles,,,,,,,,,,,,,,,,4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Table: Table_2
,,,,,,,,,,,,,,,,,,,,,,,,
,Ste-Rose du Dégelé,,,6,,,,,,,,,,,,,2,,,1,,,,
,Cacouna,,,,9,,,,,,,,,,,,,,,,,,,
Terrebonne,St-Jérôme,,,,,,,,,,,,,,,,,,,,,,,
,Ste-Thérèse,,,,2,,,,,,,,,,,,,,,,,,,
,Lac la Pêche,,,,1,,,,,,,,,,,,,,,,,,,
,St-Janvier,,,,4,,,,,,,,,,,,,,,,,,,
,De Salaberry & Grandison Abererombie,,,,1 1,,,,,,,,,,1,,,,,,,,,
Vaudreuil,Vaudreuil,,,,,,,,,,,,,,,,,,,,,,2,1
Verchères,Ste-Théodosie,,,,2,,,,,,,3,,,2,,13,,,,,,,
Westmount,Outremont,,,,2,,,,,,,,,,,,6,,,,,1,,
,Westmount,,,,,,,,,,,,,,,,,,,,,,,
Wolfe,St-Camille,,,,5,,,,,,,1,,,,,,,,,,,,
Yamaska,St-Joseph,,,,,,,,,,,,,,,,,,,,,33,219,31
,Totaux-Totals,,,65,226,1,16,50,,6,3,149,,,258,21,468,,,211,,,,
Table: Table_3
,Montréal,,,50,103,,39,22,,,1,102,,,331,32,354 68,,,184 12,,5 2,160 8,
,Québec,,,,8,,,,,,,,,,1,,,,,,,,,
,Trois-Rivières,,,,,,,,,,,,,,,,,,,,,,,
Abitibi,Amos,,,,4,,,,,,,,,,,,,,,,,1,,
,Poularis,,,,,,,,,,,,,,,,2,,,,,,,
,Taschereau,,,,,,,,,,,,,,,,2,,,,,,,
Argenteuil,Grenville & Augmentation,,,,,,,,,,,,,,,,,,,,,1,,
Arthabaska,St-Albert de Warwick,,,,,,,,,,,,,,,,,,,1,,,,
,St-Louis de Blandford,,,,,,,,,,,,,,,,,,,,,1,,
Beauce,St-Joseph,,,,,,,,,,,,,,,,,,,,,1,,
,St-Georges,,,,,,,,,,,,,,,,1,,,,,,,
,Ste-Marie,,,,,,,,,,,,,,,1,,,,,,,,
,Shenly,,,,1,,,,,,,,,,,,,,,,,,6,
,Aubert Gallion,,,,,,,,,,,,,,1,,,,,,,,,
Beauharnois,Valleyfield,,,,,,,,,,,,,,,,2,,,,,,,
Berthier,Lanoraie,,,,1,,,,,,,,,,,,1,,,,,,,
,Lavaltrie,,,,,,,,,,,,,,,,,,,,,,,
Brôme,Potton,,,,1,,,,,,,,,,,,,,,,,,,
,Sutton, township,,,,2,,,,,,,,,,,,2,,,,,,,
,Knowlton, village Sutton, village,,,,,,,,,,,,,,1,,,,,,,,,
