Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox,
Chambly,St-Lambert,,,,,,,,,,,,,,,,1,,,,,,,,
,Longueuil,,,,,,,,,,,,,,5,,3,,,,,,,,
Châteauguay,Châteauguay,,,,,,,,,,,,,,,,1,,,,,,,,
,St-Malachie d'Ormstown,,,,,,,,,,,,,,,,1,,,,,,,,
Chicoutimi,Jonquière,,,,,,,,,,,,,,,,,,,,,,,2,
Compton,Clifton East,,,,1,,,,,,,,,,,,,,,,,,,,
,Waterville,,,,,,,,,,,,,,,,1,,,,,,,,
Drummond,Wickham Ouest,,,,,,,,,,,,,,,,,,,,,2,,,
Gaspé,Sydenham Sud,,,,,,,,,,,,,,,,1,,,,,,,,
Hull,Kensington,,,,,,,,,,,,,,,,,,,,,,,1,
Jącques-Cartier,Verdun,,,,4,,3,,,,,,,,3,,31,,,11,,6,5,,
,Lachine,,,,1,,1,,,,,,,,1,7,7,,,2,,6,3,,
,St-Laurent, ville,,,,1,,,,,,,,,,,3,2,,,,,,,,
,St-Laurent, paroisse,,,,,,,,,,,,,,,,,,,1,,,,,
,Ville St-Pierre,,,,2,,1,,,,,,,,,,,,,1,,,,,
,Pointe-Claire,,,2,,,,,,1,,,,,15,,2,,,,,,,,
,Town of Mount Royal,,,,,,,,,,,,,,,,2,,,1,,,,,
,Ste-Anne de Bellevue,,,,,,,,,,,,,,,,2,,,2,,,,,
,Notre-Dame de Liesse,,,8,,,,,,1,,2,,,147,,,,,,,,,,
,Côte St-Lue,,,,,,,,,,,,,,4,,,,,,,,,,
Joliette,Joliette,,,,4,,,,,,,,,,31,,,,,,,,,,
Kamouraska,Ste-Anne de la Pocatière,,,,,,,,,,,,,,,,,,,,,2,,,
,St-Philippe de Néri,,,,,,,,,,,,,,,,,,,1,,,,,
,St-Alexandre,,,,,,,,,,,,,,,,,,,1,,,,,
Lac St-Jean,St-François de Sales,,,,,,,,,,,,,,,,,,,,,3,,,
,St-Jérôme,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Laprairie,Caughnawaga,,,,,,1,,,,,,,,,,,,,,,4,,,
L'Assomption,St-Lin,,,,,,,,,,,,,,,,,,,,,1,,,
Laval,Ste-Rose, paroisse,,,,1,,,,,,,,,,,,,,,,,,,,
,Montréal-Nord,,,,5,,,,,,,1,,,,,,,,,,,,,
,Pointe aux Trembles,,,,,,,,,,,,,,,,2,,,,,,,,
,St-Vincent de Paul,,,,,,,,,,,,,,,,,,,1,,,,,
,St-Jean de Dieu,,,,,,1,,,,,,,,,,,,,,,,,,
Lévis,Lévis,,,,2,,,,,,,,,,,,,,,,,,,,
Lotbinière,Issoudun,,,,,,,,,,,,,,,,1,,,,,,,,
Matane,St-Octave de Métis Sud,,,,1,,,,,,,,,,,,,,,,,,,,
Matapédia,Saindon,,,,,,,,,,,,,,,,2,,,,,,,,
Mégantic,Sacré-Coeur de Marie,,,,1,,,,,,,,,,,,,,,,,,,,
Missisquoi,Farnham,,,,,,,80,,,,,,,,,1,,,,,1,,,
,Notre-Dame de Stanbridge Bedford,,,,,,,,,,,,,,,,2,,,,,2,,,
,Cowansville,,,,,,,,,,,,,,,,1,,,,,,,,
Nicolet,Nicolet,,,,1,,,,,,,,,,,,,,,,,,,,
,Gentilly, paroisse,,,,,,,,,1,,,,,,,,,,1,,,3,,
Papineau,Papineauville Buckingham,,,,1,,,,,,,,,,,,,,,,,,,,
,Pointe Gatineau,,,,,,,,,,,,,,4,,,,,,,,,,
Portneuf,Donnacona,,,,,,,,,,,,,,,,2,,,,,,,,
,Pont Rouge, village,,,,,,,,,,,,,,,,,,,1,,,,,
Québec,Charlesbourg, village,,,,,,,,,,,,,,,,,,,,,,,1,
,St-Colomb de Sillery,,,,,,,,,,,,,,,,2,,,,,,,,
Richelieu,St-Joseph,,,,,,,,,,,,,,,,1,,,,,,,,
Richmond,Brompton,,,,1,,,,,,,,,,,,,,,,,,,,
,Melbourne,,,,,,,,,,,,,,,,1,,,,,,,,
Rimouski,Rimouski,,,,,,,,,,,,,,2,,,,,,,,,,
,St-Fabien,,,,,,,,,,,,,,,,,,,1,,,,,
Rouville,Rougemont,,,,3,,,,,,,,,,,,1,,,,,4,,,
,St-Césaire, paroisse Marieville,,,,,,,,,,,,,,,,,,,,,1,,,
,Ste-Marie Monnoir,,,,,,,,,,,,,,,,,,,,,1,,,
,St-Ange-Gardien,,,,,,,,,,,,,,,,,,,,,1 1,,,
Shefford,Roxton, canton Shefford, canton,,,,2,,,,,,,,,,,,2,,,,,,,,
,Shefford West,,,,,,,,,,,,,,,,7,,,,,,,,
,Granby,,,,,,,,,,,,,,,,1,,,,,,,,
,Waterloo,,,,,,,,,,,,,,,,2,,,,,,,,
Sherbrooke,Sherbrooke,,,,1,,,,,,,,,,,,13,,,,,,2,,
,Lennoxville,,,,,,,,,,,1,,,,,1,,,,,,,,
Soulanges,St-Télesphore,,,,1,,,,,,,,,,,,,,,,,,,,
,St-Joseph,,,,,,,,,,,,,,,,,,,,,1,,,
