Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite eérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
,St-Hubert,,,,7,,,,,,,,,,,,,,,,,,,
,St-Cyprien,,,,9,,,,,,,,,,,,,,,,,,,
Terrebonne,Ste-Thérèse,,,,,,,,,,,3,,,7,,,,,,,,,1
,St-Jérôme,,,,31,,,,,,,,,,2,,,,,2,,,4,
,St-Janvier,,,,4,,,,,,,,,,,,,,,,,,,
,Terrebonne,,,,,,,,,,,,,,,,,,,1,,,,
Verchères,Contrecoeur,,,,,,,,,,,,,,,,,,,,,2,,
Westmount,Outremont .,,,,1,,1,,,,,5,,,4,2,12,,,,,,7,
,Hampstead,,,,,,,,,,,,,,,,,,,,,,],
,Westmount,,,,1,,,,,1,,,,,5,,15,,,,,,,
,Montreal-West,,,,,,,,,,,,,,,,4,,,,,,,
Wolfe,St-Camille,,,,1,,,,,,,,,,,,,,,,,,,
Yamaska,St-Guillaume,,,,1,,,,,,,,,,,,,,,,,,,
,Totaux-Totals,,,114,236,,43,72,,9,3,183,,,615,41,584,,,191,,70,236,46
,,,,,,,,,,,,,,,,,,,,,,,,
Table: Table_2
Argenteuil,Grenville & Augmentation,,,,,,,,,,,,,,,,I,,,,,,,
Arthabaska,Warwick,,,,1,,,,,,,,,,,,,,,,,,,
Beauce,St-Joseph,,,,,,,,,,,,,,,,1,,,2,,I,,
,Aubert Gallion,,,,,,,,,,,,,,,,,,,,,10,,
,Shenly,,,,1,,,,,,,,,,,,,,,,,,,
Berthier,Lavaltrie,,,,7,,,,,,,,,,,,,,,,,,,
,Berthier. ville,,,,,,,,,,,,,,1,,,,,,,1,,
Brôme,East Bolton Eastman,,,,,,,,,,,,,,,,,,,,,1 2,,
Bonaventure,St-Bonaventure de Hamilton New Richmond St-Omer,,,,,,,,,,,,,,,,1 1,,,,,,,1
Chambly,Longueuil,,,,1,,,,,,,,,,,,1,,,1,,,1,
,St-Lambert,,,,,,,,,,,,,,,,5,,,,,,,
,Chambly, canton,,,,,,,,,,,,,,,,1,,,,,,,
Champlain,St-Séverin,,,,,,,,,,,,,,,,,,,,,1,,
,St-Tite. ville,,,,,,,,,,,,,,,,,,,,,1,,
,St-Stanislas,,,,,,,,,,,,,,,,,,,1,,,,
,Almaville,,,,,,,,,,,,,,,,,,,,,1,,
Charlevoix,Baie St-Paul,,,,,,,,,,,,,,,,2,,,,,,,
Châteauguay,Châteauguay,,,,1,,,,,,,,,,,,3,,,,,,,
Chicoutimi,Chicoutimi,,,,,,,,,,,,,,,,,,,,,,,2
,Rivière du Moulin,,,,,,,,,,,,,,,,,,,,,,,1
Compton,East Angus,,,,,,,,,,,,,,,,,,,,,,,
D.-Montagnes,St-Canut,,,,2,,,,,,,,,,,,,,,,,,,
Hull,Maniwaki,,,,,,,,,,,,,,,,,,,,,,,2
,Kensington,,,,,,,,,,,,,,,,,,,,,,,1
Huntingdon,Godmanchester Hinchinbrooke,,,,,,,,,,,,,,1,,,,,,,,,
Jacques-Cartier,Notre-Dame de Liesse,,,19,1,,,3,,1,,,,,106,,,,,11,,,76,
,Verdun,,,,8,,2,,,,,1,,,27,,28,,,10,,3,6,
,Lachine,,,,,,,,,,,2,,,2,3,4,,,3,,7,1,
,Pointe-Claire,,,,1,,,,,,,,,,3,,,,,,,,,
,St-Laurent,,,,2,,,,,,,,,,,,1,,,,,,,
,Town of Mount Roval,,,,,,,,,,,,,,,,3,,,,,,,
,Ile Bizard,,,,,,,,,,,,,,,,,,,1,,,,
Kamouraska,Ste-Hélène,,,,,,,,,,,,,,,,,,,,,,,
,St-Eleuthère,,,,,,,,,,,,,,,,,,,1,,,,
,St-Athanase, ter. non org,,,,,,,,,,,,,,,,,,,,,,1,
Lac St-Jean,Albanel,,,,,,,,,,,,,,,,,,,,,1,,
,St-Félicien,,,,,,,,,,,,,,,,,,,,,1,,
Labelle,L'Ascension,,,,,,,,,,,,,,,,,,,,,,,1
Laprairie,Caughnawaga,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
