Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Rabies Hydrophobie (rage),Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoide Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
Laval,Pointe aux Trembles,,,,,,,,,,,,,,,,1,,,,,,,
,Montréal Nord,,,,,,,,,,,,,,,,,,,1,,,,
L'Islet,Arago, canton,,,,,,,,,,,,,,,,,,,,,,,
,St-Cyrille,,,,,,,,,,,,,,,,,,,,,1,,
Lotbinière,St-Agapitville,,,,,,,,,,,,,,,,3,,,,,1,,
Maskinongé,St-Justin,,,,,,,,,,,,,,,,,,,,,,,
Matane,Priceville,,,,,,,,,,,,,,,,2,,,,,1,,
Mégantic,Rivière Blanche,,,,,,,,,,,,,,,,,,,,,,,
,Thetford Mines,,,,3,,,,,,,,,,,,,,,,,,,1
,Somerset Sud,,,,,,,,,,,,,,,,1,,,,,,,
Missisquoi,Farnham Dunham,,,,1,,,52,,,,,,,,,1,,,,,,,
,Stanbridge Station,,,,,,,,,,,,,,,,,,,,,,,
Montcalm,St-Alexis,,,,,,,,,,,,,,,,,,,,,1,,
Montmagny,Canton Talon,,,,,,,,,,,,,,,,,,,,,1,,
Napierville,St-Rémi, village,,,,6,,,,,,,,,,,,4,,,,,,,
Nicolet,Nicolet,,,,1,,,,,,,,,,,,,,,1,,,,
,St-Grégoire,,,,2,,,,,,,,,,,,,,,,,,,
,Ste-Gertrude,,,,,,,,,1,,,,,,,,,,,,,,
,Ste-Monique,,,,,,,,,,,,,,,,,,,,,2,,
,St-Célestin,,,,,,,,,,,,,,2,,1,,,,,,,
,Gentilly,,,,,,,,,,,,,,,,,,,,,,,
Papineau,St-André Avellin Buckingham,,,,2,,,,,,,,,,,,,,,1,,,,
Québec,Mastaï,,,,,,,,,,,,,,,,,,,1,,,,
,Loretteville,,,,1,,,,,,,,,,,,,,,,,,5,
Table: Table_2
Rouville,St-Michel de Rougemont,,,,,,,,,,,,,,,,,,,,,,1,1
,Rougemont,,,,,,,,,,,,,,,,,,,,,,6,
,Ste-Angèle,,,2,,,,,,,,,,,,,,,,,,,,
Saguenay,Letellier,,,,,,,,,,,,,,,,,,,,,,,2
Shefford,South Stukely,,,,,,,,,,,,,,,,,,,,,1,,
Sherbrooke,Sherbrooke,,,,9,,,,,,,,,,,,14,,,,,,,
,Ascot Corner,,,,,,,,,,,,,,1,,,,,,,,,
Stanstead,Hatley,,,,1,,,,,,,,,,,,,,,,,,,
,Coaticook,,,,,,,,,,,,,,1,,1,,,,,,,
St-Hyacinthe,St-Hyacinthe,,,,1,,,,,,,,,,8,,,,,,,,,
,La Présentation,,,,1,,,,,,,,,,,,,,,,,,,
,La Providence,,,,,,,,,,,,,,,,],,,,,,,
,St-Thomas s'Aquin,,,,,,,,,,,,,,,,9,,,,,,,
,St-Damase,,,,,,,,,,,,,,,,,,,],,,,
Saint-Jean,Saint-Jean,,,,,,,,,,,,,,10,,,,,,,,,
St-Maurice,Shawinigan Falls,,,,,,,,,,,,,,1,,,,,,,,,
Témiscouata,Rivière du Loup,,,,2,,,,,,,,,,,,,,,1,,,1,
,St-Epiphane,,,,,,,,,,,,,,,,,,,,,3,,
,Notre-Dame du Lac,,,,,,,,,,,,,,,,11,,,,,,,
,Trois-Pistoles,,,,,,,,,,,,,,,,,,,2,,,,
,St-Eloi,,,,,,,,,,,,,,,,1,,,,,,,
,Cacouna,,,,,,,,,,,,,,,,,,,5,,,,
,St-Paul de la Croix,,,,,,,,,,,,,,,,,,,,,,,
,St-Louis du Ha Ha,,,,,,,,,,,,,,,,,,,,,,,
,St-Benoft Abbé,,,,,,,,,,,,,,,,,,,1,,,,
,Isle Verte,,,,,,,,,,,,,,,,,,,1,,,,
,Ste-Rose du Dégelé,,,,,,,,,,,,,,,,,,,1,,,,
,St-Antonin,,,,,,,,,,,,,,,,,,,1,,,,
,Rivière Bleue,,,,,,,,,,,16,,,,,,,,,,,,
Terrebonne,St-Jérôme,,,,15,,,,,,,,,,,,,,,I,,,,
,St-Janvier,,,,1,,,,,,,,,,,,,,,,,,,
,Piedmont,,,,1,,,,,,,,,,,,,,,,,,,
,Ste-Sophie,,,,2,,,,,,,,,,,,,,,,,,,
,Ste-Thérèse,,,,,,,,,,,,,,,,1,,,,,,,
Vaudreuil,Ile Perrot,,,,,,,,,,,,,,,,,,,,,1,,
Verchères,Ste-Théodosie,,,,,,,,,,,,,,1,,,,,,,,,
Westmount,Outremont,,,,,,2,,,,,17,,,,5,13,,,,,,3,
,Montreal West,,,,1,,,,,,,,,,,,,,,,,1,,
,Hampstead,,,,1,,,,,,,,,,,,,,,,,,,
,Westmount,,,,,,,,,,,,,,4,,27,,,,,,,
Yamaska,Yamaska,,,,,,,,,,,,,,,,,,,1,,,,
,Totaux-Totals,,,177,180,,33,67,,14,2,219,1,,661,91,495,,,246,,59,220,17
