Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur. ophthaimia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
Mégantic,Thetford Mines,,,,3,,,,,,,,,,,,,,,,,1,,
,St-Pierre Baptiste,,,,1,,,,,,,,,,,,,,,,,,,
,Lyster Station,,,,,,,,,,,,,,,,,,,,,4,,
Montealm,St-Jacques,,,,4,,,,,,,,,,,,,,,,,,,
,Ste-Marie Salomée,,,,1,,,,,,,,,,,,,,,,,,,
Montmagny,Berthier,,,,,,,,,,,,,,,,1,,,,,,,
Napierville,St-Rémi,,,,,,,,,,,,,,,,,,,,,,,1
Nicolet,St-Léonard,,,,,,,,,,,,,,,,,,,,,1,,
,Ste-Gertrude,,,,,,,,,,,,,,5,,2,,,,,,,
,St-Wenceslas,,,,,,,,,,,,,,1,,,,,,,,,
,St-Grégoire,,,,,,,,,,,,,,,,,,,2,,,,
Papineau,Pointe Gatineau,,,,,,,,,,,,,,,,,,,,,4,,
,Templeton-Ouest,,,,,,,,,,,,,,10,,,,,,,,,
Portneuf,Portneuf,,,,,,,,,,,,,,,,,,,,,,,3
,Donnacona,,,,1,,,,,,,,,,,,4,,,,,,,
,Neuville,,,,,,,,,,,,,,,,4,,,,,,,
Québec,Mastaï,,,,2,,,,,,,,,,,,,,,,,,,
Richelieu,Massueville,,,,3,,,,,,,,,,,,,,,,,,,
Richmond,Melbourne,,,,,,,,,,,,,,,,1,,,,,,,
Rouville,L'Ange Gardien,,,,,,,,,,,,,,,,,,,,,,6,
Saguenay,Clarke City,,,,,,,,,,,,,,,,,,,1,,,,
Shefford,Stukely Nord,,,,,,,,,,,,,,,,,,,,,1,,
Sherbrooke,Sherbrooke,,,,3,,,,,,,,,,1,,8,,,,,,,
Stanstead,Dixville,,,,,,,,,,,,,,,,,,,,,4,,
,Coaticook,,,,,,,,,,,,,,,,1,,,,,3,,
,Hatley, township,,,,,,,,,,,,,,,,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Table: Table_2
St-Hyacinthe,St-Hyacinthe,,,,3,,,,,,,2,,,7,,,,,1,,,2,
,St-Thomas d'Aquin,,,,,,,,,,,,,,,,14,,,,,,,
,La Providence,,,,,,,,,,,,,,,,1,,,,,,,
,St-Jude,,,,,,,,,,,,,,2,,,,,,,,,
,St-Damase,,,,,,,,,,,27,,,,,,,,1,,,,
St-Jean,St-Jean,,,,,,,,,,,,,,,,,,,,,,,
Témiscouata,Ile Verte,,,,3,,,,,,,,,,,,,,,1,,,,
,St-Antonin,,,,2,,,,,,,,,,,,,,,,,,,
,Rivière du Loup,,,,1,,,,,,,,,,,,,,,,,,,
,Ste-Rose du Dégelé,,,,,,,,,,,,,,,,9,,,1,,,,
,St-Eusèbe,,,,,,,,,,,,,,,,,,,1,,,,
,Cabano,,,,,,,,,,,,,,,,,,,1,,,,
,Notre-Dame du Lac,,,,,,,,,,,,,,,,,,,,,,,1
Terrebonne,Abercrombie,,,,,,,,,,,,,,,,,,,,,,,
,Ste-Anne des Plaines,,,,2,,,,,,,,,,,,,,,,,,,
,Ste-Thérèse,,,,14,,1,,,,,,,,,,1,,,,,,,
,Piedmont,,,,3,,,,,,,,,,,,,,,,,,,
,St-Jérôme,,,,11,,,,,,,,,,,,,,,,,,,
,Ste-Sophie,,,,,,,,,,,,,,,,1,,,,,,,
Vaudreuil,Vaudreuil,,,,1,,,,,,,,,,,,,,,,,,,
Verchères,Contrecœur, paroisse,,,,,,,,,,,,,,1,,,,,1,,1,,
Westmount,Westmount,,,,2,,,,,,,,,,2,,6,,,3,,,7,
,Outremont,,,,,,,,,,,8,,,9,22,16,,,1,,,,
,Montreal-West,,,,,,,,,,,,,,,,,,,1,,,,
Yamaska,Baieville,,,,,,,,,,,,,,,,,,,,,,,
,Totaux-Totals,,,82,170,1,16,5,,2,,153,,,346,73,420,1,,202,,43,257,12
