Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botul:sme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Rabies Hydrophobie (rage),Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorumi,Oreillons Mumps,Paralysie infantile Poliomyelitis,X Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox,SERVICE PROVINCIAL
,Montréal Québec,,,107,63,,17,2,,8,,29,2,,105,7,,,,,,,,,
,Trois-Rivières,,,,4,,,,,,,,,,,,184 17,1,,189,,14,20,,
Abitibi,Amos,,,,6,,,,,,,,,,,,2,,,13,,6,3,,
,Green Stabel Mines,,,,1,,,,,,,,,,3,,2,,,,,,,,
,Territoire non organisé.,,,,,,,,,,,,,,,,,,,,,1,,,
,Launay,,,,,,,,,,,,,,,,,,,,,1,,,
Argenteuil,Wentworth,,,,,,,,,,,,,,,,1,,,,,,,,D'HYGIÈNE-PROVINCIAL
Arthabaska,Arthabaska,,,,1,,,,,,,,,,,,2,,,,,,,,
,Warwick,,,,1,,,,,,,,,,,,,,,,,2,,,
Beauce,Shenley,,,,,,,,,,,,,,,,,,,,,,,,
,St-Georges,,,,,,,,,,,,,,,,,,,1,,,,,
,Sacré-Cour de Jésus,,,,1,,,,,,,,,,,,,,,,,,1,,
,St-Fréderic St-Jules,,,,2,,,,,,,,,,,,,,,,,12,,,
,St-Elzéar,,,,2,,,,,,,,,,,,,,,,,,,,
,St-Ephrem,,,,,,,,,,,,,,,,,,,,,2,,,BUREAU
Beauharnois,Vallevfield,,,,,,,,,,,,,,,,,,,,,1,,,
Bellechasse,St-Michel,,,,,,,,,,,,,,,,,,,1,,,,,
,Ste-Sabine,,,,1,,,,,,,,,,,,1,,,,,,,,
Berthier,Berthierville,,,,1,,,,,,,,,,,,,,,,,,,,OF
,Lavaltrie,,,,5,,,,,,,,,,,,,,,,,11,,,
,Lanoraie,,,,,,,,,,,,,,,,,,,,,,,,
,St-Gabriel de Brandon,,,,,,,,,,,,,,,,2,,,,,,,,HEALTH
Brome,Sutton, township,,,,1,,,,,,,,,,,,,,,1,,,,,
,Potton,,,,,,,,,,,,,,,,,,,,,,,,
,Brome, township,,,,,,,,,,,,,,,,1,,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Chambly,St-Lambert,,,,,,,,,,,,,,,,2,,,,,,,,
Champlain,St-Stanislas,,,,,,,,,,,,,,,,,,,,,1,,,
Châteauguay,Châteauguay,,,,,,,,,,,,,,,,1,,,,,,,,
,Très St-Sacrement,,,,,,,,,,,,,,,,1,,,,,,1,,
,St-Jean Chrysostome,,,,2,,,,,,,,,,,,,,,,,,,,
Compton,Auckland,,,,,,,,,,,,,,,,1,,,,,,,,
,Cookshire,,,,,,,,,,,,,,,,,,,,1,,,,
Deux-Montagnes,Ste-Monique,,,,5,,,,,,,,,,,,,,,,,,,,
,St-Canut,,,,1,,,,,,,,,,,,,,,,,,,,
Drummond,St-Eugène de Granthan St-Joseph de Granthan,,,,,,,,,,,,,,,,2,,,,1,,,,
Gaspé,Ste-Anne des Monts,,,,,,,,,,,,,,,,,,,,1,,,,
Hull,Messines,,,,,,,,,,,,,,,,,,,,,,,1,
Huntingdon,Godmanchester,,,,,,,,,,,,,,,2,,,,,,,,,
Iberville,fberville,,,,,,,,,,,,,,,5,,,,,,,,,
Jacques-Cartier,Verdun,,,1,4,,,2,,,1,,,,,7 1,6,,,,6,,2,4,
,Notre-Dame de Liesse,,,10,1,,,,,,,,2,,,,,,,,,,30,,
,Lachine,,,,1,,,,,,,,,,,3,8,,,,,,,,
,Pointe Claire,,,,1,,,,,,,,,,,,1,,,,,,,,RAPPONT-DEPOST,
,St-Laurent,,,,,,,,,,,,,,,,3,,,,2,,,,
,Côte St-Luc,,,,,,,,,,,,,,,1,,,,,,,,,
,Ville St-Pierre,,,,,,,,,,,,,,,,,,,,1,,,,
,Senneville,,,4,,,,,,,,,,,,,,,,,,,,,
Kamouraska,St-Philippe,,,,,,,,,,,,,,,,,,,,,,,3,
,St-Denis,,,,,,,,,,,,,,,,,,,,,,,4,
,St-André,,,,,,,,,,,,,,,,,,,,1,,,,
Lac St-Jean,Hébertville, village,,,,1,,,,,,,,,,,,,,,,,,,,
Laprairie,St-Isidore,,,,,,,,,,,,,,,1,,,,,,,,,1929-30
L'Assomption,St-Lin,,,,6,,,,,,,,,,,,,,,,,,,,
Lévis,Lévis,,,,1,,,,,,,,,,,,,3,,,,,,,
,Ste-Hélène de Breakeyville,,,,,,,,,,,,,,,,,5,,,,,,,
L'Islet,L'Islet, paroisse,,,,,,,,,,,,,,,,,1,,,,,,,
Matapédia,St-Antoine de Padoue de Kempt,,,,,,,,,,,,,,,,,,,,1,,,,
Mégantic,Lyster Station,,,,3,,,,,,,,,,,,,,,,,,,,
,Thetford Mines,,,,1,,,,,,,,,,,,,2,,,,,,,
,Ste-Anastasie,,,,,,,,,,,,,,,,,,,,,,2,,
Missisquoi,Farnham,,,,,,,,,,,,,,,,,2,,,,,,,
Montcalm,St-Esprit,,,,1,,,,,,,,,,,,,,,,,,,,
,Ste-Marie Salomée,,,,,1,,,,,,,,,,,,,,,,,,,
,St-Jacques,,,,,5,,,,,,,,,,,,,,,,,,,
,St-Alexis,,,,,,,,,,,,,,,,,,,,,,1,,
Montmagny,Ile aux Grues,,,,,,,,,,,,,,,,,3,,,,,,,
