Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Rabies Hydrophobie (rage),Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie Poliomyelitis infantile,X Paratyphoide Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
Montmorency Nicolet,St-Jean Nicolet,,,,,,,,,,,,2,,,,,,,,,,,
Papineau,Montebello,,,,,,,,,,,,,,,,,,,,,,,
,Blake, Bigelon, Wells &,,,,1,,,,,,,,,,,,,,,,,1,,
,McGill,,,,,,,,,,,,,,,,,,,,,,,
Pontiac,Bryson,,,,1,,,,,,,,,,1,,,,,,,,,
,Grand Calumet,,,,,,,,,,,,,,,,,,,,,,,
Portneuf,Pont Rouge,,,,,,,,,,,,,,,,,,,,,3,,
Québec,St-Michel Archange,,,,1,,,,,,,,,,,,,,,,,,,
Richelieu,Sorel,,,,4,,,,,,,,,,,,,,,,,,,
,St-Roch,,,,,,,,,,,,,,,,,,,,,1,,
Richmond,Windsor, ville,,,,,,,,,,,,,,,,,1,,,,,,
,Richmond,,,,,,,,,,,,,,,,,,,,,,,
,Melbourne,,,,1,,,,,,,,,,,,,,,,,1,1,
Rimouski,Bic,,,,,,,,,,,,,,,,1,,,,,,,
,St-Simon,,,,,,,,,,,,,,,,,,,1,,,,
,St-Fabien,,,,,,,,,,,,,,,,,,,1,,,,
Rouville,Abbotsford,,,6,,,,,,,,,,,,,2,,,,,,,
,St-Ange Gardien,,,,,,,,,,,,,,2,,,,,,,,,
St-Hyacinthe,St-Hyacinthe,,,1,,,,,,,,,,,1,,,,,,,,,
,St-Damase,,,,5,,,,,,,,,,5,,,,,,,,1,
St-Jean,St-Jean,,,,,,,,,,,,,,14,,,,,,,,,
St-Maurice,Shawinigan Falls,,,,1,,,,,,,,,,3,,,,,1,,,,
Shefford,Granby,,,,,,,,,,,,,,,,,,,1,,2,,
,Shefford West,,,,,,,,,,,,,,,,1,,,,,,,
Sherbrooke,Sherbrooke,,,,1,,,,,,,,,,,,1,,,,,,,
Stanstead,Magog,,,,1,,,,,,,,,,,,1,,,1,,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Angers Cliff,,,,1,,,,,,,,,,,,,,,,,,,
,Hartley,,,,1,,,,,,,,,,,,1,,,,,1,,
,Coaticook,,,,,,,,,,,,,,,,1,,,1,,,,
,Stanstead,,,,,,,,,1,,,,,,,,,,,,,,
,Beebe Plain,,,,,,,,,,,,,,,,,,,,,,1,
Témiscouata,St-Hubert,,,,,,1,,,,,,,,,,,,,,,,1,
,St-Paul de la Croix,,,,2,,,,,,,,,,,,,,,1,,1,,
,Cabano,,,,,,,,,,,,,,,,,,,1,,,,
,St-Eloi,,,,,,,,,,,,,,,,,,,,,1,,
,St-Pierre d'Estcourt,,,,,,,,,,,,,,,,,,,2,,,,
,St-Arsène,,,,,,,,,,,,,,,,,,,1,,,,
,Bégon,,,,,,,,,,,,,,,,,,,1,,,,
,St-Joseph de la Riv. Bleue,,,,,,,,,,,,,,,,,,,1,,,,
,St-Epiphane,,,,,,,,,,,,,,,,,,,1,,,,
,Rivière-du-Loup,,,,,,1,,,,,,,,,,,,,1,,,,
,Notre-Dame du Lac,,,,,,,,,,,,,,,,,,,,,7,,
,St-Eleuthère,,,,,,,,,,,,,,,,,,,1,,,,
Terrebonne,St-Jérôme,,,,9,,,,,,,,,,,,,,,,,,,
,St-Sauveur-des-Monts,,,,3,,,,,,,,,,,,,,,,,,,
,Ste-Thérèse,,,,5,,,,,,,,,,1,,,,,,,,,
,Abererombie,,,,1,,,,,,,,,,,,,,,,,,,
,Ste-Agathe,,,,1,,,,,,,,,,,,,,,2,,,,
,DeSalaberry & Grandison,,,,,,,,,,,,,,,,,,,,,,,
,St-Jovite,,,6,,,,,,,,,,,,,,,,,,,,
Vaudreuil,Dorion,,,,5,,,,,,,,,,,,,,,1,,,,
,St-Lazare,,,,,,,,,,,,,,,,2,,,,,,,
Verchères,McMasterville,,,,,,2,,,,,,,,,,1,,,,,,,
Westmount,Westmount,,,,,,,,,,,3,,,3,,6,,,,,,1,
,Outremont,,,,1,,1,,,,,,,,1,,,,,,,,,
Wolfe,Wottonville,,,,,,,,,,,,,,,,,,,,,,1,
Yamaska,St-Joseph d'Yamaska,,,,,,,,,,,,,,,,,,,,,,,
,Totaux-Totals,,,135,168,,24,2,,10,,34,4,,158,9,259,2,,237,,78,71,1
,,,,,AOUT,,1929,-,,AUGUST,,,1929.,,,,,,,,,,,,
,,,,232,41,,10,3,,3,,5,16,,53,4,81,,,197 8,,12 2,17,
,Montréal,,,,,,,,,,,,2,,,,25,,,,,,,
,Québec,,,2,10,,,,,,,,,,,,,,,,,1,,
,Trois-Rivières,,,,3,,,,,,,,,,,,1,,,,,1,,
Abitibi,Amos,,,,6,,,,,,,,,,,,,,,,,,,
