Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Rabies Hydrophobie (rage),Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
Sherbrooke,Sherbrooke Ascot,,,,2,,,,,,,,,,,,2,,,,,,,
Soulanges,St-Joseph de Soulanges,,,,1,,,,,,,,,,,,,,,1,,,7,
Stanstead,Magog,,,,,,,,,,,,,,,,,,,,,,,
,Rock Island,,,2,,,,,,,,,,,,,5,,,,,,,
Témiscouata,Ste-Rose du Dégelé,,,4,,,,,,,,,,,,,,,,,,,,
,Rivière-du-Loup,,,,,,,,,,,,,,,,,,,,,,2,
,Notre-Dame du Lac,,,,,,,,,,,,,,,],4,,,1,,,,
,Cacouna,,,,,,,,,,,,,,,,6,,,,,,,
,Hoequart,,,,,,,,,,,,,,,,,,,1,,,,
,Ile Verte,,,,,,,,,,,,,,,,,,,5,,,,
,St-Joseph de la Riv. Bleue,,,,,,,,,,,,,,,,,,,1,,,,
,St-David d'Estcourt,,,,,,,,,,,,,,,,,,,1,,,,
,Cabano,,,,,,,,,,,,,,,,,,,3,,,,
,Bégon,,,,,,,,,,,,,,,,,,,1,,,,
Terrebonne,Terrebonne, paroisse,,,,1,,,,,,,,,,,,,,,1,,,,
,St-Jérôme, paroisse,,,,2,,,,,,,,,,,,,,,,,,,
,St-Jórôme, ville,,,1,6,,,,,,,,,,,,,,,,,,,
,Ste-Thérèse,,,3,2,,1,,,,,,,,,,,,,,,,,
,St-Janvier,,,,1,,,,,,,,,,,,,,,,,,,
,St-Sauveur,,,,2,,,,,,,,,,,,,,,,,,,
,Ste-Agathe,,,,,,,,,,,,,,,,,,,,,,,
Vaudreuil,Vaudreuil,,,,,,,,,,,,,,,,,,,1,,,,
Westmount,Westmount,,,,,,,,,,,,,,,,,,,1,,,,
,Outremont,,,,1,,1,,,1,,,,,,,1,,,,,1,,
,,,,,,,,,,,,,1,,,3,,,,2,,,1,
,Totaux-Totals,,,269,116,,12,3,,5,2,9,26,,54,8,162,,,241,,87,39,3
Table: Table_2
,Montréal,,,271,72,1,5,5,,4,,11,16,,29,5,126,1,,159,,18,6,
,Québec,,,,20,,,,,,,2,3,,3,,20,,,6,,11,1,
,Trois-Rivières,,,,2,,,,,,,,,,,,,,,,,,,
Abitibi,Amos,,,,1,,,,,,,,,,5,,,,,,,,,
,La Sarre,,,2,,,,,,,,,,,,,,,,,,,,
,Rouyn,,,,,,,,,,,,1,,,,,,,,,,,
Beauce,Beauceville,,,,1,,,,,,,,,,,,,,,,,,,
,L'Enfant Jésus,,,2,1,,,,,,,,,,,,,,,,,,,
,St-Frédéric,,,,,,,,,,,,,,,,,,,,,1,,
,Sacré-Coeur de Jésus,,,,,,,,,,,,,,,,,,,,,1,,
,St-Joseph de Beauce,,,,,,,,,,,,1,,,,1,,,,,,,
,Ste-Marie,,,,,,,,,,,,,,,,1,,,,,,,
,St-Jules,,,,,,,,,,,,,,,,,,,,,,3,
,Shenley,,,,,,,,,,,,,,,,,,,1,,,,
Bellechasse,Beaumont,,,,1,,,,,,,,,,,,,,,,,,,
,St-Michel,,,,,,,,,,,,,,,,1,,,,,,,
,St-Gervais,,,,,,,,,,,,2,,,,,,,,,,,
,St-Charles,,,,,,,,,,,,1,,,,,,,,,,,
Berthier,Lavaltrie,,,,8,,,,,,,,,,,,,,,,,,,
,Lanoraie,,,,,,,,,,,,,,,,1,,,,,,,
,St-Cuthbert,,,,,,,,,,,,,,,,,,,1,,,,
Bonaventure,Paspébiac Ouest,,,,,,,,,,,,,,,,,,,,,,,
,St-Jean l'Evangéliste,,,,,,,,,,,,,,1,,,,,,,,,
,St-Siméon,,,,,,,,,,,,,,,,,,,1,,,,
Brome,Brome,,,,1,,,,,,,,,,,,2,,,,,,,
,Potton,,,,,,,,,,,,,,,,7,,,,,,,
Chambly,St-Lambert,,,,,,,,,,,,,,,,,,,1,,,,
,St-Antoine de Longueuil,,,,,,,,,,,,,,,,,,,1,,,,
Champlain,St-Adelphe,,,,,,,,,,,,,,3,,,,,,,,,
Charlevoix,Malbaie,,,,,,,,,,,,6,,,,,,,,,1,,
Chateauguay,St-Chrysostome,,,,1,,,,,,,,,,,,,,,,,,,
Chicoutimi,Jonquière,,,,,,,,,,,,,,,,,,,,,,,
,Kénogami,,,,,,,,,,,,,,1,,,,,,,,,
Compton,Bury,,,,,,,,,,,,,,,,,,,,,,1,
,Scotstown,,,,,,,,,,,,,,,,,,,,,],,
,East Angus,,,,,,,,,,,1,,,,,,,,1,,,,
Drummond,St-Joseph de Grantham,,,,,,,,,,,,,,,,,,,,,3,,
Gaspé,Gaspé,,,,,,,,,,,,,,,,,,,1,,,,
Hull,Hull,,,,,,,,,,,,2,,,,,,,,,,,
,Gracefield,,,,,,,,,,,,,,,,,,,1,,,,
Huntingdon,Hinchinbrooke,,,,,,,,,,,,1,,,,,,,,,,,
