Table: Table_1
Comtés Counties,Municipalités Municipalities,,Anthrax Anthrax (charbon),Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Rabies Hydrophobie (rage),Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie Poliomyelitis infantile,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
,St-Mare de Figuery,,,,,,,,,,,,,,,,,,,,,,,,
,Rouyn,,,,,,,,,,,,,,,,,,,,,,,,
Arthabaska,Arthabaska,,,,,,,,,,,,,,,,,,,,,,1,,
Bagot,Acton Vale,,,,,,,,,,,,,,,,,,,,,,4,,
Beauce,Ste-Marie de Beauce,,,,,,,,,,,,,,,,,,,,,,1,,
,St-Georges Est,,,,,,,,,,,,,,,,,,,,1,,,,
Beauharnois,St-Stanislas de Kostka,,,,,,,,,,,,,,,,,1,,,,,1,,
Bellechasse,St-Raphael,,,,,,,,,,,,,,,,,2,,,,,,,
Berthier,Lanoraie,,,,,,,,,,,,,,,,,,,,,,,,
,Lavaltrie,,,,,],,,,,,,,,,,,2,,,,,,,
Bonaventure,St-Alexis de Matapédia,,,,,1,,,,,,,,,,,,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Brome,Farnham Est,,,,,1,,,,,,,,,,,,,,,,,,,
,Sutton,,,,,,,,,,,,,,,,,,,,1,,,,
,Knowlton,,,,,1,,,,,,,,,,,,,,,,,,,
Chambly,St-Lambert,,,,,,,,,,,,,,,,,,,,,,,,
,Longueuil,,,,,1,,,,,,,,,,,,1,,,,,,,
,St-Antoine de Longueuil,,,,,,,,,,,,,,,,,,,,,,,,
,St-Hubert, paroisse,,,,,,,,,,,,,,,,,,,,,,,,
Charlevoix,La Malbaie,,,,,,,,,,,,,1,,,,,,,1,,,,
Châteauguay,St-Jean Chrysostome,,,,,,,,,,,,,2,,,,,,,,,,,
,Châteauguay,,,,,4,,,,,,,,,,,,,,,,,,,
,Ste-Clothilde,,,,,1,,,,,,,,,,,,,,,,,,,
,Ste-Martine,,,,,,,,,,,,,,,,,,,,,,,,
Chicoutimi,Jonquière,,,,1,,,,,,,,,,,,,,,,,,3,,
,Kénogami,,,,,,,,,,,,,,,,,,,,,,,,
Compton,Cookshire,,,,,1,,,,,,,,,,,,,,,,,,,3
Dorchester,,,,,,,,,,,,,,,,,,,,,,,,,
,Ste-Germaine,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,,,,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Iberville,St-Sébastien, paroisse,,,,1,,,,,,,,,,,,,,,,,2,1,,
Jacques-Cartier,Verdun,,,1,3,,,,,1,,1,,,,,4,,,7,,,8,,
,Notre-Dame de Liesse,,,22,,,,,,,2,,,,,,8,,,4,,1,,,
,Lachine,,,,2,,,,,,,,,,,,,,,,,,,,
,Ville La Salle,,,,1,,,,,,,3,,,,,1,,,,,1,,,
,Pointe-Claire,,,,,,,,,,,,1,,,,,,,,,,,,
,Ste-Anne de Bellevuc,,,,,,,,,,,,,,,,2,,,,,,,,
,Baie d'Urfé,,,,,,,,,,,,,,1,,,,,,,,,,
,Ville St-Pierre,,,,,,,,,,,,,,,,,,,1,,,2,,
,Town Mount Royal,,,,,,,,,,,,,,,,,,,1,,,,,
Kamouraska,St-André,,,,,,,,,,,,,,,,,,,,,1,,,
Lac St-Jean,St-André,,,,,,,,,,,,,,,,,,,,,,,,
L'Assomption,St-Sulpice,,,,1,,,,,,,,,,,,,,,,,,,,
Laval,Pointe-aux-Trembles,,,,6,,,,,,,,,,,,5,,,,,,,,
,St-Elzéar,,,,1,,,,,,,,,,,,,,,,,,,,
,Montréal Est,,,,,,,,,,,,,,,,,,,,,1,,,
,Laval-des-Rapides,,,,,,,,,,,,1,,,,,,,,,3,,,
Lévis,Lévis,,,,,,,,,,,,,,,,,,,,,,,,
,Ste-Hélène de Breakeyville,,,,,,,,,,,,,,,,2,,,,,1,,,
L'Islet,St-Cyrille,,,,,,,,,,,,,,,,1,,,,,,,,
,St-Eugène,,,,,,,,,,,,,,,,,,,,,,,,
Maskinongé,Ste-Ursule,,,,1,,,,,,,,,,,,,,,,,,,,
Mégantic,Plessisville,,,,1,,,,,,,,,,,,4,,,,,,,,
,Thetford Mines,,,,1,,,,,,,,,,,,,,,,,,,,
Missisquoi,St-Armand Ouest,,,,1,,,,,,,,,,,,,,,,,,,,
,St-Ignace de Stanbridge,,,,,,,,,,,,1,,,,,,,,,1,,,1928-29
Montmorency,St-Laurent I.O,,,,1,,,,,,,,,,,,,,,,,,,,
Napierville,Napierville,,,,2,,,,,,,,,,,,,,,,,2,,,
Nicolet,St-Léonard d'Aston,,,,,,,,,,,,,,,,,,,,,2,,,
,St-Grégoire,,,,,,,,,,,,,,,,,,,,,38,,,
Papineau,Pointe-Gatineau,,,,,,,,,,,,,,,,1,,,,,,,,
,Montebello,,,,,,,,,,,,,,,,,,,,,,,,
Pontiac,Mansfield & Pontefract,,,,,,,,,,,,1,,,,,,,,,2,,,
Portneuf,Notre-Dame des Anges,,,,,,,,,,,,,,,,1,,,,,,,,
,Donnacona,,,,,,,,,,,,,,,,,,,,,,1,,
Québec,St-Michel-Archange,,,,1,,,,,,,,,,,,,,,,,1,,,
Richmond,Ashestos,,,,,,,,,,,,,,,,,,,,,2,,,
,Richmond,,,,,,,,,,,,,,,,,,,,,,,,
,Bromptonville,,,1,,,,,,,,,,,,,,,,,,,,,
Rouville,St-Hilaire,,,,1,,,,,,,,,,,,,,,,,,,,
St-Hyacinthe,St-Hyacinthe,,,,2,,,,,,,,,,,,,,,,,,,,
St-Maurice,Shawinigan Falls,,,,1,,,,,,,,,,,,,,,,,,,,17
,,,,,,,,,,,,,,,,,,,,,,,,,
