Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox,SERVICE PROVINCIAL
Jacques-Cartier,Notre-Dame de Liesse,,,4,,,,,,,,,,,,,,,,1,,,5,,
,Lachine,,,,3,,,,,,,,,,,,3,,,1,,,1,,
,Dorval,,,,2,,,,,,,,,,,,,,,,,,,,
,St-Laurent, ville,,,,1,,1,,,,,,,,,,,,,,,,,,
,Verdun,,,1,1,,,,,,,,,,6,,6,,,4,,,,,
,Mount Royal, town,,,,,,,,,,,,,,,,,,,1,,,,,
Lac St-Jean,St-Joseph d'Alma,,,,,,,,,,,,,,,,,,,,,3,,,D'HYGIÈNE-PROVINCIAL
,Roberval, ville,,,,,,,,,,,,2,,,,,,,,,,,,
,Roberval, paroisse,,,,,,,,,,,,1,,,,,,,,,,,,
,Chambord,,,,,,,,,,,,1,,,,,,,,,,,,
,St-Augustin,,,,,,,,,,,,1,,,,,,,,,,,,
L'Assomption,St-Henri de Mascouche,,,,5,,,,,,,,,,,,,,,,,,,,
Laval,Ste-Dorothée,,,,,,,,,,,,,,,,,,,,,3,,,
,Montréal Nord,,,,,,,,,,,,1,,,,,,,,,,,,
L'Islet,St-Cyrille,,,,,,,,,,,,,,,,,,,,,1,,,
,St-Jean Port Joli,,,,,,,,,,,,1,,,,,,,,,,,,BUREAU
Lotbinière,Ste-Croix, village Deschaillons,,,,1,,,,,,,,,,,,,,,,,1,,,
Maskinongé,St-Justin,,,,,,,,,,,,,,,,,,,1,,,,,OF
Matane,St-Jérôme de Matane,,,,,,,,,,,,,,,,,,,1,,,,,
Matapédia,Causapscal,,,,,,,,,,,,,,,,1,,,,,,,,
Mégantic,Ste-Anastasie,,,,4,,,,,,,,,,,,,,,,,,,,
,Plessisville,,,,2,,,,,,,,,,,,,,,,,,,,HEALTH
Montcalm,St-Alphonse de Liguori Wexford,,,,1 4,,,,,,,,,,,,,,,,,,,,
,Chertsey,,,,,,,,,,,,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,,,
Nicolet,Gentilly,,,,1,,,,,,,,,,,,1,,,,,,,,
Papineau,Masson Buckingham,,,,1,,,,,,,,,,,,,,,,,5,,,
,Pointe Gatineau,,,,3,,,,,,,,,,,,1,,,1,,,,,
Portneuf,St-Augustin,,,,,,,,,,,,,,,,1,,,,,,,,
,Pont Rouge, village Donnacona,,,,,,,,,,,,,,,,,,,1 1,,,,,
,St-Casimir,,,,,,,,,,,,,,,,,,,,,1,,,
Richmond,Bromptonville Richmond,,,,,,,,,,,,,,,,,,,2,,,,,
Rimouski,St-Fabien,,,,,,,,,,,,,,2,,,,,1,,,,,
,Marieville,,,,,,,,,,,,,,,,,,,,,,,,
Rouville,Rougemont,,,,6,,,,,,,,,,,,1,,,,,,,,
St-Hyacinthe,St-Hyacinthe La Providence,,,1,,,,,,,,,,,,1,,,,,,1 1,1,,
St-Maurice,Shawinigan Falls Milton,,,,,,,,,,,,,,,,1,,,,,,,,
Shefford,Ste-Cécile de Granby,,,,12,,,,,,,,,,,,2 3,,,,,,,,
Sherbrooke,Sherbrooke Ascot,,,,1,,,,,,,,,,,,1,,,,,,,,
Soulanges,Soulanges,,,,,,,,,,,,,,,,,,,,,,,,
Stanstead,Coaticook,,,3,,,,,,,,,,,,,,,,,,1,,,
,Rock Island,,,,,,,,,,,,,,,,,,,,,1,,,
,Dixville,,,,,,,,,,,,,,,,2,,,1,,,1,,
Témiscamingue,Témiscamingue,,,,,,,,,,,,,,,,,,,,,,,,
Témiscouata,Rivière-du-Loup,,,,3,,,,,,,,1,,,,,,,,,,,,
,Cabano,,,,1,,,,,,,,,,,,9,,,,,2,,,
,N.-Dame des Sept Douleurs,,,,,,,,,,,,,,,,,,,,,1,,,
,St-David Estcourt,,,,,,,,,,,,,,,,,,,,,1,,,
,St-Eloi,,,2,,,,,,,,,,,,,,,,,1,,,,
,Ile Verte,,,,,,,,,,,,,,,,,,,,1,,,,
,Notre-Dame du Lac,,,,,,,,,,,,,,,,,,,,,,,,
,Hocquart,,,,4,,,,,,,,,,,,,,,,,,,,
,Notre-Dame du Portage,,,,,,,,,,,,,1,,,,,,,,,,,
,Rivière Bleue,,,,,3,,,,,,,,,,,,,,,,,,,
Terrebonne,St-Jérôme Ste-Thérèse,,,,,1,,,,,,,,,,,,1,,,,,2,,
,New Glasgow,,,,,,,,,,,,,,,,,1,,,,,,,
,St-Jovite,,,,,,,,,,,,,,,,,,,,1,,,,
,Terrebonne, village Ste-Anne des Plaines,,,,,,,,,,,,,,,,,,,,,,,,
