Table: Table_1
Comtés Counties Vaudreuil,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche,Whooping-cough Diphtérie et Croup Diphtheria,and Croup Encéphalite léthargique Lethargic,encephalitis Erysipèle Erysipelas,Grippe épidémique,Epidemic influenza Rabies Hydrophobie (rage),Méningite cérébro-spinale,Cerebro-spinal meningitis Ophtalmie pur. des n.-nés Pur.ophthalmia,neonatorum Oreillons,Mumps Paralysie infantile Poliomyelitis,Paratyphoïde,Paratyphoid Rougeole Measles,Rubéole German,measles (rubella) Scarlatine Scarlet fever,Septicémie puerpérale Puerperal,septicemia Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other,forms) Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox,
Westmount Wolfe Yamaska,Hudson Heights Montreal West Outremont Westmount Stratford,,,,1 1,,,,,,,,1,,,1,2,,,3,,,3,,
,St-Joseph de la Baie du Febvre,,,,,,,,,,,,,,1,,,,,,,2,,,
,,,,,1,,,,,,,,,,,,,,,,,,,,
,Totaux-Totals,,,291,166,1,6,5,,,,,,,,,,,,,,,,,
,,,,,,,,,,4,,14,44,,53,7,195,1,,195,,,,,
,,,,,,,,,,,,,,,,,,,,,,64,22,1,
,,,,,OCTOBRE,,1929,-,,OCTOBER,,,,1929.,,,,,,,,,,,,
,Montréal,,,,,,,,,,,,,,,,,,,,,,,,
,Québec Trois-Rivières,,,241 3,117 38,,9,6,,4,1,89,4,,178,11,236,2,,194,,11,,,
Abitibi,Amos,,,,1,,,,,,,4,,,63,,48,,,15,,2,174 18,,BUREAU
,Rouyn St-Marc de Figuery Figuery Ouest & Dalquier, parties,,,,4,,,,,,,,,,5,,1 2,,,,,4 1 1 1,,,OF
Arthabaska,Warwıck,,,,,,,,,,,,,,,,,,,,,,,,
Beauce,St-Georges,,,,,,,,,,,,,,,,7,,,,,,,,HEALTH
,,,,,1,,,,,,,,,,,,,,,,,,,,
,St-Joseph,,,,7,,,,,,,,,,,,,,,,,,1,,
,Ste-Marie,,,,1,,,,,,,,,,,,3 5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Beauharnois Berthier,St-Stanislas de Kostka St-Barthélemy de Dusablé Lavaltrie,,,,,,1,,,,,,,,,,,,,,,1,2,,
,Lanoraie,,,,,,,,,,,,,,14,,1,,,,,,,,
,Berthierville,,,,,,,,,,,,,,,,,,,1,,,,,
Bonaventure,Carleton,,,,,,,,,,,,,,,,1,,,,,,,,
Brome,Potton,,,,,,,,,,,,,,,,3,,,,,,,,
Chambly,St-Hubert,,,,,,,,,,,,,,,,,,,,,1,,,
,St-Lambert,,,,,,,,,,,,,,,,1,,,,,1,,,
,St-Basile le Grand,,,,,,,,,,,,,,,,2,,,,,,,,
Champlain,St-Louis de France,,,,,,,,,,,,,,,,,,,,,1,,,
,St-Lue de Vincennes,,,,,,,,,,,,,,,,,,,,,2,,,
,St-Narcisse,,,,,,,,,,,,,,,,,,,,,2,,,
,N.-Dame du Mont Carmel,,,,,,,,,,,,,,,,,,,,,1,,,
Charlevoix,La Malbaie, paroisse,,,,,,,,,,,,,,,,1,,,,,,,,
Chateauguay,Très St-Sacrement,,,,,,,,,1,,,,,,,,,,,,,,3,
Chicoutimi,Jonquière, ville Kénogami, canton,,,,,,,,,,,,,,,,,,,,,,,1,
Compton,East Angus,,,,,,,,,,,,,,,,2,,,,,,,,
D.-Montagnes,L'Annonciation,,,,,,,,,,,,,,,,,,,],,,,,
Dorchester,St-Léon de Standon,,,,16,,,,,,,,,,,,,,,,,,,,
Drummond,Drummondville,,,,,,,,,,,,,,,,,,,1,,,,,
Frontenac,St-Sébastien,,,,1,,,,,,,,,,,,,,,,,,,,
Gaspé,Grande Vallée,,,,,,,,,,,,,,1,,,,,,,,,,
Hull,Hull,,,,6,,,,,,,,,,,,,,,,,,,,
,Hull West,,,,,,,,,,,,1,,,,,,,,,,,,
Iberville,St-Jean-Iberville,,,,,,,,,,,,,,,,,,,,,,1,,
Jacques-Cartier,Verdun,,,9,9,,,,,,,9,,,12,,7,,,12,,,5,,
,Beaconsfield,,,,,,,,,,,,,,4,,,,,,,,1,,
,Lachine,,,1,1,,,,,,,,,,,,10,,,,,4,4,,
,Ville LaSalle,,,,1,,,,,,,,,,,,5,,,,,,,,
,St-Laurent,,,,4,,,,,,,,,,,,2,,,6,,,,,
,Dorval,,,,1,,,,,,,,,,,,,,,,,,,,
,Mount Royal, town,,,,,,,,,,,,,,,,1,,,,,,,,
,Notre-Dame de Liesse,,,16,,,,,,4,,,,,,,,,,2,,,,,
,Pointe Claire,,,,,,,,,,,,,,,1,,,,,,,,,
Joliette,St-Thomas de North Jersey,,,,,,,,,,,,,,,,,,,1,,,,,
,Joliette,,,,,,,,,,,,,,,,,,,1,,,,,
Kamouraska,Ste-Hélène,,,,1,,,,,,,,,,,,,,,,,,,,
,Ste-Anne de la Pocatière,,,,5,,,,,,,,,,,,,,,,,,,,
,St-Pacôme,,,,,,,,,,,,,,,,,,,,,1 2,,,
,St-Eleuthère,,,,,,,,,,,,,,,,,,,,,,,,
,St-André,,,,,,,,,,,,,,,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
