Table: Table_1
Comtés Counties Lac St-Jean,Municipalités Municipalities St-Joseph d'Alma,,Anthrax Anthrax (charbon),Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Rabies Hydrophobie (rage),Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie Poliomyelitis infantile,Paratyphoide Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
,St-Prime,,,,,,,,,,,,,,,,,,,,,,,,
Laprairie,Péribonka,,,,,,,,,,,,,,,,,,,,,,,,
,Delson,,,,,,,,,,,,,,,,,,,,,,,,21
L'Assomption,Laprairie,,,,,,,,,,,,,,,,,,,,,,,,2
,St-Henri de Mascouche,,,,,,,,,,,,,,,,,,,,,,,,
,L'Assomption,,,,,5,,,,,,,,,,,,1,,,,,,,
Laval,Ste-Dorothée,,,,,1,,,,,,,,,,,,,,,,,,,
,Pointe aux Trembles,,,,,,,,,,,,,,,,,,,,,,,,
Lévis,St-Romuald,,,,,,,,,,,,,,,,,,,,,,,,
,Lévis,,,,,3,,,,,,,,,,,,,,,,,,,
Lotbinière,Ste-Hélène de Breakeyville,,,,,,,,,,,,,,,,,1 1,,,,,,,
,St-Narcisse de Beaurivage,,,,,,,,,,,,,,,,,,,,,,,,
Maskinongé,Ste-Ursule,,,,,,,,,,,,,,,,,,,,,,,,
Matane Mégantic,Ste-Flavie de Lepage,,,,,,,,,,,,,1,,,,1,,,,,,,
,Ste-Anastasie,,,,,,,,,,,,,,,,,,,,,,,,
,St-Joseph Lyster de Coleraine,,,,,1,,,,,,,,,,,,,,,,,,11,
Missisquoi,Cowansville,,,,2,,,,,,,,,,,,,,,,,,,,
Montcalm,,,,,,,,,,,,,,,,,,,,,,,,,
,Wexford St-Jacques,,,,2,,,,,,,,,,,,,,,,,,1,,
,,,,,,1,,,,,,,,,,,,,,,,,,,
,Rawdon,,,,,1,,,,,,,,,,,,,,,,,,,
Montmorency,St-Laurent I.O.,,,,,1,,,,,,,,,,,,,,,,,,,
Nicolet,Ste-Perpétue,,,,,,,,,,,,,,,,,,,,,,,,
,St-Léonard,,,,,,,,,,,,,,,,,4,,,,,,,
,Bécancour,,,,,,,,,,,,,,,,,1,,,,,,,HEALTH
,Ste-Monique,,,,,,,,,,,,,,,,,,,,,,,,
,Gentilly,,,,,,,,,,,,,,,2,,,,,,,2,,
,,,,,2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Papineau,Ripon,,,,4,,,,,,,,,,,,,,,,,,,,
,Angers Buckingham,,,,1 10,,,,,,,,,,,,,,,,,,,,
,St-André Avellin,,,,1,,,,,,,,,,,,1,,,,,,,,
,Masson,,,,,,,,,,,,,,,,,,,,,,,,
Portneuf,Pont Rouge, village,,,,1,,,,,,,,,,,,,,,,,,,,
,St-Augustin,,,,1,,,,,,,,,,,,,,,,,,,,
,St-Raymond,,,,1,,,,,,,,,,,,1,,,,,,,,
,Neuville Notre-Dame de Portneuf,,,,,,,,,,,,,,,,1,,,,,,,,
Québec,St-Michel Archange,,,,5,,,,,,,,,,1,,,,,,,,,,
