Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoide Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox,
Lotbinière,Deschaillons,,,,,,,,,,,,,,,,,,,1,,,,,
Maskinongé,Maskinongé,,,,,,,,,,,,,,,,,,,,,,,,
Matapédia,St-Benoft Joseph Labre,,,,,,,,,,,,,,,,1,,,1,,,,,
Mégantic,St-Antoine de Pontbriand,,,,1,,,,,,,,,,,,,,,,,,,,
,Thetford A ines,,,,5,,,,,,,,1,,,,,,,,,,,,
,Lyster Stat,,,8,,,,,,,,,,,,,,,,,,,,,
Missisquoi,Cowansville,,,25,,,,,,,,,,,,,,,,,,,,,
Montcalm,Ste-Julienne de Rawdon,,,,1,,,,,,,,,,,,1,,,,,,,,
,Rawdon,,,,,,,,,,,,,,,,,,,,,,,,
Montmorency,St-Laurent I.O,,,,,,,,,,,,,,,,3,,,,,,,,
Nicolet,Nicolet,,,,1,,,,,,,,,,,,1,,,,,,,,
,St-Grégoire,,,,2,,,,,,,,,,,,,,,,,,,,
,St-Léonard d'Aston,,,,,,,,,,,,,,,,,,,,,,,,
Papineau,Ripon,,,,3,,,,,,,,,,,,,,,,,3,,,
,Notre-Dame de Bonsecours, partie nord Buckingham,,,,5 5,,,,,,,,,,,,,,,1,,,,,
,Masson,,,,,,,,,,,,,,,,,,,,,,,,
Pontiac,Litchfield,,,,,,,,,,,,,,,,7,,,,,,,,
Portneuf,St-Augustin,,,,4,,,,,,,,,,,,1,,,,,,,,
,St-Raymond, paroisse,,,,,,,,,,,,,,,,,,,,,,,,
,Pont Rouge, village,,,1,,,,,,,,,,,,,1,,,,,,,,
Québec,Ancienne Lorette,,,,,,,,,,,,,,,,,,,,,,,,
,Mastaï,,,,1,,,,,,,,,,,,,,,,,,1,,
,Gifford,,,,,,,,,,,,1,,16,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Richmond,Asbestos,,,,,,,,,,,,,,,,,3,,,,,1,,
,Brompton,,,,,,,,,,,,,,,,,2,,,,,,,
,Danville,,,,,,,,,,,,,,,,,4,,,,,,,
Rimouski,St-Simon de la Baie du Ha! Ha!,,,,,,,,,,,,,,,,,,,,1,,,,
,St-Valérien,,,,,,,,,,,,,,,,,,,,1,,,,
Rouville,St-Hilaire,,,,,,,,,,,,1,,,,,,,,,,,,
St-Hyacinthe,St-Hyacinthe,,,,11,,,,,,,,,,,,,,,,1,,,,
,La Providence,,,,,1,,,,,,,,,,,,,,,,,,,
St-Maurice,Shawinigan Falls,,,,,1,,,,,,,,,23,,,,,,1,,,,
Shefford,Shefford, canton,,,,,1,,,,,,,,,,,,,,,,,,,
,Granby,,,,,,,,,,,,,,,,,1,,,,,,,
,South Stukely,,,,,,,,,,,,,,,,,1,,,,,,,
Sherbrooke,Sherbrooke,,,,,4,,,,,,,,,,,,7,,,,,3,,
Stanstead,Coaticook,,,,,2,,,,,,,,,,,,,,,,,,,
,Magog,,,,,,,,,,,,,,,1,10,,,,,,,,
,Hatley, township,,,,,,,,,,,,,,,,13,,,,,,,,
