Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde pox
,,,,,,,,,,,,,,,,,,,,,,,,Small
Nicolet,Nicolet Ste-Gertrude,,,,1,,,,,,,,,,,,,,,,,,,
Papineau,Masson,,,,,,,,,,,,,,,,,,,,,1,,
,Papineau,,,,4,,,,,,,,,,,,1,,,,,2,,
Pontiac,Grand Calumet,,,,1,,,,,,,,,,,,,,,,,,,
Portneuf,St-Raymond, paroisse,,,,4,,,,,,,,,,,,,,,,,,,
,Pont Rouge, village,,,,1,,,,,,,,,,,,4,,,,,,,
,St-Augustin,,,,1,,,,,,,,,,,,,,,,,,,
,Donnacona,,,,,,,,,,,,,,,,,,,,,,,
Québec,St-Félix du Cap Rouge,,,,1,,,,,,,,,,,,1,,,,,,,
,Mastaï,,,,,,,,,,,,,,,,,,,,,,,
Richmond,Windsor,,,,1,,,,,,,,,,9,,,,,,,,,
,Danville,,,,,,,,,,,,,,,,,,,,,,,
,Bromptonville,,,,,,,,,,,,,,,,1,,,,,,,
,Shipton,,,,,,,,,,,,,,,,1,,,,,,,
Rimouski,St-Simon, Baie du Ha! Ha!,,,,,,,,,,,,,,,,1,,,,,,,
St-Hyacinthe,St-Hyacinthe,,,,3,,,,,,,,,,,,,,,1,,,,
St-Jean,St-Jean,,,2,,,,,,,,,,,1,,,,,,,,,
St-Maurice,Shawinigan Falls,,,,1,,,,,,,2,,,,,1,,,,,,,
Shefford,Granby,,,,1,,,,,,,,,,48,,,,,,,,,
,South Stukely,,,,,,,,,,,,,,,,,,,,,,,
Sherbrooke,Sherbrooke,,,,8,,,,,,,,,,,,4,,,,,,,
,Ascot Corner,,,,1,,,,,,,,,,,,5,,,,,2,,
,Lennoxville,,,,,,,,,,,,,,,,1,,,,,,,
Soulanges,St-Joseph,,,,,,,,,,,,,,,,3,,,,,,,
,,,,,,,,,,,,,,,,,10,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,
Stanstead,Coaticook,,,,5,,,,,,,1,,,,,,,,,,,,
,Hatley, township,,,,,,,,,,,,,,,,5,,,,,,,
,North Hatley,,,,,,,,,,,,,,,,4,,,,,,,
,West Hatley,,,,,,,,,,,,,,,,1,,,,,,,
,Magog,,,,,,,,,,,,,,21,,,,,,,,,
Témiscamingue,Témiscamingue,,,,,,,,,,,,,,,,,,,,,1,,
Témiscouata,Bégon,,,,,,,,,,,,,,,,,,,1,,,7,
,Rivière-du-Loup,,,,,,,,,,,,,,,,,,,1,,,1,
Terrebonne,St-Jérôme,,,,5,,,,,,1,,,,,,,,,,,1,1,
,Ste-Thérèse,,,,,,,,,,,,,,,,,,,,,,1,
,St-Faustin,,,,9,,,,,,,,,,,,,,,,,,,
Vaudreuil,Hudson Heights,,,,,,,,,,,,,,,,1,,,,,,,
Westmount,Montreal West,,,,,,,,,,,,,,1,,5,,,,,,,
,Outremont,,,23,1,,,,,,,,,,1,2,14,,,1,,,17,
,Westmount,,,1,,,,,,,,,,,,,1,,,,,,,
Wolfe,Garthby,,,,,,,,,,,,,,,,,,,,,,1,
,Wotton,,,,,,,,,,,,,,,,3,,,,,,,
,Totaux-Totals,,,401,252,2,15,17,,3,7,286,2,,590,19,456,,,231,,35,484,10
,,,,,JANVIER,,1930,-,,JANUARY,,,,1930.,,,,,,,,,,,
Table: Table_2
,Montréal,,,405,121,,19,25,,4,,402,,,172,17,312,1,,167,,4,346,5
,Québec,,,1,19,,,,,,1,13,,,110,,45,,,7,,1,9,
,Trois-Rivières,,,10,6,,,,,,,,,,,,,,,14,,1,1,
Abitibi,Amos,,,,,,1,,,,,,,,,,,,,,,,2,
,St-Mars de Figuery,,,,3,,,,,,,,,,,,,,,,,,,
,Senneterre, partie ouest,,,,,,,,,,,,,,2,,,,,,,,,
Arthabaska,Arthabaska,,,,,,,,,,,,,,1,,,,,,,1,,
,Victoriaville,,,,,,,,,,,,,,,,1,,,,,,,
Bagot,Upton,,,,,,,,,,,,,,,,,,,1,,,,
Beauce,St-Come de Kennebec,,,,,,,,,,,,,,,,,,,,,,1,
,Beauceville,,,,,,,,,,,,,,,,1,,,,,,1,
,Ste-Marie,,,,1,,,,,2,,,,,,,,,,,,,,
,St-Martin,,,,,,,,,,,,,,,,1,,,,,,,
Bellechasse,La Durentaye,,,,,,,,,,,,,,14,,,,,,,,,
,St-Michel,,,,,,,,,,,,,,13,,,,,,,,,
Bonaventure,Ste-Germaine de l'Anse aux Gascons,,,,,,,,,,,,,,,,,,,,,1,,
,St-Charles de Caplan,,,,,,,,,,,,,,,,5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
