Table: Table_1
,,,,,,,,,,,FEBRUARY,,,,,,,,,,,,,,,
Table: Table_2
Comtés - Counties Mégantic,Municipalités Municipalities Thetford Mines,,Anthrax Anthrax (charbon),Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Rabies Hydrophobie (rage),Méningite cérébro-spinale Cerebro-spinal,meningitis Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,1930 Paralysie Poliomyelitis infantile,Paratyphoide Paratyphoid,(Continued). Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other,Typhoïde forms) Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde pox
,Inverness Plessisville,,,,,4,,,,,,,,,,,,,,,,,,,Small
Missisquoi,Cowansville,,,,,,,,,,,,,,,,,,,,,,,,
Montcalm,St-Alexis,,,,,7,,,,,,,,,,,,1,,,,,,,
,St-Jacques,,,,,1,,,,,,,,,,3,,,,,,,,,
Montmorency Napierville,L'Ange-Gardien,,,,,1,,,,,,,,,,,,1,,,1,,,,
Nicolet,St-Rémi, village,,,,,,,,,,,,,,,,,,,,,,,,
,Nicolet,,,,,,,,,,,,,,,,,2,,,,,,,
,Lemieux,,,,,,,,,,,,,,,3,,,,,,,,,
Papineau,St-Léonard d'Aston,,,,,1,,,,,1,,,,,,,,,,1,,,,
,Buckingham Masson,,,,,2,,,,,,,,,,,,,,,,,,4,
Pontiac,Pointe à Gatineau,,,,,1,,,,,,,,,,,,,,,,,,,
Portneuf,Portage du Fort,,,,,,,,,,,,,,,,,,,,,,5,,
,St-Marc des,,,,,,,,,,,,,,,,,,,,,,,,
,Carrières Pointe aux Trembles,,,,,1,,,,,,,1,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,1,,
Richelieu,Massueville Portneuf, village,,,,,,,,,,,,,,,,,,,,,,1,,
,St-Denis,,,,,,,,,,,,,,,,,5,,,,,,,
Richmond,Danville,,,,,,,,,,,,,,,,,,,,,,,,
,Melbourne,,,,,,,,,,,,,,,,,,,,,,,1,
,Bromptonville,,,,,,,,,,,,,,,,,,,,,,2,,
Rimouski,Windsor, ville,,,,,,,,,,,,,,,,,2,,,,,2,,
Rouville,Rimouski,,,,,,,,,,1,,,,,,,11,,,,,,,
,St-Césaire,,,,,,,,,,,,1,,,,,,,,,,,,
,Abbotsford,,,,,,,3,,,,,,,,,,,,,,,,,
,,,,3,,,,150,,,,40,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,6,,2,,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Table: Table_3
Saguenay,Clarke City,,,,,,,,,,,,,,,,,,,,,,7,
St-Hyacinthe,St-Hyacinthe,,,,5,,,,,,,3,,,,,,,,,,,1,
St-Jean,St-Blaise,,,,,,,,,,,6,,,,,3,,,,,,,
St-Maurice,Shawinigan Falls Ste-Flore,,,7,,,,,,,,,,,6,,,,,1,,1,,
Sherbrooke,Sherbrooke Lennoxville,,,,2,,,,,,,,,,,,12 4,,,,,1,1,
Soulanges,Soulanges,,,,,,,,,,,,,,,,3,,,,,,,
Stanstead,Coaticook,,,,2,,,,,,,,,,,,,,,,,1,,
,North Hatley,,,1,,,,,,,,,,,,,4,,,,,,,
,Hatley, township Stanstead,,,,,,,,,,,,,,,,4 1,,,,,,,
Témiscamingue,Témiscamingue,,,,1,,,,,,,,,,1,,,,,,,2,,
Témiscouata,Bégon,,,,1,,,,,,,,,,,,,,,,,,,
,Rivière-du-Loup St-Arsène,,,,,,,,,,,,,,18,,,,,2 1,,,,
Terrebonne,St-Jérôme,,,,4,,,,,,,,,,103,,,,,,,,1,
,Terrebonne, ville,,,,,,,,,,,,,,,,4,,,,,,,
,Ste-Agathe,,,,,,,,,,,,,,,,,,,1,,,,
Vaudreuil,Hudson,,,,,,,,,,,,,,,,4,,,,,,,
Westmount,Outremont,,,12,1,,,,,,,15,,,30,3,7,,,,,,1,
,Westmount,,,1,,,2,,,,,5,,,30,,12,,,,,,2,
Yamaska,St-Joseph de la Baie du Febvre,,,,,,,,,,,,,,,,,,,,,2,,
,Totaux-Totals,,,487,168,,31,244,,4,2,657,3,,731,42,478,6,,170,,87,382,
Table: Table_4
,Montréal,,,270,86,,31,16,,6,,456,,,259,74,271,6,,238,,4,260,,
,Québec,,,9,21,,,,,,,5,,,15,,36,,,17,,,,,
,Trois-Rivières,,,29,,,,,,,,,,,1,,4,,,,,3,4,,
Abitibi,Trecesson,,,,3,,,,,,,,,,,,,,,,,,,,
Argenteul,Lachute,,,,,,,,,,,,,,,,1,,,1,,,,,
Arthabaska,Victoriaville,,,,,,,,,,,,,,,,,,,,,1,,,
Beauce,Sacré-Cœur de Jésus,,,,1,,,,,,,,,,,,1,,,,,1,,,
,St-Georges,,,,,,,,,,,,,,,,5,,,3,,1,,,
,St-Philibert,,,,,,,,,,,,,,,,5,,,,,2,,,
,Ste-Marie,,,,,,,,,,,,,,,,3,,,,,,,,
,Tring Jonction,,,,,,,,,,,,,,,,1,,,,,,,,
,St-Elzéar,,,,,,,,,1,,,,,,,,,,,,,,,
