Table: Table_1
Comtés Counties Beauharnois,Municipalités Municipalities,Anthrax Anthrax (charbon),Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and,Croup Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Rabies Hydrophobie (rage),Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie Poliomyelitis infantile,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde pox,
,St-Clément Lac St-Louis, village,,,,1,,,,,,,,,,,,,,,,,,,Small,
Bellechasse,St-Valier St-Louis de Gonzague,,,,,,,,,,,,,,,,,,,,,,,,
Berthier,St-Cuthbert,,,,,,,,,,,,,,,,,,,2,,,,,
,St-Gabriel de Brandon,,,,1,,,,,,,,,,,,,,,,,,,,
,St-Norbert,,,,,,,,,,,,,,,,1,,,,,,,,
Bonaventure,Escuminac,,,,,,,,,,,,,,,,,,,,,,,,
,Paspébiac,,,,,,,,,,,,,,,,,,,,,,,,
,St-Jean l'Evangéliste,,,,,,,,,,,,,,,,,,,,,3,,,
,Mann,,,,,,,,,,,,,,,,,,,,,,6,,
Chambly,St-Lambert,,,,,,,,,,,,,,,,,,,,,,,,
Champlain,St-Basile le Grand,,,2,,,,,,,,,,,12,,1,,,,,,,,
,Cap de la Madeleine,,,,,,,,,,,4,,,,,,,,,,,,,
Châteauguav Chicoutimi,Ste-Martine,,,,,,,,,,,,,,,,2,,,,,,,,
Compton,Jonquière,,,,,,,,,,,,,,,,,,,,,,,,
,Bury,,,,,,,,,,,,,,,,,,,1,,,,,
,Eaton,,,1,1,,,,,,,,,,25,,,,,,,,,,
,Sawyerville,,,,,,,,,,,,,,,,,,,,,,,,
D.-Montagnes,Ste-Scholastique,,,2,,,,,,,,,,,,,8 1,,,,,,2,,
Dorchester,L'Annonciation,,,,,,,,,,,,,,,,3,,,,,,,,
,Ste-Germaine,,,,,,,,,,,,,,],,,,,,,,,,
Drummond,Ste-Rose de Watford,,,,1,,,,,,,,,,,,,,,,,,,,OF
,Drummondville,,,,,,,,,2,,,,,,,7,,,,,,,,
,St-Joseph de Grantham,,,,,,,,,,,,,,,,,,,,,,,,
,St-Eugène de Grantham,,,,,,,,,,,,,,,,,,,,,,,,HEALTH
,,,,,,,,,,,,,,,,,,,,,,3,,,
,,,,,,,,,,,,,,,,,,,,1,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Table: Table_2
Gaspé,Chandler,,,,,,,,,,,,,,,,,,,,,17 1,,,
,Newport,,,,,,,,,,,,,,,,,,,,,,,,
,Percé,,,,,,,,,,,,,,,,3,,,,,,,,
Hull,Hull,,,,,,,,,,,,,,,,,,,1,,,,,
,Masham Nord,,,,,,,,,,,,,,,,,,,1,,,2,,
,Masham Sud,,,,,,,,,,,,,,,,1,,,,,,,,
,Kensington,,,,,,,,,,,,,,,,3,,,,,,,,
,Maniwaki,,,,,,,,,,,,,,,,1,,,,,,,,
Huntingdon,Hinchinbrooke,,,,,,,,,,,,,,,,1,,,,,,,,
,Godmanchester,,,,,,,,,,,2,,,,,,,,,,,55,,
Jacques-Cartier,Notre-Dame de Liesse,,,2,,,,3,,1,3,,,,,,1,,,13,,,5,,
,Verdun,,,2,3,,2,,,,,26,,,32,1,8,,,,,1,19,,
,Lachine,,,5,3,,1,,,,,4,,,47,1,8,,,,,,1,,
,Town Mount Royal,,,1,,,,,,,,22,,,3,,5,,,,,,2,,
,Ville LaSalle,,,,1,,,,,,,,,,,,1,,,,,,,,
,Dorval,,,,1,,,,,,,,,,,,,,,1,,,,,
,Ville St-Laurent,,,,,,1,,,,,1,,,,,1,,,1,,,,,
,Ste-Geneviève, paroisse,,,,,,,,,,,,,,,,,,,,,,,,
,Pointe-Claire,,,6,,,,,,,,1,,,,,,,,,,1,,,
Joliette,Joliette,,,,8,,,,,,,,,,,,,,,,,,,,
,St-Félix de Valois,,,,2,,,,,,,,,,,,,,,,,,1,,
Kamouraska,St-Louis,,,,,,,,,,,,,,,,,,,,,,,,
,St-Pascal,,,,2,,,,,,,,,,,,1,,,,,,,,
,Ste-Anne de la Pocatière,,,,,,,,,,,,,,8,,2,,,,,,,,
Labelle,Joly,,,,8,,,,,,,,,,,,,,,,,,,,
,Labelle,,,,6,,,,,,,,,,,,,,,,,1,,,
Lac St-Jean,St-Joseph d'Alma Ile Maligne,,,,,,,,,,,,,,,,1,,,,,,,,
Laprairie,Laprairie,,,,1,,,,,,,,,,,,,,,,,1,,,
L'Assomption,St-Lin,,,,,,,,,,,,,,,,,,,,,,,,
,St-Paul l'Ermite,,,,,,,,,,,,,,,,2,,,,,,,,
,Charlemagne,,,,,,,,,,,,,,,,1,,,,,1,,,
,St-Roch de l'Achigan,,,,,,,,,,,,,,,,,,,3,,,,,
Laval,St-Jean de Dieu,,,,,,3,,,,,,,,,,,,,,,,,,
,Pointe aux Trembles,,,,2,,,,,,,,,,,,3,,,,,,,,
,Montréal Nord,,,,,,1,,,,,,,,,,,,,1,,,,,
,Ste-Dorothée,,,,1,,,,,,,,,,,,2,,,,,,,,
,L'Abord à Plouffe,,,,,,,,,,,,,,2,,,,,,,,,,
,Montréal Est,,,,,,,,,,,,,,,,,,,1,,,,,
L'Islet,St-Roch des Aulnaies,,,,,,,,,,,,,,,,6,,,,,,,,
,Ste-Louise des Aulnaies,,,,,,,,,,,,,,,,2,,,,,,,,
,St-Aubert,,,,,,,,,,,,,,,,2,,,,,,,,
Lotbinière,St-Jacques de Parasville,,,,,,,,,,,,,,,,4,,,,,,,,
