Table: Table_1
Comtés Counties Mégantic,Municipalités Municipalities Thetford,,Anthrax Anthrax (charbon),Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Rabies Hydrophobie (rage),Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie Poliomyelitis infantile,(Continued). Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
,Mines Lyster St-Pierre Baptiste,,,,,5 1,,,,,,,,,,,,,,,,,,,
Missisquoi Montcalm,Stanbridge,,,,,1,,,,,,,,,,,,,,,,,,,1
,Ste-Marie Salomée,,,,,,,1,,,,,,,,,,,,,,,,,
,St-Esprit,,,,,1,,,,,,,,,,,,,,,,,,,
,St-Jacques,,,,,2,,,,,,,,,,,,,,,,,,,
,St-Alexis,,,,,,,,,,,,,,,,,,,,,,,,
Montmagny,St-Pierre de la Rivière,du,,,,,,,,,,,,,,,,1,,,,,,,
,Sud,,,,,,,,,,,,,,,,,2,,,,,,,
Montmorency Nicolet,L'Ange-Gardien,,,,,,,,,,,,,,,,,,,,,,,,
,Ste-Sophie de Lévrard,,,,6,,,,,,,,,,,,,,,,,,,,
,Nicolet,,,,,1,,,,,,,,,,,,7,,,,,,,
Papineau,Masson,,,,,,,,,,,,,,,,,,,,,,,,
Pontiac,Bristol,,,,,,,,,,,,,,,,,,,,,,,,
Portneuf,St-Casimir, village,,,,8,,,,,,,,,,,,,,,,,,1,,
Québec,St-Michel Archange,,,,,1,,,,,,,,,,,,,,,,,1,,
Richmond,L'Ancienne Lorette,,,,,1,,,,,,,,,,,,,,,,,,,
,Windsor, ville,,,,,1,,,,,,,,,,,,,,,,,,,
,Asbestos,,,,,,,,,,,,,,,,,,,,,,,,
,St-François-Xavier de,,,,,,,,,,,,,,,,,2,,,,,,,
,Brompton,,,,,,,,,,,,,,,,,1,,,,,,,
Rouville,Kingsbury,,,,,,,,,,,,,,,,,,,,,,,,
,St-Césaire,,,,,,,,,,,,,,,,,1,,,,,,,
,Richelieu,,,,,,,,15,,,,,,,,,1,,,,,,,
St-Hyacinthe,St-Hyacinthe,,,,,,,,,,,,,,,,,,,,,,,,
,St-Damase,,,,14,,,,,,,,8,,,,,,,,,,1,,
,,,,,,,,,,,,,7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2,,5 5,20,
,,,,,,,,,,,,,,,,,,,,,,,,,
Saint-Jean,Saint-Jean,,,,2,,,,,,,,,,,,1,,,1,,,,,
St-Maurice,Shawinigan Falls,,,7,7,,,,,,,,,,1,,,,,,,,4,,
Shefford,Granby,,,,,,,,,,,,1,,,,1,,,2,,,,,
Sherbrooke,Sherbrooke,,,,5,,,,,,,,,,,,5,,,1,,,,,
,Lennoxville,,,,,,,,,,,1,,,,,8,,,,,,,,
,Ascot,,,,,,,,,,,,,,,,1,,,,,,,,
Soulanges,Soulanges,,,,,,,,,,,,,,,,2,,,,,,,,
Stanstead,Coaticook,,,,1,,,,,,,,,,1,,,,,,,,,,
,Magog,,,,,,,,,,,,,,,,4,,,,,,,,
Témiscamingue,Témiscamingue,,,1,,,,,,,,,,,,,,,,,,1,2,,
Témiscouata,Rivière-du-Loup,,,5,,,,,,,,9,,,48,,,,,,,,,,
Ile,Verte,,,,,,,,,,,,,,,,1,,,,,,,,
Terrebonne,Terrebonne,,,,,,,,,,,,,,,,,,,,,1,,,
,St-Jérôme,,,,9,,,,,,,,,,22,,,,,,,,,,
,St-Faustin, paroisse,,,,1,,,,,,,,,,,,,,,,,,,,
,St-Jovite,,,,1,,,,,,,,,,1,,,,,3,,,,,
,Wolfe, canton,,,,1,,,,,,,,,,,,,,,,,,,,
,Ste-Agathe,,,,,,,,,,,,,,,,,,,1,,,,,
Vaudreuil,Hudson Heights,,,,,,,,,,,,,,,,14,,,,,,,,RAPPORT-BEZORT,
,Vaudreuil, paroisse,,,,,,,,,,,,,,,,1,,,,,,,,
Westmount,Westmount,,,1,3,,,,,1,,10,,,21,,9,,,2,,1,4,,
,Outremont,,,21,2,,,,,,,53,,,89,1,9,,,3,,,5,,
,Montreal West,,,9,,,,,,,,8,,,,,4,,,,,,2,,
Wolfe,Dudswell,,,,2,,,,,,,,,,,,3,,,,,,,,
,Bishops Crossing,,,,,,,,,,,,,,,,20,,,,,,,,
,Totaux-Totals,,,401,203,,40,34,,11,3,625,1,,589,77,507,6,,303,,59,396,1,1929-30
,,,,,,AVRIL,1930,,-,APRIL,,,1930.,,,,,,,,,,,,,
,Montréal,,,168,60,,26,17,,10,2,359,,,304,199,235,8,,214,,2,234,,
,Québec Trois-Rivières,,,8 4,9 7,,,,,1,,,1,,13,,26 1,,,10,6,,6,,
Abitibi,Ville-Marie,,,,,,,,,,,,,,,,,,,1,,,,,
Argenteuil,Lachute,,,,,,,,,,,,,,,,1,,,,,,,,
Arthabaska,St-Albert de Warwick,,,,3,,,,,,,,,,,,,,,,,,,,
,Victoriaville,,,4,,,,,,,,,,,,,,,,,,,,,
Beauce,Beauceville,,,,,,,,,,,,,,,,,,,1,,,,,
,St-Pierre de Broughton,,,,,,,,,,,,,,,,,,,,,1,,,
,Tring Jonction,,,,,,,,,,,,,,,,1,,,,,,,,45
