Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthårgique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
,St-Georges,,,,,,,,,,,,,,2,,1,,,],,,,
,L'Enfant Jésus,,,,,,,,,,,,,,3,,,,,,,,,
,St-Côme de, Kennebec,,,,,,,,,,,,,,26,,,,,,,,,
,St-Martin,,,,,,,,,,,,,,,,,,,1,,,,
,Ste-Marie,,,,,,,,,1,,,,,,,,,,,,,,
Bonaventure,Maria,,,,1,,,,,,,,,,12,,,,,,,,,
Chambly,Longueuil,,,1,,,,,,,,9,,,,,1,,,1,,,,
,St-Lambert,,,,,,,,,,,,,,4,,1,,,,,,,
Champlain,Parent,,,,,,,,,,,,,,,,,,,,,,5,
,Notre-Dame de la Présenta tion d'Almaville,,,,1,,,,,,,,,,,,,,,,,,,
,St-Stanislas,,,,,,,,,,,,,,,,,,,,,4,,
,Ste-Anne de la Pérade,,,,,,,,,,,,,,,,1,,,,,,,
,La Tuque,,,,,,,,,,,,,,,1,,,,,,,,
Compton,East Angus,,,,,,,,,,,,,,,,1,,,1,,,,
,Bury, township,,,,,,,,,,,,,,,,7,,,,,,,
,Sawyerville,,,1,,,,,,,,,,,,,,,,,,,,
Gaspé,York,,,,,,,,,,,,,,,,,,,,,,3,
,Chandler,,,,,,,,,,,,,,,,,,,,,35,,
Hull,Hull,,,,,,,,,,,,,,,,1,,,,,,,
,Aylmer,,,,,,,,,,,,,,,,1,,,,,,,
Huntingdon,Godmanchester,,,,,,,,,,,,,,1,,,,,,,,,
,Hinchinbrooke,,,,,,,,,,,1,,,,,,,,,,,,
Iberville,Iberville,,,,,,,,,,,,,,,,,,,1,,,,
Jacques-Cartier,Verdun,,,4,2,,,,,,,11,,,14,6,24,1,,8,,1,4,
,Lachine,,,2,3,,,,,,,1,,,96,4,11,,,,,1,4,
,Notre-Dame de Liesse,,,9,1,,,,,,2,,,,,,,,,,,,12,
,,,,,,,,,,,,,,,,,,,,,,,,
Table: Table_2
,,,,,,,,,,,,1,,,,,5 1,,,1,1,,,
,Pointe-Claire,,,,,,,,,,,1,,,3,,1,,,,,,,
,Ville St-Laurent,,,,,,,,,,,,,,,,2,,,,,,,
,Ville LaSalle,,,,,,,,,,,1,,,2,,1,,,,,,,
,Town Mount Royal,,,,,,,,,,,,,,,,8,,,,,,,
,Dorval,,,,2,,,,,,,,,,,,,,,,1,,,
Joliette,Joliette St-Ambroise de Kildare,,,,1,,,,,,,,,,,,,,,,,,,
Kamouraska,St-Louis de Kamouraska Ste-Anne de la Pocatière Ste-Hélène,,,,1,,,,,,,1,,,3,,1,,,,1,,,
Laprairie,Caughnawaga,,,,,,,,,,,,,,,,,,,,16,,,
L'Assomption,St-Roch de l'Achigan St-Lin,,,,,,,,,,,,,,,,1 1,,,,,,,
,L'Assomption,,,,1,,,,,,,,,,,,1,,,,,,,
Laval,Pointe aux Trembles Montréal Est,,,,,,,,,,,,,,69,,,,,,,,,
,Pont Viau,,,,,,1,,,,,,,,,,1,,,,,,,
,St-Jean de Dieu,,,,1,,,,,,,,,,,,2,,,,,,,
Lévis,St-Romuald d'Etchemin,,,,,,,,,,,,,,,3,4,,,,,,,
L'Islet,Ashford,,,,,,,,,,,,,,,,,,,,1,,,
Lotbinière,St-Narcisse de Beaurivage,,,,,,,,,,,,,,,,,,,,,,,
Maskinongé,St-Didace,,,,7,,,,,,,,,,,,1,,,,,1,,
Mégantic,Thetford Mines,,,,,,,,,,,,,,1,,,,,,,,,
Missisquoi,Cowansville,,,,,,,,,,,,,,,,,,,,,,,
,Stanbridge East,,,,,2,,,,,,,,,,,,,,,,,3,
Montcalm,St-Esprit,,,,,3,,,,,,,,,,,,,,,,,,
Montmagny,St-Thomas Montmagny, paroisse,,,,,,,,,,,,,,,,1,,,1,,,,
Montmorency,St-Jean de Boischatel,,,,,,,,,,,,,,,,1,,,1,,,,
Napierville,St-Rémi,,,,,,,,,,,,,,,,1,,,,,1,,
Nicolet,Nicolet,,,,,,,,,,,,,,,1,1,,,,,,,
Portneuf,Neuville,,,,1,,,,,,,,,,,,,,,2,,,,
Québec,St-Michel Archange,,,,,,,,,,,,,,,,3,,,,,,,
Richelieu,St-Joseph,,,,,,,,,,,,,,,,1,,,,,,,
Richmond,Danville,,,,,,,,,,,,,,,,,,,,,,,
,Windsor, ville,,,,,,,,,,,,,,,,2,,,,,,,
,St-François-Xavier de Brompton,,,,,,,,,,,,,,,,,,,1,,,,
Rouville,St-Césaire,,,,,,,,,,,20,,,,,,,,2,,1,,
,St-Michel de Rougemont,,,,5,,,,,,,,8,,,,,,,,1,,,
St-Hyacinthe,St-Hyacinthe,,,,,,,,,,,,,,,,,,,,,,,
,St-Charles,,,,,,,,,,,,1,,,,,,,,,3,,
,La Providence,,,,,,,,,,,,,,,,,,,,,,,
St-Maurice,Shawinigan Falls,,,,,,,,,,,,,,,,,,,,,,,
