Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Ervsipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
Sherbrooke,Sherbrooke,,,,6,,,,,,,,,,,,9,,,,,,,
,Lennoxville,,,,,,,,,,,,,,,,2,,,,,,,
Soulanges,St-Joseph,,,,,,,,,,,,,,,,1,,,,,,,
Stanstead,Hatley, village,,,,,,,,,,,,,,,,4,,,,,,,
,Rock Island,,,,,,,,,,,,,,1,,1,,,,,,,
,North Hatley,,,,,,,,,,,,,,,,1,,,,,,,
,Coaticook,,,,,,,,,,,,,,1,,,,,,,,,
Témiscamingue,Témiscamingue,,,,2,,,,,,,,,,,,,,,,,,3,
Témiscouata,Rivière-du-Loup,,,,,,,,,,,7,,,14,,,,,2,,,1,
,Isle Verte,,,,,,,,,,,1,,,,,1,,,,,,,
,St-Joseph de la Riv. Bleue,,,,,,,,,,,,,,,,,,,,,1,,
,Trois-Pistoles,,,,,,,,,1,,,,,6,,,,,,,,,
,Cacouna,,,,,,,,,,,,,,,,,,,1,,,,
,St-Hubert,,,,,,,,,,,,,,,,,,,1,,,,
Terrebonne,Piedmont,,,,,,,,,,,,,,,,,,,,,,1,
,Terrebonne,,,,3,,,,,,,,,,,,,,,,,,,
,Ste-Thérèse,,,,4,,,,,,,,,,,,,,,,,,,
,St-Jérôme,,,,1,,,,,,,,,,1,,,,,,,,,
,St-Jean Baptiste de Belisle,,,,,,,,,,,,,,,,1,,,,,,,
,St-Faustin,,,,,,,,,,,,,,,,,,,1,,,,
,Ste-Agathe-des-Monts,,,,,,,,,,,,,,,,,,,2,,,,
Vaudreuil,Hudson,,,,,,,,,,,,,,,,2,,,,,,,
Verchères,Varennes, paroisse,,,,,,,,,,,,,,,,1,,,,,1,,
Westmount,Westmount,,,3,,,1,,,1,,5,,,8,,3,,,,,,4,
,Outremont,,,1,,,,,,,,5,,,13,2,5,,,1,,,,
,Montreal West,,,3,,,,,,,,17,,,1,,2,,,,,,,
Wolfe,Bishops Crossing,,,,,,,,,,,,,,,,1,,,,,,,
,Totaux-Totals,,,214,121,,28,17,,14,4,449,,1,598,216,387,9,,261,,68,283,3
Table: Table_2
,,,,,,,29,13,,5,,297,,,447,189,240 35,1,,228 9,,6,307,
,Montréal,,,125,68 19,,,,,,,1,,,3,,3,,,,,1,1,
,Québec,,,,1,,,,,,,,,,,,,,,,,,,
,Trois-Rivières,,,,1,,,,,,,,,,,,,,,,,2,,
Abitibi,Trécesson,,,,,,,,,,,,,,,,,,,1,,,,
,Figuery & Dalquier, parties ouest,,,,,,,,,,,,,,,,6,,,1,,,,
,Amos Senneterre,,,,2,,,,,,,,,,,,2,,,,,,,
Arthabaska,Ste-Elizabeth de Warwick Princeville,,,,,,,,,,,,,,1,,1,,,,,,1,
Bagot,Acton Vale,,,,,,,,,,,,,,,,3,,,1,,,,
Beauce,St-Georges,,,,1,,,,,,,,,,,,8,,,,,,,
,Shenley,,,,,,,,,,,1,,,1,,,,,,,,,
,Ste-Marie,,,,,,,,,,,,,,4,,,,,2,,,,
,L'Enfant Jésus,,,,,,,,,,,,,,,,,,,,,1,,
,St-Côme de Linière St-Ephrem de Tring,,,,,,,,,,,,,,,,,,,,,,,
Beauharnois,St-Clément,,,,1,,,,,,,,,,,,1,,,,,,1,
Bellechasse,Beaumont,,,,,,,,,,,,,,,,,,,,,3,,
Berthier,St-Gabriel de Brandon,,,,,,,,,,,,,,,,,,,,1,,,
Bonaventure,Paspébiac,,,,,,,,,,,,,,,,,,,,,,,
,St-Simeon New Richmond,,,,,,,,,,,14,,,,4,9 4,,,,,,,
Brome,Potton,,,,,,,,,,,,,,,,,,,,,,1,
Chambly,St-Lambert,,,,,1,,,,,,,,,,,,,,,,,,
Champlain,Cap de la Madeleine,,,,,,,,,,,,,,,,,,,,,,1,
,St-Stanislas,,,,,,,,,,,,,,,,,,,,,,1,
,La Pérade,,,,,,,,,,,,,,,,,,,,,,,
Charlevoix,Baie St-Paul,,,,,,,,,,,,,,,,,1,,,,,,
Compton,East Angus,,,,,,,,,,,,,,,S,,,,,,,,
,Compton,,,,,,,,,,,,,,,1,,,,,,,1,
,Sawyerville,,,,,1,,,,,,,,,,,,,,,1,,,
D.-Montagnes,Ste-Scholastique,,,,,,,,,,,,,,,,,,,,,,,
,St-Benoit,,,,,,,,,,,,,,,,,3,,,,,,
,St-Eustache,,,,,,,,,,,,,,,,,,,,,,25,
Dorchester,Ste-Germaine,,,,,1,,,,,,,,,,,,,,,,,1,
Drummond,St-Edmond de Grantham,,,,,,,,,,,,,,,,,,,,,,1,
Gaspé,Chandler,,,,,,,,,,,,,,,,,,,,,,,
,Pabos,,,,,,,,,,1,,,,,,,,,,,,,
,Newport Gaspé,,,,,,,,,,,,,,,,,,,,,,,
