Table: Table_1
,,,,,,,,,,,1930,,(Continued).,,,,,,,,,,,
Table: Table_2
Comtés Counties Hull,Municipalités Municipalities Hull,,Anthrax Anthrax (charbon),Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Rabies Hydrophobie (rage),Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie Poliomyeiitis infantile,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde pox
,Aylwin,,,,,1,,,,,,,,,,,,,,,,,,,Small
Huntingdon,Huntingdon,,,,,1,,,,,,,,,,,,,,,,,,,
Jacques-Cartier,Lachine,,,,,,,,,,,,,,,,,,,,,,,,
,Ville St-Laurent,,,,2,,,,,,,,,,,,,,,,,,,1,
,Verdun,,,,,3,,,,,,,15,,,61,,,,,,,,,
,Pointe-Claire,,,,,2,,1,,,,,1,,,,,7,,,1,,,2,
,Beaconsfield,,,,3,,,,,,1,,3,,,5,,2,,,4,,,5,
,Ville LaSalle,,,,,,,,,,,,,,,,3,17,,,11,,2,8 5,
,Town Mount Royal,,,,,,,,,,,,,,,,1,6,,,,,,,
,Côte St-Luc,,,,1,,,,,,,,,,,,,,,,,,,3,
,Dorval,,,,,,,,,,,,1,,,,,2,,,,,,,
,Notre-Dame de Liesse,,,,,,,,,,,,,,,2,,1,,,,,,,
Joliette,Joliette,,,,5,,,,,,,,,,,,4,,,,,,,,
,Ste-Mélanie,,,,,2,,,,,,,,,,4,,,,,,,,,
Kamouraska,St-Philippe de Néri,,,,,,,,,,,,,,,,,,,,,,,,
,St-André,,,,,,,,,,,,,,,,,2,,,,,,,
Labelle,L'Ascension,,,,,,,,,,,,,,,,,,,,,,,,
Laprairie,Caughnawaga,,,,1,,,,,,,,,,,,,3,,,,,1,,
L'Assomption,St-Paul l'Ermite,,,,,,,,,,,,,,,,,,,,1,,,,BUREAU
,St-Lin,,,,,,,,,,,,1,,,6,,,,,,,,,
Laval,St-Roch de l'Achigan,,,,,,,,,,,,,,,,,,,,,,,1,
,St-Jean de Dieu,,,,,,,,,,,,,,,,,,,,],,,,OF
,Ste-Rose, ville,,,,,,,1,,,,,,,,,,,,,,,3,,
,Laval des Rapides,,,,,,,,,,,,,,,,,,,,,,2,,
,Montréal Nord,,,,,,,,,,,,,,,,,,,,,,,,HEALTH
,St-Martin,,,,,,,,,,,,,,,,,,,,,,1,,
,,,,,,,,,,,,,,,,,,2,,,,,,,
,,,,,,,,,,,,,,,3,2,,,,,1,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
