Table: Table_1
Comtés Counties Soulanges,Municipalités Municipalities,Anthrax Anthrax (charbon,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic,encephalitis Erysipèle Erysipelas,- Grippe épidémique Epidemic influenza,MAY, Rabies Hydrophobie (rage),Méningite cérébro-spinale Cerebro-spinal,1930 meningitis Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,(Continued). Paralysie Poliomyelitis infantile,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) pox (varicella),et varioloïde pox
Stanstead,Soulanges, paroisse North Hatley,,,,,,,,,,,,,,,,,,,,,,Chicken,Variole Small
,West Hatley,,,,1,,,,,,,,,,,,,,,,,,,
,Coaticook,,,,,,,,,,,,,,,,3,,,,,,,
Témiscamingue,Ville Marie,,,,,,,,,,,,,,,,1,,,,,,,
Témiscouata,Notre-Dame du Lac,,,,,,,,,,,,,,,,3,,,,,,,
,Isle Verte,,,,,,,,,,,,,,,,1,,,,,,,
,St-Eloi,,,,1,,,,,,,,,,,,,,,,,,,
,Cabano,,,,,,,,,,,,,,,,,,,,,,3,
,Rivière-du-Loup,,,,,,,,,,,,,,,,,,,1,,,17,
Terrebonne,St-Paul de la Croix,,,,,,,,,,,,,,,,,,,1,,,,
,Ste-Thérèse,,,,,,,,,,,,,,,,,,,1,,,,
,St-Jérôme, ville,,,,2,,,,,1,,,,,,,,,,1,,,,
,Ste-Agathe des Monts,,,,,,,,,,,,,,,,,,,,,,,
,St-Alexis des Monts,,,,,,,,,,,,,,,,,,,,,,,
Vaudreuil,St-Sauveur,,,,,,,,,,,,,,,,1,,,,,,,
,Hudson Heights,,,,,,,,,,,,,,,,,,,1,,,,
Verchères,Vaudreuil,,,,2,,,,,,,,,,,,,,,1,,,,
,Contrecœur, paroisse,,,,,,,,,,,,,,,,,,,2,,,,
Westmount,St-Antoine Westmount sur Richelieu,,,,,,,,,,,,,,,,1,,,,,,,
,Outremont,,,3,2,,,,,,,,,,,,,,,,,,,
,Montreal West,,,4,1,,,,,,,4,,,4,,,,,1,,1,,
,Town Hampstead,,,3,,,,,,,,7,,,12,12,9,,,,,,,
,,,,,,,,,,,,26,,,5,,18,,,1,,1,1,
,Totaux-Totals,,,,,,,,,,,,,,,,1,,,1,,,1,
,,,,149,146,,31,13,,,,,,,,,1,,,,,,1,
,,,,-,,,,,,8,412,,,575,215,,,,,,,,,
,,,,,,,,,,,,,,,,419,,1,223,,65,374,,1
Table: Table_2
,Montréal,,,58,66,1,11,9,,1,2,141,2,,240,112,133,1,,150,,8,273,,
,Québec,,,6,11,,,,,,,,,,2,,24,,,11,,,,1,
,Trois-Rivières,,,,2,,,,,,,,,,,,1,,,,,1,4,,
Abitibi,Trécesson,,,,2,,,,,,,,,,,,,,,,,,,,
Beauce,St-Ephrem,,,,,,,,,,,,,,,,,,,,,,2,,
,St-François,,,,,,,,,,,,,,,,5,,,,,,6,,
,Sacré-Cour de Jésus,,,,,,,,,,,,,,,,,,,,,2,,,
,St-Joseph,,,6,,,,,,,,,,,1,,,,,,,,,,
,St-Georges,,,,,,,,,,,,,,3,,,,,,,,,,
,Ste-Marie,,,,,,,,,,,,,,,,,,,1,,,,,
Chambly,St-Lambert,,,1,,,,,,,,7,,,2,,2,,,,,,,,
,Chambly Canton,,,,,,,,,,,,,,,,,,,1,,,,,
Champlain,Cap de la Madeleine,,,,2,,,,,1,,,,,,,,,,,,,,,
,Ste-Anne de la Pérade,,,,,,,,,,,,,,,,1,,,,,,,,
Chateauguay,Ormstown,,,,,,,,,,,,,,,,1,,,,,,,,
Compton,Compton,,,,1,,,,,,,,,,,,,,,,,,,,
,Bury,,,,,,,,,,,,,,,,3,,,,,,,,
,Eaton,,,,,,,,,,,,,,1,,,,,,,,,,
Drummond,Drummondville,,,,,,,,,,,,,,,,,,,,,,3,,
,St-Cyrille, village,,,,,,,,,,,,,,,,1,,,,,1,,,
,Grantham,,,,,,,,,,,,,,,,,,,,,1,,,
Gaspé,Chandler,,,,,,,,,,,,,,,,,,,,,1,,,
Hull,Aylmer,,,,2,,,,,1,,,,,,,1,,,,,,,,
,Masham Nord,,,,,,,,,,,,,,1,,,,,,,,,,
,Low,,,,,,,,,,,,1,,,,,,,,,,,,
Huntingdon,Huntingdon,,,,,,,,,,,,,,,,,,,,,,1,,
Jacques-Cartier,Verdun,,,,3,,1,,,1,,1,,,10,2,11,,,5,,,11,,
,Lachine,,,2,5,,,,,,,11,,,14,3,5,,,,,,2,,
,Pointe Claire,,,,,,,,,,,2,,,1,,4,,,,,,3,,
,St-Laurent, ville,,,,,,,,,,,,,,,,2,,,,,,5,,
,Beaconsfield,,,,,,,,,,,,,,2,,,,,,,,2,,
