Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubelia),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
Lac St-Jean,Normandin,,,,,,,,,,,,,,,,,,,,,,,
Laprairie,Caughnawaga,,,,,,,,,,,,,,4,,,,,,,,,
L'Assomption,St-Roch de l'Achigan,,,,,,,,,,,,,,,,,,,,,,,
,St-Lin,,,,,,,,,,,,,,,,,,,,,,,
Laval,Montréal Est,,,,2,,,,,,,,,,3,,,,,,,2,,
Lévis,Lévis,,,,,,,,,,,,,,1,,,,,,,,,
L'Islet,St-Eugène,,,,,,,,,,,,,,,,1,,,,,,,
Matane,St-Ulric,,,,,,,,,,,,,,,,1,,,,,,,
,St-Jérôme,,,,,,,,,,,,,,,,2,,,4,,,,
,Dalibaire,,,,,,,,,,,,,,,,,,,,,,,
Mégantie,Thetford Mines,,,,2,,,,,,,,,,,,,,,1,,,,
,St-Antoine de Pontbriand,,,,1,,,,,,,,,,,,,,,,,1,1,1
Montcalm,Kilkenny,,,,,,,,,,,,,,,,,,,,,,,
Montmagny,Montmagny,,,,2,,,,,,,,,,,,,,,,,1,,
,St-Thomas,,,,8,,,,,,,,,,,,,,,,,,,
,Canton Talon, partie sud- est,,,,,,,,,,,,,,,,,,,,,,,
Napierville,St-Rémi,,,,3,,,,,,,,,,,,,,,,,,1,
Nicolet,Nicolet,,,,,,,,,,,,,,,,,,,,,,,
Papineau,Masson,,,,,,,,,,,,,,,,,,,,,,3,
Portneuf,Grondines, paroisse,,,,,,,,,,,,,,,,1,,,,,1,,
Richmond,St-François-Xavier de Brompton Brompton,,,,,,,,,,,,,,2,,1,,,,,,,
Rouville,Ste-Angèle de Monnoir St-Césaire,,,,1,,,,,,,,,,,,,,,,,1 1,,
,,,,,,,,,,,,,,,,,,,,,,,,
Table: Table_2
,,,,,1,,,,,,,1,,,,,2,,,,,,1,
St-Hyacinthe,St-Hyacinthe,,,,,,,,,,,,,,,,,,,2 1,,,4,
,St-Damase,,,,,,,,,,,,,,,,,,,,,1,,
,St-Barnabé,,,,1,,1,,,,,,,,,,2,,,,,,,
St-Maurice,Shawinigan Falls,,,,1,,,,,,,,,,,,2,,,,,1,,
Sherbrooke,Sherbrooke,,,,,,,,,,,,,,,,,,,,,,,1
,Ascot, township,,,,,,,,,,,,,,,,,,,1,,,3,
Témiscamingue,Témiscamingue,,,,,,,,,,,,,,,,,,,1,,,,
Témiscouata,St-Benoft Abbé,,,,,,,,,,,,,,,,,,,,,,,
,Rivière-du-Loup,,,,4,,,,,,,,,,,,,,,,,,,
,Trois-Pistoles,,,,2,,,,,,,,,,,,,,,,,1,,
,Rivière Bleue,,,,2,,,,,,,,,,,,,,,,,1,,
,Notre-Dame du Lac,,,,,,,,,,,,,,,,,,,,,1,,
,St-Cyprien,,,,,,,,,,,,,,,,,,,1,,,,
,St-Hubert,,,,,,,,,,,,,,,,,,,1,,,,
,St-Ludger,,,,,,,,,,,,,,,,,,,,,,,
,St-Epiphane,,,,1,,,,,,,,,,2,,,,,2,,,1,
Terrebonne,Ste-Agathe,,,6,,,,,,,,4,,,,,4,,,,,,,
,St-Jérôme,,,,,,,,,,,16,,,1,,,,,3,,,7,
Westmount,Westmount,,,1,,,,,,,,2,,,17,2,33,,,,,,,
,Montreal West,,,,1,,,,,,,1,,,5,,,,,,,,,
,Outremont,,,,,,,,,,,,,,,,,,,188,,36,333,3
Wolfe,Dudswell,,,,,,,,,,4,2 187,,3,335,119,251,1,,,,,,
,Totaux-Totals,,,89,127,,1,13,9,,,,,,,,,,,,,,,
