Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),X Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
,Montréal Québec,,,61,70 7,1,11,4,,4,3,34,,,112,9,84 14,1,,198 4,,13,49,
,Trois-Rivières,,,,1,,,,,,,,,,,,I,,,,,3,,
Abitibi,Amos,,,,,,,,,,,,,,1,,,,,,,,,
Beauce,St-Frédéric,,,,5,,,,,,,,,,,,,,,,,,,
,Shenly,,,,,,,,,,,,,,,,1,,,,,,,
,Ste-Marie,,,,,,,,,,,,,,,,,,,1,,,,
,St-Ephrem,,,,,,,,,,,,,,,,,,,2,,,,
Berthier,St-Norbert,,,,,,,,,,,,,,,,,,,,,1,,
Brome,Brome, township,,,,2,,,,,,,,,,,,,,,,,,,
,East Bolton,,,,,,,,,,,,,,,,,,,,,3,,
Chambly,St-Lambert,,,,,,,,,,,4,,,,,,,,,,,,
Champlain,La Tuque,,,,1,,,,,,,,,,4,,,,,,,,,
Chicoutimi,Jonquière, ville,,,,,,,,,,,,,,,,,,,,,1,,
Compton,Eaton Cookshire,,,,,,,,,,,,,,2,,1 I,,,,,1,,
,East Angus,,,,,,,,,,,,,,3,,1,,,,,,,
Drummond,Wickham,,,,,,,,,,,,,,,,,,,,,1,,
Gatineau,Messines,,,,1,,,,,,,,,,,,,,,,,,,
Hull,Aylmer,,,,2,,,,,,,,,,,,,,,,,,,
Huntingdon,Hinchinbrooke,,,,1,,,,,,,,,,1,,,,,,,,,
Jacq.-Cartier,Verdun,,,5,,,,,,1,,,,,2,1,1,,,6,,1,8,
,Lachine,,,1,3,,,,,,,10,,,1,,2,,,1,,3,2,
,Mount Roval,,,,,,,,,,,1,,,,,,,,,,,,
,Ville LaSalle,,,,,,,,,,,,,,,,1,,,,,,,
,N.-Dame de Liesse Ville St-Laurent,,,42,1,,,,,,,,,,,,,,,1,,],,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Joliette,Joliette,,,,,1,,,,,,,,,,,,,,,,,,
