Table: Table_1
Comtés - Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle,Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés,Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever Septicémie puerpérale,Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
Richmond,Melbourne,,,,,,,,,,,,,,,,,3,,,,,,,,
Rouville,St-Césaire,,,,,,,,,,,,,,,,,,,,,,,1,,
,St-Hilaire,,10,,,,,,,,,,,,,,,,,,,,,,,
,Ange-Gardien,,,,,,,,,,,,22,,,,,,,,,,,,,
St-Hyacinthe,St-Hyacinthe,,,,,,,,,,,,,,,,,,,,,,,,2,
,St-Denis,,,,,,,,,,,,,,,,,,,,,,,1,,
St-Maurice,Shawinigan Falls,,,5,,,,,,,,,,,,,,,,,,,,,,
Shefford,Waterloo,,,,,,,,,,,,,,,,,,,,,,,1,,
,Granby,,,,,,,,,2,,,,,,,,,,,,,,,,
Sherbrooke,Sherbrooke,,,1,,,,,,,,,,,,,,4,,,,,,,,
,Rock Forest,,,I,,,,,,,,,,,,,,,,,,,,,,
Stanstead,Stanstead Plain,,,2,,,,,,,,,,,,,,,,,,,,,,
,Coaticook,,,1,,,,,,,,,,,,,,,,,,,,,,
Témiscamingue,Ville-Marie,,,,,,,,,,,,,,,,,,,,,,,,1,
,St-Bruno de Guigues,,,,,,,,,,,,,,,,,,,,1,,,,,
,Témiscamingue,,,,,,,,,,,,,,,,,,,,,,,,1,
Témiscouata,Isle Verte,,,3,,,,,,,,,,,,,,,,,,,,,,
,Rivière du Loup,,3,1,,,,,,,,,,,,,,,,,,,,1,,
,St-David d'Estcourt,,,,,,,,,,,,,,,,,,,,,,,1,,
,Ste-Françoise,,,,,,,,,,,,,,,1,,,,,,,,1,,
,Trois-Pistoles,,,,,,,,,,,,,,,,,1,,,,,,,,
Terrebonne,Ste-Agathe, paroisse,,,2,,,,,,,,,,,,,,,,,2,,,,,
,Brébeuf,,,3,,,,,,,,,,,,,,,,,,,,,,
,St-Janvier,,,,,,,,,,,,,,,,,1,,,,,,,,
,St-Jérôme,,1,,,,,,,,,,,,,,,,,,,,,,,
Verchères,Belœil,,,,,,,,,,,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Westmount,Westmount Outremont,,,,,,,,,,,,,,,,,,,,,,,,,
,Montreal West,,,3,,,,,,,,,1,,,1 2,,2,,,,,,,1,
,,,1,,,,,,,,,,3,,,,,16,,,8,,,2,12,
,Totaux-Totals,,124,130,1,11,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4,,7,3,,75,1,,157,10,167 1,,,250,,,61,78,
,,,,AOUT,,1930,,,AUGUST,,,,,1930.,,,,,,,,,,,,,
,Montréal Québec Trois-Rivières,,70,43 6,1,9,,3,,2,,,5,2,,8,,63,,,147,,,16,24,1*
Abitibi,St-Marc de Figuery,,,,,,,,,,,,,,,,,7,,,5,,,,,
,Dupuy Amos,,,,,,,,,,,,,,,,,,,,,,,5 1,1,
Arthabaska,Princeville,,,,,,,,,,,,,,,,,,,,,,,2,,
Beauce,St-Ephrem,,,,,,,,,,,,,,,,,4,,,,,,,,
,Sacré-Coeur de Jésus,,,,,,,,,,,,,,,,,,,,2,,,1,,
,St-Côme de Kennebec,,,,,,,,,,,,,,,,,,,,,,,,1,
