Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobic (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
,Lachine,,,7,2,,,,,,,5,,,,,2,,,,,2,,
,Ville St-Laurent,,,,,,,,,,,,,,,,,,,,,1,,
,Pointe Claire,,,,,,,,,,1,1,,,,,,,,,,,,
,Notre-Dame de Liesse,,,30,,,,,,,,,,,,,1,,,,,,,
Joliette,Joliette,,,,1,,,,,,,,,,,,,,,,,1,,
Kamouraska,St-Joseph,,,,,,,,,,,,,,,,,,,,,1,,
,Ste-Anne,,,,,,,,,,,,,,,,,,,,,7,,
,St-Alexandre,,,,,,,,,,,,,,,,1,,,,,1,,
Lac St-Jean,St-Joseph d'Alma,,,,1,,,,,,,,,,,,,,,,,1,,
,St-Thomas Didyme,,,,,,,,,,,,,,,,1,,,,,,,
,Mistassini,,,,,,,,,,,,,,2,,,,,,,1,,
Laprairie,Caughnawaga,,,,,,,,,,,,,,,,,,,,,,,
Laval,Pointe-aux-Trembles,,,,1,,,,,,,,,,,,,,,,,3,,
,St-Vincent de Paul,,,,,,,,,,,,,,,,2,,,,,1,,
Lévis,Lauzon,,,,,,,,,,,,,,,,,,,,,,,
L'Islet,St-Aubert,,,,4,,,,,,,,,,,,,,,,,4,,
,St-Pamphile,,,,,,,,,,,,,,,,2,,,,,,,
Lothinière,St-Narcisse,,,,,,,,,,,,,,,,,,,2,,,,
,Villeroy,,,,,,,,,,,,,,,,,,,3,,,,
,St-Octave de Dosquet,,,,,,,,,,,,,,,,,,,,,,,
Maskinongé,Maskinongé St-Justin,,,,,1,,,,,,,,,,,,,,,,4 1,,
Matane,St-Jérôme de Matane St-Ulric de Matane,,,,,,,,,,,,,,,,,,,,,2,,
Matapédia,St-Antoine de Padoue de Kempt,,,,,1,,,,,,,,,,,,,,,,,,
Table: Table_2
Mégantic,Thetford Mines,,,,,,,,,,,,,,,,,,,,,,,3,
,Plessisville,,,,2,,,,,,,,,,,,I,,,,,I,,,
,Rivière Blanche,,,,1,,,,,,,,,,,,,,,,,,,,
,St-Antoine de Pontbriand,,,,1,,,,,,,,,,,,,,,,,,,,
,Inverness,,,,,,,,,,,,,,,,1,,,,,,,,
,Irlande-Sud,,,,,,,,,,,,,,,,2,,,,,,,,
Missisquoi,Stanbridge,,,,,,,,,,,,1,,,,,,,,,,,,
Montcalm,Rawdon,,,,1,,,,,,,,,,,,,,,,,,,,
Montmagny,Montmagny,,,,3,,,,,,,,,,,,2,,,,,,,,
,St-Paul,,,,1,,,,,,,,,,,,,,,,,,,,
,Berthier en Bas,,,,,,,,,,,,,,,,,,,,,2,,,
,Canton Talon,,,,,,,,,,,,,,,,1,,,,,,,,
,St-François,,,,,,,,,,,,,,,,1,,,,,,,,
Montmorency,L'Ange-Gardien,,,,,,,,,,,,,,,,,,,,,2,,,
Nicolet,Nicolet,,,,1,,,,,,,,,,,,,,,,,,,,
,St-Léonard d'Aston,,,,,,,,,,,,,,,,,,,,,4,,,
,St-Sylvère,,,,,,,,,,,,,,,,,,,1,,,,,
,Gentilly,,,5,,,,,,,,,,,,,,,,,,,,,
,Ste-Eulalie,,,1,,,,,,,,,,,,,,,,,,,,,
Papineau,Notre-Dame de Bonsecours Papineauville,,,,1,,,,,,,,,,,,3,,,,,,,,
,Buckingham,,,,,,,,,,,,,,,,3,,,,,,,,
Pontiac,Quyon, village,,,,1,,,,,,,,,,,,,,,,,,,,
,Bristol,,,,,,,,,,,,,,,,1,,,,,1,,,
Portneuf,St-Augustin,,,,2,,,,,,,,,,,,,,,,,,,,
,St-Marc,,,1,,,,,,,,,,,,,,,,,,,,,
Québec,Ancienne Lorette,,,,1,,,,,,,,,,,,,,,,,,,,
,Sillery,,,,2,,,,,,,,,,,,,,,,,,,,
Richmond,Asbestos,,,,1,,,,,,,,,,,,,,,,,,,,
,Windsor, ville,,,,,,,,,,,,,,,,7,,,,,,,,
Rouville,St-Césaire,,,,,,,,,,,,,,,,,,,1,,,,,
,Rougemont,,,,,,,,,,,,,,,,,,,1,,,,,
,Richelieu,,,4,,,,,,,,,,,,,,,,,,,,,
St-Hyacinthe,St-Hyacinthe,,,,,,,,,,,,,,3,,,,,2,,,,,
,St-Denis,,,,,,,,,,,,,,,,,,,1,,,,,
St-Maurice,Shawinigan Falls,,,3,1,,,,,,,,,,,,2,,,,,,,,
Shefford,Waterloo,,,,,,,,,,,,,,,,,,,,,2,,,
,Granby,,,,,,,,,,,,,,,,,,,,,1,,,
Sherbrooke,Sherbrooke,,,,1,,,,,,,,,,,,3,,,,,8,,,
,St-Elie d'Orford,,,,,,,,,,,,,,1,,,,,,,,,,
