Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup 000,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
Témiscouata,Isle Verte,,,,3,,,,,,,,,,,,,,,,,,,
,St-Benoit Abbé,,,,1,,,,,,,,,,,,,,,,,,,
,Cacouna,,,,,,,,,,,,,,,,,,,,,1,,
,Hoequart,,,,,,,,,,,,,,,,,,,,,4,,
,St-Antonin,,,,,,,,,,,,,,,,,,,,,1,,
,Trois-Pistoles,,,,,,,,,,,,,,,,,,,,,1,,
,St-Eusèbe,,,,,,,,,,,,,,,,,,,,,1,,
,St-Joseph de la Riv. Bleue,,,,,,,,,,,,,,,,1,,,,,,,
Terrebonne,Brébeuf,,,,1,,,,,,,,,,,,,,,,,,,
,St-Jovite,,,,1,,,,,,,,,,,,,,,,,,,
,Ste-Thérèse,,,,2,,,,,,,,,,,,,,,,,,,
,St-Jérôme,,,8,,,,,,,,,,,,,,,,,,,,
Verchères,Beloeil, ville,,,,,,,,,,,,,,,,1,,,,,,,
Westmount,Westmount,,,2,,,,,,,,1,,,1,,],,,,,,,
,Outremont,,,,3,,1,,,,,,,,1,,14,,,12,,10,3,
,Totaux-Totals,,,137,96,1,10,3,,2,1,14,4,,18,,138,,,185,,104,31,4*
Table: Table_2
Abitibi,Ter. non org. Abitibi,,,,,,,,,,,,,,,,,,,,,4,,,
,Trécesson,,,,,,,,,,,,,,,,,,,,,1,,,
Argenteyil,Harrington,,,,,,,,,,,,,,,,,,,1,,,,,
Arthabaska,Victoriaville,,,,,,,,,,,,,,,,2,,,,,,,,
,Warwick,,,,,,,,,,,,,,,,1,,,,,,,,
Beauce,St-François,,,,,,,,,,,,,,,,,,,,,1,,,
,Sacré-Coeur de Jésus,,,,,,,,,,,,1,,,,,,,,,,,,
,St-Pierre de Broughton,,,,,,,,,,,,,,,,,,,,,,,,
,St-Séverin,,,,,,,,,,,,1,,,,,,,,,,,,
Bellechasse,St-Raphael,,,,,,,,,,,,,,,,,,,,,1,,,
Berthier,St-Michel des Saints,,,,,,,,,,,,,,,,,,,,,1,,,
Bonaventure,New Carlisle,,,,,,,,,,,,,,,,,,,,,7,,,
,Paspébiac,,,,,,,,,,,,,,,,,,,,,1,,,
,Paspébiac-Ouest,,,,,,,,,,,,,,,,,,,,,1,,,
,Mann,,,,,,,,,,,,,,,,,,,,,2,,,
Chambly,Longueuil,,,,,,,,,,,,,,,,,,,,,,,,
,St-Lambert,,,2,,,,,,,,,,,,,1,,,,,,,,
,Chambly Canton,,,,,,,,,,,,,,,,,,,1,,,,,
Champlain,Deux-Rivières,,,,,,,,,,,,,,1,,,,,,,,,,RAPPORT-REPORT,
,Alma, village,,,,,,,,,,,,,,,,6,,,,,,,,
Chateauguay,Chateauguay Bas,,,,,,,,,,,,,,,,,,,,,,5,,
Chicoutimi,Chicoutimi,,,,3,,,,,,,,1,,,,,,,,,,,,
,Bagotville,,,,3,,,,,,,,,,,,,,,,,,,,
,Bégin,,,,,,,,,,,,,,,,,,,,,1,,,
,Racine,,,,,,,,,,,,,,,,,,,,,,,,
,Port Alfred,,,,,,,,,,,,,,,,1,,,,,,,,
,St-Honoré,,,,,,,,,,,,,,20,,,,,,,,,,
Compton,Cookshire,,,,],,,,,,,,,,,,,,,,,,,,
,Bury,,,,,,,,,,,,,,,,1,,,,,,,,
D.-Montagnes,Ste-Scholastique, vil,,,,,,,,,,,,,,,,,,,,,1,,,
Drummond,St-Joseph de Grantham,,,,,,,,,,,,,,,,,,,,,10,,,
,Kingsey Falls,,,,,,,,,,,,,,,,1,,,,,,,,
Frontenac,Ditchfield & Spaulding,,,,,,,,,,,,,,,,,,,,,1,,,
,St-Evariste,,,,,,,,,,,,,,,,2,,,,,,,,
,St-Sébastien,,,,,,,,,,,,,,,,1,,,,,,,,
Hull,Hull, partie ouest,,,,1,,,,,,,,,,,,,,,,,,,,
Jacq.-Cartier,Verdun,,,17,3,,,,,,,,1,,,,11,,,4,,1,4,,
,Baie d'Urfé,,,,,,,,,,,,,,,,,,,,,1,,,
,Ste-Anne de Bellevue,,,,,,,,,,,,,,,,,,,1,,2,,,
,Lachine,,,5,,,1,,,,,3,,,,,11,,,3,,,,,
,Mount Royal,,,],,,,,,,,,,,1,I,1,,,,,,,,
,Pointe Claire,,,,,,,,,,,,,,,,1,,,,,,,,
,St-Laurent,,,,,,,,,,,,,,6,,2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
