Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox,
,Côte St-Lue,,,,,,,,,,,,,,,,,,,,,2,,
,Lachine,,,2,1,,,,,,,9,,,],11,,,2,,1,4,,
,Ste-Geneviève de Pierre- fonds,,,,,,,,,,,,,,,,,,,,1,,,
,Pointe Claire,,,,,,,,,1,,,,,,1,,,,,,,,
,Ste-Anne de Bellevue,,,,,,,,,,,2,,,,,,,,,,,,
,Notre-Dame de Liesse,,,39,,,,,,,,3,,,,,,,,,,,,
,Saraguay,,,,,,,,,,,,,,,,,,,,3,,,
Joliette,Joliette,,,,4,,,,,,,,,,,2,,,,,,,,
,St-Paul de Lavaltrie,,,,6,,,,,,,,,,,,,,,,,,,
,St-Ambroise,,,,,,,,,,,,,,,1,,,,,1,,,
Kamouraska,Ste-Hélène St-Alexandre,,,,1,,,,,,,,,3,,1,,,,,1,,,
,Ste-Anne de la Pocatière,,,,,,,,,,,,,,,1,,,,,,,,
Labelle,Ferme Neuve,,,,,,,,,,,,,,,,,,,,2,,,
Lac St-Jean,Roberval,,,,1,,,,,,,,,13,,5,,,,,,,,
,St-Félicien,,,,,,,,,,,,,,,1,,,,,,,,
,Notre-Dame de la Doré St-Joseph d'Alma,,,,1,,,,,,,,,,,4,,,,,,,,
,Dolbeau,,,,,,,,,,,,,3,,1,,,,,,,,
,St-Augustin,,,,,,,,,,,,,,,4,,,,,,,,
Laprairie,Caughnawaga,,,,,,1,,,,,,,,,,,,,,,,,
L'Assomption,L'Epiphanie,,,,,,,,,,,,,,,2,,,,,1,,,
,St-Roch de l'Achigan,,,,,,,,,,,,,,,,,,,,1,,,
Laval,Montréal-Nord,,,1,,,,,,,,,,,,1,,,1,,,,,
,St-Jean de Dieu Laval des Rapides,,,,,,,,,,,,,,,,,,2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Pointe aux Trembles,,,2,,,,,,,,,,,,,,,,,,,,
L'Islet,St-Marcel,,,,,,,,,,,,,,,,,,,,,,,
,Bonsecours,,,,,,,,,,,,,,,3,,,,,,,,
,L'Islet,,,,,,,,,,,,,,,2,,,,,,,,
,St-Eugène,,,,,,,,,,,,,,,4,,,,,,,,
Lothinière,St-Flavien,,,,,,,,,,,,,37,,,,,,,,,,
