Table: Table_1
Comtés Counties,Municipalités Municipalities*,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis D,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
Richmond,Asbestos,,,,,,,,,,,,,,,,4,,,,,,,
,Bromptonville,,,,,,,,,,,,,,,,],,,,,,,
,Melbourne,,,,,,,,,,,,,,2,,,,,,,,,
Rimouski,Ste-Cécile du Bic,,,,,,,,,,,,,,,,,,,,,,,1
,St-Gabriel,,,,,,,,,,,,,,,,,,,,,3,,
,Rimouski,,,,,,,,,,,,,,2,,,,,,,,,
Rouville,St-Hilaire,,,,,,,,,,,,,,,,16,,,,,,,
,Marieville,,,,,,,,,,,13,,,,,,,,,,,,
,Ste-Angèle de Monnoir,,,,,,,,,,,,,,,,,,,,,,,
St-Hyacinthe,La Présentation,,,,1,,,,,,,,,,,,,,,,,,,
,St-Hyacinthe,,,,,,,,,,,,,,,,,,,1,,22,,
,St-Barnabé,,,,,,,,,,,,,,,,,,,,,2,,
,La Providence,,,,,,,,,,,,,,,,,,,,,1,,
,St-Denis,,,,,,,,,,,,,,,,,,,1,,,,
St-Jean,St-Jean,,,,3,,,,,,,,,,,,,,,,,,,
St-Maurice,Shawinigan Falls,,,,5,,,,,,,,,,5,,4,,,,2,3,,
Saguenay,Sept Cantons Unis de Sa- guenay,,,1,,,,,,,,,,,,,,,,,,,,
Shefford,Granby Waterloo,,,,1,,,,,,,,,,,,I,,,,,,,
,St-Valérien de Milton,,,,,,,,,,,,,,,,,,,1,,,,
Sherbrooke,Sherbrooke,,,,3,,,,,,,,,,,,17,,,,,1,,
,Ascot, township,,,,1,,,,,,,,,,,,,,,,,,,
,Lennoxville,,,,,,,,,,,,,,,,2,,,,,,,
Soulanges Stanstead,St-Polycarpe, village,,,,2,,,,,,,,,,,,1,,,,,,1,
,Hatley, township North Hatley,,,,,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Magog,,,,,,,,,,,,,,,,1,,,,,,,
,Rock Island,,,,,,,,,,,,,,,,1,,,,,,,
Témiscouata,Rivière du Loup,,,,3,,,,,,,,,,,,,,,,,,,
,Trois Pistoles,,,,,,,,,,,,,,,,2,,,,,4,,
,Ste-Rose du Dégélé,,,3,,,,,,,,,,,,,,,,,,,,
,Rivière Trois-Pistoles,,,31,,,,,,,,,,,,,,,,,,,,
,Squattech,,,7,,,,,,,,,,,,,,,,,,,,
,St-Epiphane,,,14,,,,,,,,,,,,,,,,,,,,
Terrebonne,Ste-Thérèse, ville,,,,2,,,,,,,,,,,,4,,,,,1,,
,Terrebonne, ville,,,,1,,,,,,,,,,,,,,,,,,,
,Ste-Agathe,,,,,,,,,,,,,,,,,,,1,,,,
,St-Jérôme, ville,,,1,,,,,,,,,,,,,,,,,,,,
Westmount,Westmount Montreal West,,,1,1,,,,,,,2,,,,,1,,,,,1,,
,Outremont,,,,,,,,,,,2,,,,,4,,,,,4,1,
,Town Mount Royal,,,6,,,,,,,,,,,,,1,,,,,,,
Wolfe,Weedon,,,,,,,,,,,,,,,,1,,,,,,,
,Totaux-Totals,,,234,212,,10,11,,4,,85,7,,167,9,410,2,,167,,176,245,6
,,,,,NOVEMBRE,,,1930,,,NOVEMBER,,1930.,,,,,,,,,,,
Table: Table_2
,Montréal,,,150,108,,17,8,,1,,114,,,90,2,240,,,149,,31,382,,
,Québec,,,20,21,,1,,,,oo,,,,1,,30,,,10,,,6,,
,Trois-Rivières,,,11,1,,,,,,,,,,5,,2,,,,,1,16,1,
Abitibi,Amos,,,,1,,,,,,,,,,,,3,,,,,3,,,
Arthabaska,Victoriaville,,,,,,,,,,,,,,,,,,,,,1,2,,
,St-Rosaire,,,,,,,,,,,,,,,,3,,,,,,,,
,Ste-Elizabeth de Warwick,,,,,,,,,,,,,,1,,,,,,,,,,
Bagot,St-Liboire,,,,,,,,,,,,,,,,,,,1,,,,,
Beauce,St-Frédéric,,,,3,,,,,,,,,,,,,,,,,,,,
,St-Pierre de Broughton,,,,,,,,,,,,,,,,,,,,,1,,,
,Sacré-Cour de Jésus,,,,1,,,,,,,,,,,,,,,,,,,,
,Ste-Marie,,,,,,,,,,,,,,,,,,,,,1,,,
,St-Elzéar,,,5,,,,,,,,,,,,,,,,,,,,,
Berthier,St-Zénon, paroisse,,,,,,,,,,,,,,,,,,,1,,,,,
Bonaventure,Musselyville,,,,1,,,,,,,,,,,,,,,,,,,,
,St-Charles de Caplan,,,,1,,,,,,,,,,,,,,,,,1,,,
Brome,Potton,,,,,,,,,,,,,,,,2,,,,,,,,
,Brome,,,,,,,,,,,,,,,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
