Table: Table_1
Comtés Counties,Municipalités Municipalities.,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
,Arago,,,,,,,,,,,,,,20,,,,,,,,,
,Tourville,,,1,,,,,,,,,,,1,,,,,,,,,
Lotbinière,Lotbinière,,,,1,,,,,,,,,,,,,,,,,,,
,St-Apollinaire,,,,,,,,,,,,,,,,,,,,,1,,
,St-Narcisse,,,,,,,,,,,,,,,,,,,,,2,,
,Ste-Croix,,,,,,,,,,,,,,,,25,,,,,,,
Maskinongé,St-Justin,,,,1,,,,,,,,,,,,,,,,,,,
Matane,Priceville,,,9,,,,,,,,,,,,,,,,,,,5,
,St-Octave de Métis,,,,,,,,,,,,,,,,,,,,,,1,
,Mont Joli,,,,4,,,,,,,,,,,,,,,,,,,
Matapédia,St-Zénon du Lac Humqui,,,,2,,,,,,,,,,,,,,,,,,,
,Lac au Saumon,,,,1,,,,,,,,,,,,,,,,,,,
,St-Benoit Joseph Labre,,,,1,,,,,,,,,,,,,,,,,,,
,St-Léon le Grand,,,,3,,,,,,,,,,,,1,,,,,,,
Mégantic,Thetford Mines,,,,2,,,,,,,,,,,,,,,,,1,,
,Plessisville,,,,,,,,,,,,,,,,1,,,,,,,
,Lyster Station,,,,,,,,,,,,,,,,,,,1,,,,
Missisquoi,Farnham, ville,,,,3,,,,,,,,,,,,,,,,,,,
,Dunham, village,,,,,,,,,,,,,,,,1,,,,,,,
Montcalm,Rawdon,,,,3,,,,,,,,,,,,,,,,,,,
,St-Alphonse de Liguori,,,,,,,,,,,,,,,,,,,,,2,,
,St-Alexis,,,,,,,,,,,,,,,,,,,,,1,,
Montmagny,St-Thomas,,,,1,,,,,,,,,,,,,,,,,1,,
,Montmagny, ville,,,,1,,,,,,,,,,,,,,,,,1,,
,St-Pierre de la Riv. du Sud,,,,,,,,,,,,,,,,,,,,,1,,
,St-François,,,,,,,,,,,,,,,,,,,,,1,,
Nicolet,Nicolet,,,1,1,,,,,,,,,,,,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Table: Table_2
,Ste-Monique,,,,,,,,,,,,,,,,,,,,,2,,
,Gentilly,,,1,,,,,,,,,,,,,,,,,,,,
,St-Narcisse,,,,,,,,,,,,,,,,,,,,,2,,
Papineau,Papineauville,,,,5,,,,,,,,,,,,,,,,,,,
,Ste-Angélique,,,,1,,,,,,,,,,,,,,,,,,,
,Buckingham,,,,2,,,,,,,,,,,,,,,,,,,
,Masson,,,,1,,,,,,,,,,,,2,,,,,4,,
Pontiac,Portage du Fort,,,,,,,,,,,,,,,,30,,,,,,,
,Quyon, village,,,,,,,,,,,,,,,,1,,,,,,,
,Litchfield,,,,,,,,,,,,,,,,1,,,,,,,
Portneuf,St-Casimir, village,,,,2,,,,,,,,,,,,,,,,,,,
,St-Raymond,,,,1,,,,,,,,,,,,,,,,,,,
,Grondines, village,,,,,,,,,,,,,,2,,,,,,,,,
,Pont Rouge, village,,,1,,,,,,,,,,,,,,,,,,,,
Richmond,Melbourne,,,,,,,,,,,,,,,,2,,,,,,,
,Brompton,,,,,,,,,,,,,,,,6,,,,,,,
,Bromptonville,,,,,,,,,,,,,,,,4,,,,,,,
,Asbestos,,,,,,,,,,,,,,,,1,,,,,,,
,Danville,,,,,,,,,,,,,,,,1,,,,,,,
Rouville,Rougemont,,,8,,,,,,,,,,,,,,,,,,,12,
,St-Hilaire,,,,,,,,,,,,,,,,1,,,,,,,
,L'Ange Gardien,,,,,,,,,,,9,,,,,,,,,,,,
,St-Mathias,,,7,,,,,,,,,,,,,,,,,,,,
St-Hyacinthe,St-Hyacinthe,,,1,2,,,,,,,43,,,1,,,,,,,,4,
,Ste-Madeleine,,,,1,,,,,,,,,,,,,,,,,,5,
St-Jean,St-Jean,,,,3,,,,,,,,,,,,2,,,,,,,
St-Maurice,Shawinigan Falls,,,,3,,,,,,1,2,,,2,,10,,,,,1,2,
Saguenay,Sept Cantons Unis de Sa- guenay,,,,,,,,,,,,,,,,,,,1,,,,
Shefford,Shefford West,,,,,,,,,,,,,,,,,,,,,,3,
,Granby,,,,2,,,,,,,,,,,,1,,,,,,1,
,Granby, canton,,,,,,,,,,,,,,,,,,,,,1,,
Sherbrooke,Lennoxville,,,,,,,,,,,,,,,,,,,,,,5,
,Sherbrooke,,,,3,,,,,,,,,,,,,,,,,,,
Soulanges,St-Polycarpe,,,,,,,,,,,,,,,,,,,1,,,,
Stanstead,Hatley-North,,,,1,,,,,,,,,,,,8,,,,,,,
,Hatley, township,,,,,,,,,,,,,,,,2,,,,,,,
,Hatley-West,,,,,,,,,,,,,,,,1,,,,,,,
Témiscamingue,Ville Marie,,,,,,,,,,,,,,,,,,,4,,,,
Témiscouata,Rivière du Loup,,,,3,,,,,,,2,,,,,1,,,,,,4,
,St-Epiphane,,,,4,,,,,,,,,,,,,,,,,,1,
,Ste-Rose du Dégelé,,,,1,,,,,,,,,,,,,,,,,,,
,St-Antonin,,,,,,,,,,,,,,,,,,,,,7,,
,,,,,,,,,,,,,,,,,,,,,,,,
