Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomvelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
,Mesham-Sud,,,,8,,,,,,,,,,,,,,,,,,,
Huntingdon,Elgin,,,,3,,,,,,,,,,,,,,,,,,,
Jacq.-Cartier,Lachine,,,4,,,,,,,,7,,,,,4,,,3,,2,10,
,St-Laurent, ville,,,,,,,,,,,,,,2,,10,,,,,,3,
,Notre-Dame de Liesse,,,3,,,,,,,,,,,,,1,,,,,,12,
,Verdun,,,8,3,,,,,,,1,,,1,,12,,,12,,3,10,
,Pointe-Claire,,,,,,,,,,,,,,,,1,,,,,,,
,Saraguay,,,,,,,,,,,,,,,,1,,,,,,,
,Ste-Anne de Bellevue,,,,,,,,,,,,,,,,,,,1,,,,
Joliette,St-Félix de Valois,,,,3,,,,,,,,,,,,,,,,,,,
,St-Paul,,,,1,,,,,,,,,,,,,,,,,,,
,St-Charles Borromée,,,,1,,,,,,,,,,,,,,,,,,,
,Joliette,,,,,,,,,,,,,,,,1,,,3,,,,
,St-Thomas de North Jersey,,,,,,,,,,,,,,,,3,,,1,,,,
Kamouraska,Ste-Hélène,,,,,,,,,,,,,,,,2,,,,,,,
,St-Eleuthère,,,,,,,,,,,,,,12,,,,,,,,,
Lac St-Jean,St-Félicien,,,,1,,,,,,,,,,,,5,,,,,1,,
,St-Gédéon,,,,,,,,,,,,,,,,1,,,,,1,,
,Mistassini,,,,,,,,,,,,,,,,,,,,,1,,
,Roberval,,,,,,,,,,,,,,,,1,,,,,,,
,St-André,,,,,,,,,,,,,,,,2,,,,,,,
,Hébertville, village,,,,,,,,,,,,,,,,2,,,,,,,
,St-Joseph d'Alma,,,,,,,,,,,,,,,,2,,,,,,,
Laprairie,St-Jacques le Mineur,,,,,,,,,,,,,,,,1,,,,,,,
L'Assomption,L'Epiphanie,,,,,,,,,,,,,,,,2,,,,,,,
,St-Sulpice,,,,,,,,,,,,,,,,,,,1,,,,
Laval,Pointe-aux-Trembles,,,,,,,,,,,,,,,,2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Table: Table_2
,Montréal-Est,,,,,,,,,,,,,,1,,,,,,,,,
,Ste-Dorothée,,,,1,,,,,,,,,,,,,,,,,,,
,St-Jean de Dieu,,,,,,3,,,,,,,,,,,,,3,,,,
,Laval des Rapides,,,,,,,,,,,,,,,,,,,1,,,,
L'Islet,St-Cyrille,,,,,,,,,,,4,,,,,8,,,,,,,
,L'Islet,,,,,,,,,,,,,,6,,,,,,,,,
,Ste-Louise des Aulnaies Bonsecours,,,,,,,,,,,,,,8 1,,,,,,,,,
,St-Eugène,,,,,,,,,,,,,,,,1,,,,,,,
Lotbinière,Ste-Philomène de Fortier- ville,,,,,,,,,,,2,,,,,,,,,,,8,
,St-Apollinaire,,,,,,,,,,,,,,,,4,,,,,,,
,St-Sylvestre,,,,,,,,,,,,,,,,,,,1,,,,
Maskinongé,St-Alexis des Monts,,,,,,,,,,,,,,,,,,,,,8,,
Matane,St-Léandre de la Rivière Blanche,,,,,,,,,,,,,,,,,,,,,,1,
Matapédia,St-Léon le Grand,,,,2,,,,,,,,,,,,,,,,,,,
,St-Zénon du Lac Humqui,,,,1,,,,,,,,,,,,,,,,,,,
,St-Bénoit Joseph Labre Lac au Saumon,,,,2,,,,,1,,,,,,,5,,,,,,,
Missisquoi,Stanbridge,,,,,,],,,,,,,,,,,,,,,1,,
,Dunham,,,,,,,,,,,,,,,,,,,1,,,,
Montmagny,St-Thomas,,,,2,,,,,,,,,,,,,,,,,,,
,Montmagny,,,,1,,,,,,,,,,,,,,,,,,,
,St-Juste de la Bretonnière,,,,2,,,,,,,,,,,,,,,,,,,
Napierville,St-Patrice de Sherrington,,,,,,,,,,,,,,,,1,,,,,,,
Papineau,St-André Avellin Papineauville,,,,11,,,,,,,,,,,,3,,,,,1,,
Pontiac,Onslow-Nord,,,,1,,,,,,,,,,,,,,,,,,,
Québec,Giffard, village,,,,1,,,,,,,,,,,,,,,,,,,1
Richmond,Brompton,,,,,,,,,,,,,,,,4,,,,,,1,
,Windsor, ville,,,,,,,,,,,,,,,,1,,,,,,,
Rouville,St-Ange-Gardien,,,,,,,,,,,3,,,,,,,,,,,3,
,Marieville,,,,2,,,,,,,,,,,,,,,,,,,
,St-Césaire,,,,1,,,,,,,,,,,,,,,,,1,,
St-Hyacinthe,St-Hyacinthe,,,1,,,,,,,,7,,,,,,,,,,,3,
,St-Judes,,,,4,,,,,,,,,,,,,,,,,,,
St-Jean,St-Lue,,,,,,,,,,,,,,,,1,,,,,,,
St-Maurice,Shawinigan Falls,,,,4,,,,,,,,,,,,5,,,,,,,
Shefford,Stukely-Nord,,,,,,,,,,,,,,,,1,,,,,,,
,Waterloo,,,,,,,,,,,,,,,,,,,1,,,,
Sherbrooke,Sherbrooke,,,,3,,,,,,,,,,,,5,,,,,,,1
Soulanges,St-Télesphore,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
