Table: Table_1
,,,,,,,,,,,,,,,,,,,,,,,,,
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis R,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox,
Gatineau,Déléage,,,,2,,,,,,,,,,,,,,,,,,,,
,Low,,,,,,,,,,,,,,,,1,,,,,,,,
Hull,Mesham-Sud,,,,1,,,,,,,,,,,,,,,,,,,,
Huntingdon,Hinchinbrooke,,,,,,,1,,,,,,,,,,,,,,,,,
,Huntingdon,,,,1,,,,,,,,,,,,,,,,,,,,
Iberville,Sabrevois,,,,1,,,,,,,,,,,,,,,,,,,,
,Iberville,,,,1,,,,,,,,,,,,,,,,,,,,
Jacq.-Cartier,Lachine,,,1,2,,,,,,,2,,,,,10,,,5,,1,17,,
,Notre-Dame de Liesse,,,1,,,,,,,,,,,,,5,,,,,,14,,
,Verdun,,,8,2,,1,,,,,,,,,,11,,,3,,1,3,,
,Ste-Anne de Bellevue,,,,1,,,,,,,,,,,,,,,1,,,6,,
,Ste-Geneviève de Pierre- fonds,,,,,,,,,,,,,,,,,,,,,1,,,
,Pointe Claire,,,,,,,,,,,,,,,,3,,,,,,,,
,Ville St-Laurent,,,,,,,,,,,,,,,,6,,,,,,,,
,St-Pierre, ville,,,1,,,,,,,,,,,1,,1,,,,,,,,
,Côte St-Lue,,,,,,1,,,,,,,,,,,,,,,,,,
Joliette,St-Ambroise de Kildare,,,,,,,,,,,,,,,,2,,,,,,,,
,St-Charles Borromée,,,,,,,,,,,,,,,,,,,1,,,,,
Kamouraska,Ste-Anne de la Pocatière,,,,,,,,,,,,,,,,3,,,,,,,,
,Ste-Hélène,,,,,,,,,,,,,,1,,,,,,,,,,
,St-Louis,,,,,,,,,,,,,,7,,,,,,,,,,
Labelle,L'Annonciation,,,,,,,,,,,,,,,,,,,,,,2,,
,Mont Laurier,,,,1,,,,,,,,,,,,,,,,,,,,
Lac St-Jean,Péribonka,,,,3,,,,,,,,,,,,2,,,,,,,,
,Mistassini,,,,,,,,,,,,,,,,8,,,,,15,,,
,St-Joseph d'Alma,,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,St-Augustin,,,,,,,,,,,,,,,,1,,,,,,,,
,Roberval,,,,,,,,,,,,,,,,2,,,,,,,,
L'Assomption,Lachenaie,,,,,,,,,,,,,,,,,,,,,1,,,
,St-Paul l'Ermite,,,,,,,,,,,,,,,,,,,,,2,,,
,St-Lin,,,,,,,,,,,,,,,,,,,,,1,,,
Laval,St-Jean de Dieu,,,,,,3,,,,,,,,,,,,,3,,,,,
,Montréal-Nord,,,,,,,,,,,1,,,,,,,,,,,,,
,Montréal-Est,,,,,,,,,,,,,,,,,,,1,,,,,
,Pointe-aux-Trembles,,,,,,,,,,,,,,1,,,,,,,,4,,
L'Islet,St-Cyrille,,,,,,,,,,,,,,,,6,,,,,,,,
,St-Eugène,,,1,,,,,,,,,,,,,,,,1,,,,,
Lotbinière,St-Apollinaire,,,,,,,,,,,,,,,,1,,,,,,,,
Matane,Priceville,,,,,,,,,,,,,,,,2,,,,,,1,,
,Mont Joli,,,,,,,,,,,,,,,,,,,,,,,,
,Matane,,,,,,1,,,,,,,,,,2,,,,,,,,
,St-Lue,,,,,,,,,,,,,,,,,,,1,,,,,
Matapédia,Ste-Jeanne d'Are,,,,,,,,,,,,,,,,2,,,,,,12,,
,St-Benoît Joseph Labre,,,,,,,,,,,,,,,,5,,,,,,,,
Mégantic,Lyster Station,,,,4,,,2,,,,,,,,,2,,,,,,,,
,Thetford Mines,,,,1,,,,,,,,,,,,,,,,,,,,
Missisquoi,Farnham,,,,1,,,,,,,,,,,,,,,1,,,,,
,Stanbridge,,,,,,1,,,,,,,,,,,,,,,,,,
Montmagny,St-Juste de Bretonnière,,,,4,,,,,,,,,,,,,,,,,,,,
,St-Thomas,,,,3,,,,,,,,,,,,,,,,,,,,
,Ste-Lucie,,,27,,,,,,,,,,,,,,,,,,1,,,
Pontiac,Onslow South,,,,1,,,,,,,,,,,,,,,,,,,,
,Onslow North,,,,2,,,,,,,,,,,,,,,,,,,,
,Allumettes Island,,,,,,,,,,,,,,,,1,,,,,,,,
,Bristol,,,,,,,,,,,,,,,,,,,,,,,,
,Portage du Fort,,,,,,,,,,,,,,,,4 2,,,,,,,,
Portneuf,Pont Rouge, village,,,1,,,,,,,,,,,,,,,,,,,,,
Québec,Charlesbourg,,,,2,,,,,,,,,,,,,,,,,,,,
,Giffard,,,,,,,,,,,,,,,,,,,,,,,,
Richmond,Bromptonville,,,,2,,,,,,,,,,82,,,,,,,,,,
,Danville,,,,,,,,,,,,,,,,1,,,,,,,,
Rimouski,Ste-Anne de la Pointe au Père Rimouski,,,,1,,,,,,,,,,,,,,,,,,3,,
Roberval,Dolbeau,,,,,,,,,,,,,,,,1,,,,,,,,
,St-Félicien, village,,,,,,,,,,,,,,1,,,,,,,,,,
Rouville,Rougemont,,,,,,,,,,,,,,,,12,,,,,,,,
St-Hyacinthe,Notre-Dame de St-Hyacin- the,,,,,,,,,,,,,,,,,,,1,,,8,,
,,,,,,,,,,,,,,,,,,,,,,,,,
