Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme,Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-sp.nale Cerebro-spinal menin vitis menin ritis,Ophtalmie pur. des n.-nés Pur.ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeo!e Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
,Onslow-Nord,,,,,,,,,,,,,,,,,3,,,,,,,
Portneuf,Notre-Dame des Anges,,,,,,,,,,,,,,,,,,,,,,,,
Rimouski,Bic, village,,,,,,,,,,,,,,,,,,,,,,,3,
,St-Simon,,,,,,,,,,,,,,,,,,,,3,,,,
,St-Anaclet,,,,,,,,,,,,,,,,,,,,5,,,,
,N.-Dame du Sacré-Coeur,,,,,,,,,,,,,,,,,,,,1,,,,
,St-Fabien,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,6,,,,
,Ste-Cécile du Bic,,,,,,,,,,,,,,,,,,,,6,,,,
Rouville,St-Ange-Gardien,,,,,,,,,,,,1,,,,,,,,,,2,,
,Ste-Angèle de Monnoir St-Césaire,,,,,,,,,,,,1,,,,,,,,,,1,,
St-Hyacinthe,St-Hyacinthe,,,,,,,,,,,,11,,,,,,,,,,,,
,La Providence,,,,,,,,,,,,,,,,,1,,,2,,,1 11,
,St-Damase,,,,,,,,,,,,,,,,,,,,,,,,
,St-Denis,,,,,,,,,,,,,,,,,,,,,,2,1,
St-Maurice,Shawinigan Falls,,,,,1,,,,,,,,,,2,,4,,,,,1 1,,
Shefford,St-Valérien,,,,,1,,,,,,,,,,,,,,,,,,,
Sherbrooke,Sherbrooke,,,,,3,,,,,,,,,,,,9,,,,,,,
Stanstead,Rock Island,,,,,,,,,,,,,,,,,,,,,,,,
,Hatley, village,,,,,,,,,,,,,,,,,1,,,,,,1,
Témiscamingue,Ville Marie,,,,,,,,,,,,,,,,,,,,,,,,
,Noranda,,,,,,,,,,,,,,,,,2,,,,,,5,
,Témiscamingue,,,,,,,,,,,,1,,,18,,,,,,,,,
,Guigues,,,,,,,,,,,,,,,,,,,,,,,,
,Guérin,,,,2,,,,13,,,,,,,,,,,,1,,,,
Témiscouata,Rivière Bleue,,,,,1,,,,,,,,,,,,,,,,,,,
,Rivière du Loup,,,,,1,,,,,,,,,,2,,,,,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Isle Verte,,,,,,2,,,,,,,,,,,,,,,,,,
Terrebonne,Notre-Dame du Portage St-Faustin,,,,,,,,,,,,,,,,,,,,,,,I,
,St-Jérôme, ville,,,,,,3,,,,,,,,,,,,,,,,,,
Verchères Westmount,McMasterville Westmount,,,,,,,,,,,,,,,,,,2,,,1,,,
,Outremont,,,,,,1 2,,,,,,,,,,37,,9,,,,,1,
,Town of Mount Royal,,,,,,,,,,,1,,3,,,,,4,,,1,,,6
,Hampstead,,,,,,,,,,,,,,,,,,1,,,,,,
Wolfe,Dudswell,,,,,,,,,,,,,,,,2,,,,,,,,
Yamaska,St-Joseph de la Baie du Febvre,,,,,,,,,,,,,,,,2,,,,,,,1,
,Totaux-Totals,,,,142,107,,,27,14,,5,128,,1,723,,24 321,,4,296,,55,363,
,,,,,,,AVRIL,,1931,,APRIL,,1931.,,,,,,,,,,,,
Table: Table_2
,Montréal,,,90,,,,,,,,,,,,,,,,,,,,
,Québec,,,2,47 20,,27,,,,,36,,,1556,24,142,5,,151,,5,259,
,Trois-Rivières,,,,,,,,,,,6,,,1,,15,,,15,,,,
Abitibi,La Sarre,,,,,,,,,,,,,,3,,1,,,,,1,9,
Argenteuil,Morin, partie sud Wentworth,,,,,,,,,,,,,,,,,,,,,1 1,,
,Huberdeau,,,,,,,,,,,,,,41,,,,,,,,,
Arthabaska,Stanfold,,,,1,,,,,,,1,,,,,,,,,,,,
,Warwick, canton Victoriaville,,,,,,,,,,,,,,,,,,,,,,,
Beauce,St-Joseph,,,1,,,,,,,,,,,1,,,,,,,6,,
,L'Enfant Jésus,,,1,,,,,,,,,,,29,,,,,,,,10,
,St-Georges,,,,2,,,,,,,,,,4,,,,,,,,3,
,Shenley,,,,,,,,,,,,,,1,,,,,,,,,
,St-Ephrem,,,,1,,,,,,,,,,,,,,,,,1,,
,Sacré-Cœur de Jésus Ste-Marie,,,,,,,,,,,,,,,,,,,,,] 1,,
,Beauceville,,,,,,,,,,,,,,20,,,,,,,,,
,Saints Anges,,,,,,,,,,,,,,2,,,,,,,6,,
,St-François,,,,,,,,,,,,,,1,,,,,,,,,
Beauharnois,Beauharnois. ville St-Louis de Gonzague,,,,,,,,,,,,,,6,,,,,,,,,
Bellechasse,St-Charles,,,,9,,,,,,,,,,,,,,,1 1,,,,
,,,,,,,,,,,,,,,,,1,,,,,,,
