Table: Table_1
Comtés - Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur. ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German Measles (rubeila),Scarlatine Svarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
Matapédia,St-Léon le Grand,,,,5,,,,,,,,,,,,,,,,,,,
,Lac au Saumon,,,,,,,,,,,,,,,,4,,,,,,,
Mégantie,Lyster Thetford Mines,,,,1,,,,,,,,,,,,,,,,,,2,
,Plessisville,,,,,,,,,,,,,,,,1,,,,,1,,
Montcalm,Rawdon,,,,1,,,,,,,,,,,,,,,,,,,
Montmagny,Cap St-Ignace,,,,,,,,,,,,,,,,I,,,,,,,
Nicolet,Nicolet-Sud,,,,,,,,,,,,,,,,,,,,,,2,
,St-Wenceslas,,,,3,,,,,,,,,,,,,,,,,,,
,Ste-Monique,,,,,,,,,,,,,,,,,,,,,1,,
,St-Pierre les Becquets,,,,,,,,,,,,,,,,,,,,,12,,
,St-Léonard d'Aston,,,,,,,,,,,,,,,,,,,,,2,,
Papineau,Masson,,,,,,,,,,,,,,,,,,,,,1,,
,Plaisance,,,,,,,,,,,,,,,,,,,,,1,,
Pontiac,Bristol,,,,,,,,,,,,,,,,2,,,,,,,
,Onslow, village,,,,,,,,,,,,,,1,,,,,,,,,
,Onslow-Sud,,,,,,,,,,,,,,1,,,,,,,,,
Portneuf,Donnacona,,,,,,,,,,,,,,,,,,,1,,,,
,Pont Rouge,,,3,,,,,,,,,,,,,,,,,,,,
Rimouski,Rimouski,,,,,,,,,,,,,,,,,,,,,4,,
,Ste-Luce,,,,,,,,,,,,,,,,,,,,,1,,
Roberval,St-Félicien,,,,1,,,,,,,,,,,,,,,,,,,
,Roberval,,,,,,,,,,,,,,,13,2,,,,,,,
,Dolbeau,,,,,,,,,,,,,,,,3,,,,,,,
Rouville,St-Césaire,,,,,,,,,,,,,,,,,,,,,1,,
,St-Mathias,,,,,,,,,,,,,,,,,,,,,1,,
,Rougemont,,,,,,,,,,,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
St-Hyacinthe.,St-Hyacinthe St-Joseph,,,,1 1,,,,,,,1,,,21,,,,,,,1,2,
St-Jean,St-Jean, cité,,,,1,,,,,,,,,,,,,,,,,,,
,St-Jean, paroisse,,,,,,,,,,,,,,,,,,,,,,,
St-Maurice,Shawinigan Falls,,,4,,,,,,,,,,,,,,,,1,,,,
Saguenay,Clarke City,,,,1,,,,,,,1,,,3,,15,,,,,1,10,
Shefford,Granby,,,,,,,,,,,,,,,,,,,,,,,
,Shefford, canton,,,,,,,,,,,,,,,,1,,,,,,1,
,Ely-Nord,,,,1,,,,,,,,,,1,,,,,,,,,
Sherbrooke,Sherbrooke,,,,1,,,,,,,,,,1,,1 3,,,,,,,
,Ascot,,,,,,,,,,,,,,,,,,,,,1,,
,Lennoxville,,,,,,,,,,,,,,,,2,,,,,,,
Stanstead,Coaticook,,,,4,,,,,,,1,,,,,1,,,,,,,
Témiscamingue,Noranda,,,,,,,,,,,,,,,,,,,,,,,
,Rouyn,,,,,,,,,,,,,,,,,,,,,1,,
,Témiscamingue Ville Marie,,,,,,,,,,,,,,7,,,,,,,1,,
Témiscouata,Isle Verte,,,,,,,,,,,,,,,,,,,1,,,,
,St-Epiphane,,,,,,I,,,,,,,,,,,,,,,,3,
Terrebonne,Terrebonne, ville,,,,,,,,,,,,,,,,,,,,,,2,
,St-Jérôme, paroisse,,,,,,,,,,,,,,,,I,,,1,,6,,
Westmount,Westmount,,,,,,,,,,,,,,,,1,,,,,,,
,Outremont,,,8,3,,,,,,,,,,67,,6,,,,,,,
,Montreal West,,,1,,,,,,,,2,,,11,1,5,,,,,,11,
,Town of Hampstead,,,,,,,,,,,,,,3,,1,,,,,,,
,Town of Mount Royal,,,,,,,,,,,,,,3,,,,,,,,1,
Wolfe,Ham-Nord,,,,,,,,,,,,,,2,,,,,,,,,
Yamaska,St-Joseph de la Baie du,,,,,,,,,,,,,,,,,,,,,2,,
,Febvre,,,,,,,,,,,,,,,,,,,,,1,,
,Totaux-Totals,,,147,112,,31,2,,1,,62,,,1873,43,280,5,,214,,82,396,
,,,,,,MAI,,1931 -,MAY,,1931.,,,,,,,,,,,,,
,Montréal Québec,,,42,47 15,,12,,,1,,71,1,,2050,21,163,3,,281,,4,218,
,Trois-Rivières,,,,3,,,,,,4,7,1,,2,,11,,,18,,,2,
Abitibi,La Reine, village,,,,,,,,,,,,,,1,,,,,,,,,
,La Reine & DesMeloizes,,,,,,,,,,,,,,,,,,,1,,,,
Argenteuil,Huberdeau,,,,,,,,,,,,,,,,,,,1,,,,
,Lachute, ville,,,,,,,,,,,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2,,,,
