Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,, Ophtalmie pur. des n.-nés Pur. ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German Measles (rubella),Scarlatine Svarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
Matapédia,Ste-Marie de Sayabec,,,,2,,,,,,,,,,,,,,,,,,,
Mégantic,Sacré-Coeur de Marie,,,,1,,,,,,,,,,,,,,,,,,,
,Thetford Mines,,,,,,,,,,,,,,,,,,,,,1,,
Missisquoi,St-Armand-Ouest,,,,,,,,,,,,,,,,,,,,,,,
,Bedford,,,,,,,,,,,,,,,,,,,1,,,,
Montcalm,St-Jacques,,,,1,,,,,,,,,,,,,,,,,,,
Papineau,Montpellier,,,,,,,,,,,,,,,,,,,1,,,,
,Thurso, village,,,,,,,,,,,,,,,,,,,1,,,,
Pontiac,Bristol,,,,,,,,,,,,,,,,7,,,,,,,
,Bryson,,,,,,,,,,,,,,,,1,,,,,,,
,Onslow-Sud,,,,,,,,,,,,,,,,1,,,,,,,
Portneuf,St-Rémi du Lac aux Sables,,,,4,,,,,,,,,,,,,,,,,,,
,Portneuf Station St-Casimir, village,,,,2 2,,,,,,,,,,,,,,,,,,,
,St-Jean Baptiste des Ecu- reuils,,,,,,,,,,,,,,,,,,,1,,,,
Québec,Ancienne Lorette La Malbaie, village,,,,,,,,,,,,,,,,,,,,,2,1,
Rouville,Marieville,,,,,,,,,,,,,,,,,,,,,,1,
,St-Hilaire,,,,,,,,,,,,,,,,,,,,,,16,
Roberval,Roberval,,,,,,,,,,,,,,,5,5,,,,,,,
,St-Méthode,,,,,,,,,,,,,,,,2,,,,,,,
,St-Félicien, village,,,,,,1,,,,,,,,,,1,,,,,,,
St-Hyacinthe,St-Hyacinthe,,,,,,,,,,,,,,,,1,,,1,,,6,
St-Maurice,Shawinigan Falls,,,1,4,,,,,,,,,,2,1,6,,,,,,5,
,Yamachiche, paroisse,,,,,,,,,,,,,,,,,,,1,,,,
Shefford,Stanbridge, canton,,,,,,,,,,,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Sherbrooke,Ascot Corner Lennoxville,,,,,,,,,,,,,,1,,,,,,,,,
,Sherbrooke,,,,,,,,,,,,,,,,,,,2,,,,
Soulanges,St-Télesphore,,,,1,,,,,,,,,,,,8,,,,,2,,
Témiscamingue,Notre-Dame du Nord,,,,,,,,,,,,,,,,,,,,,,,
Témiscouata,Ste-Rose du Dégélé,,,,,,,,,,,,,,,,,,,,,3,,
,St-Joseph de la Rivière Bleue,,,,,,,,,,,,,,,,,,,,,,1,
,Isle Verte,,,16,,,,,,,,,,,,,,,,,,,2,
,Bégon,,,21,,,,,,,,,,,,,,,,,,,,
,Rivière du Loup,,,12,,,,,,,,,,,,,,,,,,,,
Terrebonne,Ste-Adèle,,,,3,,,,,,,,,,,,,,,,,,,
,Val Morin,,,,,,,,,,,,,,,,,,,,,,,
,St-Jérôme, ville,,,,,,,,,,,,,,,,,,,,,,,
Verchères,St-Antoine sur Richelieu,,,,,,,,,,,5,,,1,,1,,,6,,,,
Westmount,Westmount,,,,,,,,,,,,,,,,,,,1,,,,
,Outremont,,,,1,,,,,,,,,,60,,2,,,,,,1,
,Montreal West,,,,,,,,,1,,1 1,,,102,,6,,,1,,1,4,
,Town Mount Royal,,,,,,,,,,,,,,9,,1,,,,,,1,
,Hampstead,,,,,,,,,,,,,,45,,,,,,,,,
Wolfe,Ham-Nord,,,,,,,,,,,,,,3,,,,,,,,,
Yamaska,St-Joseph de la Baie du,,,,,,,,,,,,,,,,,,,,,9,,
,Febvre,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,],,
,Totaux-Totals,,,104,106,,17,,,4,4,95,2,,2494,32,274,3,,352,,52,306,
,,,,,JUIN,,1931,,JUNE,,1931.,,,,,,,,,,,,,
,Montréal Québec,,,32 1,53,,13,,,,5,49,,,1145,11,132,4,,181,,13,211,
,Trois-Rivières,,,,2,,,,,,,,,,6,,,,,12,,,8,
Abitibi,St-Jacques de Dupuy,,,,,,,,,,,,,,,,1,,,,,,,
,Dubuisson, ter. non org,,,,,,,,,,,,,,,,,,,1,,,,
Argenteuil,Wentworth,,,,,,,,,,,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,5,
