Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur. ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German Measles (rubella),Scarlatine Svarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
,Irlande,,,,,,,,,,,,,,,,,,,,,1,,
,Irlande-Sud,,,,,,,,,,,,,,,,3,,,,,,,
Missisquoi,St-Armand-Ouest,,,,,,,,,,,,,,,,1,,,,,1,,
,Notre-Dame de Stanbridge Cowansville,,,,1,,,,,,,,,,,,,,,1,,,,
Montmagny,Montmagny, ville,,,,,,,,,,,,,,,,,,,1,,,,
Napierville,St-Edouard,,,,1,,,,,,,,,,1,,,,,,,,,
Nicolet,Manseau,,,1,,,,,,,,,,,,,,,,,,,,
,St-Léonard d'Aston,,,,,,,,,,,,,,,,,,,,,1,,
Papineau,Buckingham,,,,1,,,,,,,,,,1,,,,,,,1,,
Portneuf,St-Casimir, paroisse,,,,,,,,,,,,,,,,,,,1,,,,
,St-Casimir, village,,,,3,,,,,,,,,,,,,,,,,,,
Québec,St-Michel Archange,,,,2,,,,,,,,,,,,,,,,,,,
Richmond,Windsor, ville,,,,,,,,,,,,,,,,1,,,,,1,,
Rimouski,St-Anaclet,,,,,,,,,,,,,,,40,,,,,,2,,
,Rimouski,,,,1,,,,,,,,,,,,,,,,,,,
,Ste-Blondine,,,,,,,,,,,,,,,,1,,,5,,,,
,St-Gabriel,,,,,,,,,,,,,,,,,,,8,,,,
,St-Donat,,,,,,,,,,,,,,,,,,,8,,,,
,St-Narcisse,,,,,,,,,,,,,,,,,,,2,,,,
,St-Simon,,,,,,,,,,,,,,,,,,,1,,,,
,St-Mathieu,,,,,,,,,,,,,,,,,,,5,,,,
,St-François-Xavier des Hauteurs,,,,,,,,,,,,,,,,,,,5,,,,
,Ste-Lucie,,,,,,,,,,,,,,,,,,,3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Table: Table_2
Rouville,Abbotsford,,,1,,,,,,,,,,,,,,,,,,,,
,Ste-Angèle de Monnoir,,,,,,,,,,,,,,,,,,,,,,2,
,St-Hilaire, paroisse,,,,,,,,,,,,,,,,,,,,,,2,
,St-Ange Gardien,,,,,,,,,,,,,,2,,,,,,,,,
Roberval,Normandin, village,,,,4,,,,,,,,,,37,,,,,,,,,
,St-Méthode,,,,,,,,,,,,,,,,1,,,,,,,
,St-Félicien, village,,,,,,,,,,,,,,,,,,,,,,,
St-Hyacinthe,St-Thomas d'Aquin St-Hyacinthe,,,,,,,,,,,,,,23,,2,,,,,,,
,Ste-Madeleine,,,,,,,,,,,,,,3,,,,,2,,,,
,St-Damase,,,,,,,,,,,,,,1,,,,,,,,,
St-Jean,St-Jean,,,,,,,,,,,,,,,,,,,1,,,,
St-Maurice,Shawinigan Falls,,,,1,,,,,,,,,,,,,,,1,,,,
Shefford,Granby,,,,,,,,,,,,,,6,4,4,,,,,,2,
Sherbrooke,Sherbrooke,,,,1,,,,,,,,,,,,,,,,,,,
,Ascot,,,,,,,,,,,,,,,,2,,,,,,,
,Lennoxville,,,,,,,,,,,,,,,,1,,,,,,,
Témiscouata,St-Joseph de la Rivière Bleue,,,,,,,,,,,,,,I,,,,,,,,,
,Notre-Dame du Lac Rivière du Loup en Bas,,,,],,,,,,,,,,,,,,,,,,12,
Terrebonne,St-Jérôme, ville,,,,1,,,,,,,,,,1,,,,,,,,,
,St-Jérôme, paroisse,,,,,,,,,,,,,,,,2,,,1,,,,
,Ste-Agathe,,,,,,,,,,,,,,,,1,,,,,,,
,Ste-Thérèse,,,,,,,,,,,,,,,,,,,1,,,,
Westmount,Town Mount Royal Outremont,,,2,1,,1,,,,,,,,12,,,,,2,,,,
,Montreal West,,,1,,,,,,,,,,,62,,10,,,2,,,12,
,Westmount,,,,,,,,,,,,,,9,,,,,,,,-,
Wolfe,Ham-Nord,,,,,,,,,,,,,,10,,1,,,,,,1,
Yamaska,Baieville,,,,,,,,,,,,,,,,,,,,,13,,
,,,,,,,,,,,,,,,,,,,,,,1,,
,Totaux-Totals,,,50,120,,14,,,3,5,56,,,1447,55,239,4,,287,,48,270,
