Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur. ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubelia),Scarlatine Scarlet Fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
,Montréal,,,59,40,,12,1,,,3,8,4,,243,2,45,1,,150,,32,68,
,Québec,,,,10,,2,,,,,,,,2,,2,,,11,,1,8,
,,,,,1,,,,,,,,,,,,2,,,,,1,,
,Trois-Rivières,,,,,,,,,,,,,,,,,,,,,,3,
Abitibi,Amos,,,,,,,,,,,,,,,,,,,,,,1,
Argenteuil,Morin, partie Sud Chatham,,,,,,,,,,,,,,1,,,,,,,1,,
,,,,,,,,,,,,,,,,,,,,,,1,,
,Lachute,,,,,,,,,,,,,,,,,,,,,6,,
Arthabaska,Ste-Clothilde de Horton Warwick,,,,,,,,,,,,,,,,,,,,,1,,
,Ste-Elizabeth de Warwick,,,,,,,,,,,,,,,,,,,,,1,,
,Ste-Victoire,,,,,,,,,,,,,,,,1,,,,,,,
,Victoriaville,,,,,,,,,,,,,,1,,,,,,,,,
Beauce,Sacré-Coeur de Jésus,,,,,,,,,,,,,,,,,,,,,,1,1
,Saints-Anges,,,,,,,,,,,,,,,,,,,,,1,,
,Ste-Marie,,,,,,,,,,,,,,,,,,,,,1,,
,St-Georges,,,,,,,,,,,,,,1,,,,,,,,,
Bellechasse,Roux, Bellechasse et Da-,,,,2,,,,,,,,,,,,,,,,,,,
,aquam St-Nérée,,,,3,,,,,,,,,,,,,,,,,,,
Berthier,St-Michel-des-Saints,,,,,,,,,,,,,,,,,,,,,1,,
Bonaventure,Paspébiac,,,,,,,,,,,,,,,,,,,,,1,,
,New Carlisle,,,,,,,,,,,,,,,,,,,1,,,,
,St-François-d'. Assise,,,,,,,,,,,,,,,,,,,3,,,,
,St-Alexis de Matapédia,,,,,,,,,,,,,,,,,,,3,,,,
,Musselyville,,,,,,,,,,,,,,,,,,,1,,,,
Brome,Potton,,,,,,,,,,,,,,,,,,,,,,1,
