Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup,Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur. ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet Fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
Lotbinière,Villeroy,,,,,,,,,,,,,,,,,1,,,,,,,
,Ste-Agathe,,,,,,,,,,,,,,,22,,,,,,,,,
,Leclereville,,,4,,,,,,,,,,,,,,,,,,,,,
,St-Gilles,,,,,,,,,,,,,,,,,,,,,,,,
,St-Antoine de Tilly,,,,,,,,,,,,,,,,,,,,2,,,,
,St-Octave de Dosquet,,,,,,,,,,,,,,,,,,,,3,,,,
,St-Apollinaire,,,,,,,,,,,,,,,,,,,,2,,,,
Maskinongé,St-Paulin,,,,,,,,,,,,,,,,,,,,,,1,,
Matane,Ste-Angèle de Mérici,,,,,,,,,,,,,,,,,,,,8,,,,
Matapédia,Lac au Saumon,,,,,],,,,,,,,,,,,,,,,,,,
,St-Moise,,,,,,,,,,,,,,,,,1,,,,,,,
Mégantic,Thetford Mines,,,,,1,,,,,,,,,,,,,,,,,,,
,Sacré-Coeur de Marie,,,,,2,,,,,,,,,,,,,,,,,,,
,Inverness,,,,,,,,,,,,,,,4,,,,,,,,,
,Plessisville,,,,,,,,,,,,,,,2,,,,,,,,,
,Black Lake,,,,,,,,,,,,,,,,,,,,1,,,,
Missisquoi,Dunham Canton.',,,,,1,,,,,,,,,,,,,,,,,1,,
Montmagny,St-Just de Bretenière,,,,,,,,,,,,,,,,,,,,,,1,,
Napierville,St-Rémi,,,,,,,,,,,,,,,,,],,,,,,,
Pontiac,Bristol,,,,,,,,,,,,,,,,,2,,,,,,,
Portneuf,St-Rémi du Lac aux Sables,,,,,1,,,,,,,,,,,,,,,,,,,
,St-Casimir Village,,,,,1,,,,,,,,,,,,,,,,,,,
,Notre-Dame des Anges,,,,,2,,,,,,,,,,,,,,,,,,,
Richmond,Windsor Canton,,,,,,,,,,,,,,,,,1,,,,,,,
Rimouski,Rimouski Ville,,,,,1,,,,,,,,,,,,,,,,,,,
Rouville,Marieville,,,,,,,,,,,,,,,,,,,,,,1,,
,Rougemont,,,,,,,,,,,,,,,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Roberval,Albanel Paroisse,,,,,,,,,,,,,,,,,,,,,,,1 4,
,Roberval Paroisse,,,,,,,,,,,,,,,,,,1,,,,,,
,St-Félicien Village,,,,,,,,,,,,,,,,,,3,,,,,,
,Dolbeau,,,,,,,,,,,,,,,,,,2,,,,,,
,Normandin,,,,,,,,,,,,,,,,,,],,,,,,
St-Hyacinthe,Ste-Madeleine,,,,,,,,,,,,,,,,10,,,,,,,,
,St-Hyacinthe,,,,,,,,,,,,,,,,,,,,,5,,,
St-Jean,St-Jean,,,,,,,,,,,,,,,,,,,,,,,4,
,St-Jean Paroisse,,,,,,,,,,,,,,,,,,,,,2,,,
St-Maurice,Shawinigan Falls,,,,5,,,,,,,,,,,,1,,5,,,,,,1
Sherbrooke,Sherbrooke,,,,,,4,,,,,,,,,,,,2,,,,,,
Témiscamingue,Noranda,,,,,,,,,,,,,,,,,,1,,,,,,
Témiscouata,St-Joseph de la Rivière,,,,,,,,,,,,,,,,,,,,,,,,
,Bleue,,,,,,,,,,,,,,,,,,,,,,,,2
,Isle Verte,,,,,,1,,,,,,,,,,,,,,,,,,
,Trois Pistoles,,,,,,,,,,,,,,,,],,,,,,,,
,St-Eloi,,,,,,,,,,,,,,,,,,,,,1,,,
Terrebonne,St-Jérôme Ville,,,,,,2,,,,,,1,,,,,,1,,,,,,
,St-Janvier,,,,,,,,,,,,,,,,,,1,,,,,,
,Prévost,,,,,,,,,,,,,,,,1,,,,,,,,
