Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur. ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
,,,,,,,,,,,,,1,,,,,,,,,,,
Chambly,Boucherville Paroisse Longueuil,,,,,,,,,,,,2,,,,,,,,,,,
Champlain,St-Adelphe,,,,1,,,,,,,,,,,,,,,,,,,
,St-Louis de France,,,,2,,,,,,,,,,,,,,,,,,,
Charlevoix,L Malba e Paroisse,,,,2,,,,,,,,,,,,,,,,,,,
Chicoutimi,Kénogami Ville,,,,,,,,,,,,,,,,,,,1,,,,
Compton,Cookshire,,,,,,,,,,,,1,,,,,,,,,1,,
D.-Montagnes,St-Benoit Paroisse,,,,,,,,,,,,1,,,,,,,,,,,
,St-Augustin Ste-Scholastique Village,,,,,,,,,,,,,,,,,,,,,5,,
Dorchester,Ste-Malachie,,,,1,,,,,,,,,,,,,,,,,,,
Drummond,St-Joseph de Grantham,,,,,,,,,,,,,,,,,,,,,1,,
Frontenac,Marston,,,,1,,,,,,,,,,,,,,,,,,,
Gaspé-Sud,Percé,,,,,,,,,,,,5,,,,1,,,,,,,
,Ste-Thérèse de Gaspé,,,,,,,,,,,,7,,,,,,,,,,,
,Anse du Cap,,,,,,,,,,,,3,,,,,,,,,,,
,Grande-Rivière,,,,,,,,,,,,I,,,,,,,,,,,
Gatineau,Messines,,,,1,,,,,,,,,,,,,,,,,,,
,Bouchette,,,,3,,,,,,,,,,,,,,,,,,,
,Wright,,,,,,,,,,,,,,,,,,,,,2,,
Huntingdon,Hemmingford,,,,10,,,,,,,,,,,,,,,,,,,
Iberville,Ste-Alexandre,,,,,,,,,,,,1,,,,,,,,,,,
Jac.-Cartier,Verdun,,,4,2,,1,,,,,,18,,1,,10,,,2,,1,1,
,Notre-Dame-de-Liesse,,,,,,,,,,,,,,,14,,,,,,,3,
,St-Laurent Ville,,,,,,,,,,,,,,,,,,,,,1,,
,Lachine,,,23,,,,,,,,,3,,,,9,,,1,,1,,
,Pointe-Claire,,,,,,,,,,,,1,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Joliette,St-Ambroise,,,,,,,,,,,,,,,,,,,,,,,
,St-Thomas,,,,,,,,,,,,,,,,,,,,,,,
,St-Félix de Valois,,,,,,,,,,,,,,,,1,,,,,10,,
,St-Côme,,,,,,,,,,,,1,,,,,,,,,,,
Kamouraska,St-Louis de Kamouraska,,,,,,,,,,,,2,,,,,,,,,,,
,St-Alexandre,,,,1,,,,,,,,,,,,,,,,,,,
Labelle,Robertson et Pope,,,,,,,,,,,,,,,,,,,,,,,
Lac St-Jean,Ste-Jeanne Are,,,,,,,,,,,,,,,,,,,,,1,,
,St-Joseph d'Alma,,,,,,,,,,,,,,,,,,,,,1,,
Laprairie,Laprairie,,,,,,,,,,,,,,,,,,,,,6,,
L'Assomption,L'Assomption,,,,,,,,,,,,1,,,,2,,,,,,,
L'Assomption,St-Lin,,,,],,,,,,,,,,,,,,,,,1,,
,L'Epiphanie,,,,,,,,,,,,,,,,,,,,,,,
,Maseouche,,,,,,,,,,,,,,,,,,,1,,,,
,Lachenaie,,,,,,,,,,,,I,,,,,,,,,1,,
Laval,St-Jean-de-Dieu,,,,,,,,,,,,1,,,,,,,,,,,
,St-Martin,,,,,,,,,,,,,,,,,,,,,,,
,St-Vincent de Paul,,,,,,,,,,,,,,,,,,,,,8,,
,Laval des Rapides,,,,,,,,,,,,,,,,,,,,,1,,
,Ste-Dorothée,,,,,,,,,,,,,,,,,,,,,1,,
,Ste-Rose Paroisse,,,,,,,,,,,,,,,,,,,1,,,,
Laviolette,Grand'Mère,,,,,,,,,,,,,,,,,,,,,1,,
,Almaville,,,,6,,,,,,,,,,,,,,,1,,,,
L'Islet,St-Aubert,,,,,,,,,,,,,,,,,,,,,,,
Maskinongé,Maskinongé,,,,1,,,,,,,,,,,,1,,,,,,,
,St-Didace,,,,1,,,,,,,,,,,,,,,,,,,
Matane,Matane Paroisse,,,,,,,,,,,,1,,,,,,,,,,,
,Ste-Flavie,,,,,,,,,,,,,,,,,,,,,,,
,Métis-sur-Mer,,,,,,,,,,,,,,,,,,,,,1,,
Mégantic,Lyster Station,,,,,,,,,,,,,,,,,,,4,,,,
,Lyster Village,,,,6,,,,,,,,,,,,,,,1,,,,
,Sacré-Cœur de Marie,,,,1,,,,,,,,,,,,,,,,,,,
,Thetford Mines,,,,4,,,,,,,,,,,,,,,,,,,
,Notre Dame de Lourdes,,,,1,,,,,,,,1,,,,,,,,,,,
,Plessisville,,,,,,,,,,,,,,,,,,,,,,,
,St-Antoine,,,,,,,,,,,,,,,,,,,,,1,,
Missisquoi,St-Pierre de Vérone,,,,,,,,,,,,1,,,,,,,,,2,,
Montmagny,St-François,,,,,,,,,,,,1,,,,,,,,,,,
,Montmagny,,,,,,,,,,,,,,,,,,,,,,,
Napierville,St-Edouard,,,,,,,,,,,,1,,,,,,,,,4,,
Papineau,Masson,,,3,,,,,,,,,1,,,,,,,,,,,
,Buckingham,,,,1,,,,,,,,,,,,,,,,,,,
,Portland Est,,,,2,,,,,,,,,,,,,,,,,13,,
,,,,,,,,,,,,,,,,,,,,,,4 1,,
,,,,,,,,,,,,,,,,,,,,,,,,
