Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur. ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoide Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet Fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
Portneuf,St-Rémi,,,,,,,,,,,,,,,,,,,,,,,
,Donnacona,,,,1,,,,,,,,,,,,,,,,,,,
,St-Casimir Village,,,,,,,,,,,,,,1,,,,,1,,2,,
Québec,St-Colomb de Sillery,,,,,,,,,,,,,,,,,,,,,1,,
Rimouski,Rimouski Ville,,,,,,,,,,,,,,,,2,,,27,,,,
,St-Valérien,,,,,,,,,,,,,,,,,,,5,,,,
,Luceville,,,,,,,,,,,,,,,,,,,4,,,,
Rouville,Marieville,,,,,,,,,,,,1,,,,,,,,,,,
Roberval,Roberval,,,,,,,,,,,,,,,,,,,,,1,,
,Dolbeau,,,,,,,,,,,,,,,,1,,,,,,,
,St-Félicien,,,,,,,,,,,,,,,,1,,,,,,,
St-Hyacinthe,St-Judes,,,,,,,,,,,,,,,,,,,4,,,,
,La Providence,,,,,,,,,,,,,,,,,,,1,,,,
,St-Hyacinthe,,,19,,,,,,,,,,,,,,,,1,,,,
St-Jean,L'Acadie,,,,1,,,,,,,,,,,,,,,,,,,
St-Maurice !,Pointe du Lac Village,,,,4,,,,,,,,,,,,,,,,,,,
,Shawinigan Falls,,,,,,,,,,,,1,,,,10,,,,,,,
Shefford,Lawrenceville Village,,,,,,,,,,,,4,,,,,,,,,1,,
,Shefford Canton,,,,,,,,,,,,1,,1,,,,,,,,,
,Granby,,,,,,,,,,,,1,,,,,,,,,,,
Sherbrooke,Waterville Village,,,,,,,,,,,,,,,,,,,1,,,,
,Sherbrooke,,,,2,,,,,,,,16,,1,,3,,,,,,,
Soulanges,St-Télesphore,,,,1,,,,,,,,,,,,,,,,,,,
Stanstead,Beebe Plain Hatley Village,,,,,,,,,,,,1,,,,,,,1,,,,
Témiscamingue,Témiscamingue,,,,,,,,,,,,,,,,,,,,,1,,
,St-Placide,,,,,,,,,,,,,,,,,,,,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,
Table: Table_2
Témiscamingue,Ville Marie,,,,,,,,,,,,,,,,,,,,,,,
,Rouyn,,,,,,,,,,,,,,,1,,,,,,,,
Témiscouata,St-Eloi Ste-Rose du Dégelé,,,,,1,,,,,1,,,,,,,4 1,,,,,,,
,Notre-Dame du Portage,,,,,,,,,,,,,,,,,,,,,,,
,Estcourt,,,,,,,,,,,,,,,,,,,,,1,,
Terrebonne,Ste-Jérôme Ville,,,,,,,,,,,,,,,,,,,,,1,,
,Ste-Agathe,,,,,,,,,,,,,,,,,,,,,1,,
Vaudreuil,Très St-Rédempteur.,,,,,,,,,,,,,,,,2,,,,,,,
Verchères,McMasterville,,,,,,,,,,,,1,,,,,,,5,,,,
,Contrecceur Paroisse,,,,1,,,,,,,,,,,,,,,,,,,
Verchères,Varennes Paroisse,,,,,,,,,,,,6,,,,,,,,,,,
,Verchères Village,,,,,,,,,,,,2,,,,,,,1,,,,
Westmount,Westmount Montreal West,,,,1,,,,,,,,1 3,,,,,,,,,,,
,Outremont,,,,,,,,,,,,,,,,1,,,,,,4,
Yamaska,St-Joseph-de-la-Baie-du- Febvre,,,1,1,,,,,,,,4,,,,1 1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Totaux-Totals,,,108,163,,9,,,,,,,,,,,,,,,,,
,,,,,,,,,-,,,21,389,,49,15,153,3,,186,,126,63,
Table: Table_3
,Montreal,,,,,,,,,,,,,,,,,,,,,,,
,Québec,,,44,97,,12,,,2,1,22,314,,,,,,,,,,,
,Trois-Rivières.,,,1,20,,,,,I,1,3,6,,229,1,176,5,,146,,19,159,
Abitibi,Trécesson,,,,8,,,,,,,,,,1,,16,,,11,,1,6,
,Amos,,,,1,,,,,,,,,,1,,1,,,,,1,,
,La Sarre,,,,,,,,,,,,,,,,,,,,,,,
Argenteuil,Lachute,,,,,,,,,,,,,,,,,,,,,1,,
,Howard,,,,2,,,,,,,,,,,,,,,,,2,,
,St-Jérusalem,,,,,,,,,,,,,,,,,,,,,,,
,Chatham,,,,,,,,,,,,,,,,,,,,,1,,
Arthabaska,Arthabaska,,,,,,,,,,,,1,,,,,,,1,,,,
,Ste-Clothilde de Horton,,,,,,,,,,,,2,,,,,,,,,,,
,Warwick Village,,,,1,,,,,,,,,,,,,,,,,,,
,St-Albert de Warwick,,,,,,,,,,,,,,,,,,,,,,,
,Princeville Village,,,,,,,,,,,,,,5,,,,,,,,,
,St-Christophe,,,,,,,,,,,,,,,,,,,1,,,,
Bagot,St-Nazaire d'Acton,,,,,,,,,,,,1,,,,,,,1,,,,
Beauce,St-Georges,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,
