Table: Table_1
Comtés - Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur. ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet Fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
Beauce,St-Côme,,,,,,,,,,,,,,,,,,,,,2,1,
,Ste-Marie,,,,2,,,,,,,,,,,,,,,,,3,,
,St-Victor,,,,1,,,,,,,,1,,,,,,,,,,,
,L'Enfant Jésus,,,,1,,,,,,,,,,,,,,,,,,,
,St-Severin,,,,,,,,,,,,,,,,,,,,,1,,
,East Broughton,,,,,,,,,,,,,,,,,,,,,5,,
,St-François,,,,,,,,,,,,,,,,,,,,,3,,
,St-Elzéar,,,,,,,,,,,,,,,,,,,,,1,,
Beauharnois,Valleyfield,,,,,,,,,,,,,,,,,,,1,,,,
,Beauharnois,,,,,,,,,,,,1,,,,1,,,,,1,,
,Lac St-Louis Village,,,,,,,,,,,,,,,,1,,,,,,,
,St-Timothée Village,,,,,,,,,,,,,,,,,,,,,1,,
Berthier,St-Gabriel-de-Brandon Vil-,,,,,,,,,,,,,,,,,,,,,,,
,lage,,,,1,,,,,,,,2,,,,,,,,,,,
,St-Cuthbert,,,,,,,,,,,,,,,,,,,,,I,,
Bonaventure,New Carlisle,,,,,,,,,,,,,,,,,,,,I,1,1,
,Paspébiac,,,,,,,,,,,,,,,,1,,,,,,,
,New Richmond,,,,,,,,,,,,,,,,2,,,,,,,
,St-Laurent de Matapédia,,,,,,,,,,,,,,,,,,,1,,,,
,St-Alexis de Matapédia,,,,,,,,,,,,,,,,,,,2,,,,
Brome,Bolton East,,,,,,,,,,,,1,,,,,,,,,,,
,Knowlton Village,,,,,,,,,,,,,,1,,,,,,,,,
Chambly,Chambly Canton,,,,,,,,,,,,,,,,3,,,,,,,
,Longueuil,,,,,,,,,,,,2,,,,,,,,,,,
Champlain,Ste-Anne de la Pérade,,,,,,,,,,,,,,,,,,,,,2,,
,St-Maurice,,,,1,,,,,,,,,,,,,,,,,,,
,Cap de la Madeleine,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Champlain,St-Adelphe,,,,,,,,,,,,,,,,,,,,,,,
,La Pérade,,,,,,,,,,,,,,,,,,,,,,1,
Charlevoix,Les Eboulements,,,,,,,,,,,,,,,,,,,,,,6,
Chateauguay,Ste-Philomène,,,,,,,,,,,,,,,,23,,,,,,,
,St-Chrysostome,,,,,,,,,,,,,,,,,4,,,,,,
Chicoutimi,Chicoutimi,,,,,,,,,,,,,,,,,1,,,,,,
,Taché,,,,,,,,,,,,,1,,,,,,,,,,
,Jonquière,,,,,,,,,,,,,,,,,,,,,,3,
,Racine,,,,,,,,,,,,,2,,,,1,,,,,,
,Rivière-du-Moulin,,,,,,,,,,,,,1,,,,2,,,,,,
Compton,Scotstown,,,,1,,,,,,,,,,,,,1,,,,,,
,Comptown Township,,,,,,,,,,,,,,,,,,,,,,,
,Bury Clifton,,,,,,,,,,,,,,,,,4,,,,1,,
D.-Montagnes,Ste-Scholastique Village,,,,,,,,,,,,1,,,,,,,,,,,
,Ste-Scholastique Paroisse,,,,,,,,,,,,,,,,,,,,,50,,
,St-Augustin,,,,,,,,,,,,,,,,,,,,,1,,
,St-Placide,,,,,,,,,,,,,,,,,,,,,1,,
,St-Canut,,,,,,,,,,,,,,,,,,,,,1,,
Dorchester,St-Léon de Standon,,,,,,,,,,,,2,,,,,,,,,,,
Drummond,St-Joseph de Grantham,,,,2,,,,,,,,,,,,,,,,,1,,
,Durham Sud,,,,,,,,,,,,,,,,,,,,,,,
Frontenac,St-Léon de Marston,,,,,,,,,,,,,,,,,,,1,,,,
,Ste-Cécile de Whitton,,,,,,,,,,,,,,,,,,,,,5,,
,Lambton Paroisse,,,,,,,,,,,,,,,,25,,,,,,,
Gaspé-Sud,Sydenham Sud,,,,,,,,,,,,1,,,,,,,,,,,
,Ste-Thérèse,,,,,,,,,,,,,,,,,,,,,,13,
,Percé,,,,,,,,,,,,3,,,,,,,,,,,
Gatineau,Messines,,,,,,,,,,,,1,,,,,,,,,,,
,Hull Est,,,,,,,,,,,,,,,,,,,,,1,,
Huntingdon,Havelock,,,,13,,,,,,,,,,,,,,,,,,,
,Godmanchester,,,,,,,,,,,,,,,,1,,,,,,,
Iberville,St-Sébastien,,,,,,,,,,,,I,,,,,,,,,,,
Jac.-Cartier,Verdun,,,1,7,,1,,,,,,,,,,,,,,,1,,
,Lachine,,,5,1,,,,,,1,,23,,1,,20,,,8,,I,2,
,Notre-Dame de Liesse,,,,,,,,,,,2,1,,,,I,,,,,,11,
,Ville St-Laurent,,,,,,,,,,,,,,1,29,,,,,,,5,
,Dorval,,,2,,,,,,,,,6,,,,1,,,,,,1,
,Pointe-Claire,,,,,,,,,,,,,,,,,,,,,,1,
,Ville St-Pierre,,,,,,,,,,,,,,,,I,,,I,,,,
,Ste-Geneviève-de-Pierre-,,,,,,,,,,,,,,,,,,,1,,,,
,fonds,,,,,,,,,,,,,,,,,,,,,,,
Joliette,Joliette,,,,1,,,,,,,,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
