Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur. ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlatine Scarlet Fever,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
,,,,,,,,,,,,,,,,,1,,,,,,1,
Stanstead,Rock Island,,,,,,,,,,,,,,,,2,,,,,,,
,Magog,,,,,,,,,,,,1,,,,,,,,,,,
,Coaticook,,,,,,,,,,,,1,,,,,,,,,,,
,St-Herménégilde,,,,,,,,,,,,1,,,,,,,,,,,
,Stanstead,,,,1,,,,,,,,,,,,5,,,,,,,
Témiscamingue,Ville Marie,,,,,,,,,,,,,,1,,,,,,,,10,
,St-Edouard de Fabre,,,,,,,,,,,,,,,,,,,,,1,,
Témiscouata,St-Modeste,,,,,,,,,,,,,,,,,,,,,1,,
,St-Benoit Abbé,,,,,,,,,,,,,,,,,,,,,1,,
,Hocquart,,,,,,,,,,,,,,,,,,,,,4,,
Terrebonne,St-Joseph de Mont Rolland,,,,,,,,,,,,,,,,,,,,,,,
,Abererombie Ste-Thérèse,,,,,,,,,,,.,3 3,,,,,,,,,,,
Terrebonne,Ste-Thérèse Paroisse Terrebonne Ville,,,,,3,,,,,,,1,,,,,,,,,,,
Verchères,Contrecceur Paroisse Verchères,,,,,,,,,,,,,1 1,,,,,,,,,2,
Westmount,Montréal West,,,,1,1,,,,,,,,3,,,2,,,,,,1,
,Outremont,,,,1,2,,,,,,,,2,,,,5,,,,,,
,Westmount,,,,,,,,,,,,,,,,,,,,,210,226,
,,,,,,,,,,,,29,439,,256,35,328,,5,178,,,,
,Totaux-Totals,,,98,210,,15,,,,3,3,,,,,,,,,,,,
Table: Table_2
,Trois-Rivières,,,,10,,,,,,,,,,,,2,,,1,,3,,
Abitibi,Mine Siscoe, Ter. non org.,,,,,,,,,,,,,,,,,,,,,1,,
Argenteuil,Wentworth,,,,,,,,,,,,,,,,,,,,,I,,
,Chatham,,,,,,,,,,,,,,,,,,,,,1 1,,
,St-Andrews,,,,,,,,,,,,,,,,,,,,,,,
,Lachute,,,,,,,,,,,,,,,,,,,,,1,,
Arthabaska,Arthabaska,,,,,,,,,,,,1,,,,,,,,,,,
,Ste-Clothilde de Horton,,,,,,,,,,,,,,,,,,,,,1,,
,Warwick Village,,,,,,,,,,,,1,,1,,,,,,,,,
Beauce,Beauceville,,,,,,,,,,,,,,,,,,,,,,31,
,St-Martin,,,,,,,,,,,,,,,,,,,,,,17,
Beauce,Shenly,,,,,,,,,,,,,,4,,,,,,,,1,
,St-Victor,,,,2,,,,,,,,,,,,,,,,,,,
,Ste-Marie,,,,1,,,,,,,,,,,,,,,,,,,
,St-Georges,,,,,,,,,,,,,,,,,,,,,3,,
Beauharnois,Valleyfield,,,,,,,,,,,,1,,,,,,,,,,,
Bellechasse,St-Charles,,,,,,,,,,,,,,,,2,,,,,,,
Berthier,St-Viateur,,,,1,,,,,,,,,,,,,,,,,,,
,Lanoraie,,,,2,,,,,,,,,,,,,,,,,1,,
,St-Cuthbert,,,,,,,,,,,,,,,,2,,,,,,,
Bonaventure,St-Charles de Caplan,,,,8,,,,,,,,,,,,,,,,,,,
,Paspébiac,,,,,,,,,,,,,,,,,,,,,1,,
,Paspébiac Ouest,,,,,,,,,,,,,,,,,,,,,1,,
,New Carlisle,,,,,,,,,,,,,,,,1,,,,,,,
,Pabos,,,,,,,,,,,,,,,,,,,,,1,,
,Anse du Cap,,,,,,,,,,,,,,,,,,,,,1,,
,St-Laurent de Matapédia,,,,,,,,,,,,,,,,,,,1,,,,
,Maria,,,,,,,,,,,,,,,,,,,1,,,,
Brome,Knowlton,,,,,,,,,,,,,,25,,,,,,,,,
,Bolton West,,,,,,,,,,,,,,1,,,,,,,,,
Chambly,Longueuil Ville,,,,1,,,,,,,,,,,,,,,,,,,
,St-Lambert,,,,,,,,,,,,,,,,1,,,,,,,
,Chambly Canton,,,,,,,,,,,,,,,,1,,,,,,,
Champlain,Cap de la Madeleine,,,,4,,,,,,,,,,,,,,,,,,,
,La Pérade Village,,,,,,,,,,,,,,,,,,,,,24,,
,Ste-Anne de la Pérade Paroisse,,,,,,,,,,,,,,,,,,,,,2,,
Charlevoix,La Malbaie Paroisse,,,,3,,,,,,,,,,,,,,,,,,,
Chateauguay,Chateauguay,,,,I,,,,,,,,,,,,,,,,,,,
,Ste-Philomène,,,,,,,,,,,1,,,,,3,,,,,,,
,Ormstown,,,,,,,,,,,,,,,,,,,1,,,,
,Ste-Martine,,,,,,,,,,,,,,,1,,,,,,,,
Chicoutimi,Jonquière,,,,,,,,,,,,,,,,2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
