Table: Table_1
Comtés - Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur. ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole. Measles,Rubéole German measles (rubella),Fever Scarlatine Scarlet,Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
Matapédia,Canton Memptayé, ter. non org,,,,,,,,,,,,,,,,,,,,,2,,
,Canton Blais, ter. non org.,,,,1,,,,,,,,,,,,,,,,,,,
,St-Benoit Jos. Labre,,,,,,,,,,,,,,,,,,,,,1,,
,St-Léon le Grand,,,,,,,,,,,,,,,,,,,,,3,,
Mégantic,Plessisville,,,,,,,,,,,,,,,,,,,,,2,,
,Thetford Mines,,,,,,,,,,,,,,,,,,,,,1,,
,Inverness,,,,,,,,,,,,,,,,8,,,,,,,
Missisquoi,Philipsburg,,,,,,,,,,,,,,,,1,,,,,,,
Montcalm,St-Jacques,,,,1,,,,,,,,,,,,1,,,,,,,
Montmagny,Montmagny,,,,6,,,,,,,,,,,,,,,,,,,
,St-Thomas,,,,2,,,,,,,,,,,,,,,,,,,
Montmorency,Chateau Richer,,,,,,,,,,,,,,,,,,,,,13,,
Napierville,St-Michel,,,,,,,,,,,,,,,,4,,,,,,,
Nicolet,Nicolet,,,,2,,,,,,,,,,,,,,,,,,,
,Ste-Monique,,,,1,,,,,,,,,,,,,,,,,1,,
Papineau,Buckingham,,,,1,,,,,,,,,,,,,,,,,,2,
,Thurso,,,,,,,,,,,,,,,,,,,,,,2,
,St-André Avellin,,,,,,,,,,,,,,,,,,,,,,5,
,Masson,,,,,,,,,,,,,,,,,,,,,4,,
Portneuf,St-Casimir Village,,,,7,,,,,,,,,,,,,,,,,,3,
,St-Mare des Carrières,,,,,,,,,,,,,,,,,,,,,1,,
,St-Raymond Village,,,,1,,,,,,,,,,,,,,,,,,,
,St-Raymond Paroisse,,,,2,,,,,,,,,,,,,,,,,,,
,St-Charles des Grondines,,,,,,,,,,,,,,,,,,,,,2,,
,St-Rémi,,,,3,,,,,,,,,,,,,,,,,,,
,St-Ubalde,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Table: Table_2
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Québec,Ancienne Lorette,,,,1,,,,,,,,,,,,,,,,,,,
Richelieu,St-Joseph,,,10,,,,,,,,,,,,,,,,,,,,
Richmond,Melbourne Town,,,,,,,,,,,,,,,,,,,,,,,
,Windsor,,,,,,,,,,,,],,,,1,,,,,,,
,Bromptonville,,,,,,,,,,,,,,,,,,,,,,,
Rimouski,St-Anaclet,,,,,,,,,,,,1,,,,,,,,,,,
,St-Gabriel,,,,,,,,,,,,,,,,,,,,,,7,
,Rimouski Ville,,,,,,,,,,,,,,,,,,,,,1,,
,Notre-Dame Sacré-Cœur,,,,,,,,,,,,,,,,3,,,,,,,
,Ste-Blandine,,,,,,,,,,,,,,,,3,,,,,,,
Rouville,Richelieu,,,,,,,,,,,,,,,62,,,,,,,,
,Abbotsford,,,,,,,,,,,,,,,,,,,,,1,,
,Marieville,,,7,,,,,,,,,,,,,,,,,,1,,
,Rougemont,,,,,,,,,,,,,,,,1,,,,,,,
Roberval,St-Félicien,,,,,,,,,,,,2,,,,,,,,,,,
St-Hyacinthe,St-Hyacinthe,,,8,1,,,,,,,,,,,,1,,,,,,,
La,Providence,,,2,,,,,,,,,,,,,,,,1,,,,
St-Maurice,Shawinigan Falls,,,2,6,,,,,,,,,,,,,,,1,,,,
,Pointe du Lac Village,,,,3,,,,,,,,1,,,,10,,,,,2,2,
Saguenay,Letellier,,,,,,,,,,,,,,,,1,,,,,,,
,Clarke City,,,,,,,,,,,,,,,,8,,,,,,,
Shefford,Granby,,,,,,,,,,,,,,,,1,,,,,,,
Sherbrooke,Sherbrooke,,,,4,,,,,,,,,,7,,,,,,,,3,
,St-Elie d'Orford,,,,1,,,,,,,,3,,34,,7,,,,,,,
,Ascot Corner,,,,1,,,,,,,,,,,,,,,,,,,
,Lennoxville,,,,,,,,,,,,,,,,2,,,,,,,
Soulanges,St-Ignace du Coteau du Lac,,,,,,,,,,,,,,15,,1,,,,,,,
Stanstead,Coaticook,,,,,,,,,,,,,,,,,,,1,,,,
,Magog Township,,,,2,,,,,,,,,,,,1,,,1,,,1,
,Barford,,,,,,,,,,,,,,,,,,,,,,,
,Hatley West,,,,,,,,,,,,,,,,1,,,,,,,
,Ayers Cliff,,,,,,,,,,,,,,1,,1,,,,,,,
Témiscamingue,Temiskaming,,,,,,,,,,,,,,4,,,,,,,,,
Témiscouata,St-Modeste,,,,,,,,,,,,,,,,,,,1,,,,
Témiscouata,Cacouna,,,,,,,,,,,,,,,,,,,,,,1,
,Ste-Rose du Dégelé,,,,,1,,,,,,,,,,,,,,,,,,1,
,St-David Escourt,,,,,,,,,,,,,,,,,,,,,,,
,St-Benoit Abbé,,,,,,,,,,,,,,,,,,,,,1,,
,Rivière-du-Loup en Bas,,,1,,,,,,,,,,,,,1,,,,,,,
,Cabano,,,,,,,,,,,,,,3,,,,,,,,,
,St-Arsène,,,,,,,,,,,,,,4,,,,,,,,,
,St-Hubert,,,1,,,,,,,,,,,,,,,,,,,,
Terrebonne,Ste-Agathe Ville,,,,,,,,,,,1,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4,,,,,,1,
