Table: Table_1
Comtés Counties,Municipalités Municipalities,Anthrax (charbon) Anthrax,Botulisme Botulism,Coqueluche Whooping-cough,Diphtérie et Croup Diphtheria and Croup,Encéphalite léthargique Lethargic encephalitis,Erysipèle Erysipelas,Grippe épidémique Epidemic influenza,Hydrophobie (rage) Rabies,Méningite cérébro-spinale Cerebro-spinal meningitis,Ophtalmie pur. des n.-nés Pur. ophthalmia neonatorum,Oreillons Mumps,Paralysie infantile Poliomyelitis,Paratyphoïde Paratyphoid,Rougeole Measles,Rubéole German measles (rubella),Scarlet Fever Scarlatine,1 Septicémie puerpérale Puerperal septicemia,Trachôme Trachoma,Tuberculose pulmonaire Pulmonary tuberculosis,Tuberculose (autres formes) Tuberculosis (other forms),Typhoïde Typhoid,Varicelle (picotte volante) Chicken pox (varicella),Variole et varioloïde Small pox
Terrebonne,St-Jérôme Paroisse,,,,2,,,,,,,,,,,,,,,,,,,
,St-Jérôme Ville,,,,,,,,,,,,,,,,13,,,,,1,,
,Ste-Thérèse Paroisse,,,,,,,,,,,,5,,,,,,,,,,,
,Ste-Thérèse Ville,,,,,,,,,,,,3,,,,,,,,,,,
Vaudreuil,St-Lazare Paroisse,,,,,,,,,,,,,,,,,,,I,,,,
,Hudson,,,,,,,,,,,,I,,,,,,,,,,,
,Vaudreuil,,,,,,,,,,,,1,,,,,,,,,,,
Verchères,Contrecccur Paroisse,,,,2,,,,,,,,,,,,,,,,,,,
,Ste-Julie Paroisse,,,,,,,,,,,,,,,,,,,1,,,,
Westmount,Westmount,,,,,,,,,,,,,,,,1,,,,,,,
,Town of Mount Royal,,,,,,,,,,,,,,,,1,,,,,,,
,Montreal West,,,,,,,,,,,,,,1,,,,,,,,,
,Outremont,,,1,2,,,,,,,,1,,1,,4,,,1,,,2,
Wolfe,Bishop's Crossing,,,,,,,,,,,,,,1,,,,,,,,,
,Totaux-Totals,,,166,293,12,,9,,3,,88,87,,517,78,360,2,,105,,239,451,
Table: Table_2
Arthabaska,Tingwick,,,,1,,,,,,,,,,,,,,,,,,,
,Warwick Canton,,,,,,,,,,,,,,,,I,,,,,,,
,Ste-Clothilde de Horton,,,,,,,,,,,,,,3,,,,,,,,,
Beauce,Metgermette Nord,,,,,,,,,,,,,,48,,,,,,,,2,
,Ste-Marie,,,,9,,,,,,,,,,,,1,,,,,,,
,St-Victor,,,,1,,,,,,,,,,,,,,,,,,,
,East Broughton,,,,,,,,,,,,,,,,,,,,,1,,
Beauharnois,Lac St-Louis Village,,,,1,,,,,,,,,,,,,,,,,,,
Bellechasse,St-Michel,,,,1,,,,,,,,,,,,,,,,,,,
Berthier,Lanoraie,,,,,,,,,,,,,,,,,,,,,4,,
,Lavaltrie,,,,,,,,,,,,,,18,,,,,,,,,
Brome,Adamsville,,,,,,,1,,,,,,,,,,,,,,,,
,Knowlton,,,,,,,,,,,,,,51,,,,,,,,,
,Bolton West,,,,,,,,,,,,,,7,,,,,,,,,
,Farnham East,,,,,,,,,,,,,,1,,,,,,,1,,
Chambly,St-Lambert,,,,1,,,,,,,,,,,,I,,,,,,,
,Boucherville,,,,,,,,,,,,,,,,I,,,,,,,
,Chambly Canton,,,,,,,,,,,,,,,,2,,,,,,,
Champlain,Cap de la Madeleine,,,,2,,,,,,,,,,,,,,,,,,,
,St-Adelphe,,,,1,,,,,,,,,,,,,,,,,,,
Champlain,St-Maurice,,,,1,,,,,,,,,,,,,,,,,,,
,St-Sèverin,,,,,,,,,,,,,,,,,,,,,2,,
,La Pérade Village,,,,,,,,,,,,,,,,,,,,,5,,
,Deux Rivières Village,,,,,,,,,,,,,,,,,,,,,2,,
Chateauguay,Ormstown,,,,,,,,,,,,,,,,,,,,,1,,
,Ste-Martine,,,,,,,,,,,,,,11,,1,,,,,,,
Chicoutimi,Jonquière Bégin,,,,1,,,,,,,,1,,,,4,,,,,1,,
Compton,Bury,,,,,,,,,,,,,,10,,,,,,,,1,
,Waterville,,,,,,,,,,,,,,15,,1,,,,,,,
,Eaton,,,,,,,,,,,,,,2,,,,,,,,,
,Cookshire,,,,,,,,,,,,,,5,,,,,,,,,
,Newport,,,,,,,,,,,,,,1,,,,,,,,,
D.-Montagnes,St-Eustache Village,,,,,,,,,,,,,,,,,,,,,,,
Dorchester,St-Malachie,,,,3,,,,,,,,,,,,,,,,,1,,
Drummond,Wickham Canton,,,,2,,,,,,,,,,,,,,,,,,,
Frontenac,Mégantic Ville,,,,,,,,,,,,,,,,3,,,,,1,,
Gaspé,Mont-Louis,,,2,,,,,,,,,,,,,,,,,,,,
Gaspé-Nord,Ste-Anne des Monts,,,4,,,,,,,,,,,,,,,,,,,,
Gaspé-Sud,York,,,,,,,,,,,,,,,,,,,,,,,
,Ste-Thérèse de Gaspé,,,,,,,,,,,,1,,,,,,,,,,4,
Gatineau,Bois-Frane,,,,1,,,,,,,,,,,,,,,,,,,
,Messines,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
