Table: Table_1
,,,1933,,1932,Variation de
Numéros liste interna- tionale,Noms des maladies,TOTAL des cas,Taux par "100,000" âmes,TOTAL des cas,Taux par "100,000" âmes,1933 sur 1932 en plus ou en moins
1-2,Fièvre typhoïde et paratyphoïde,1358,45.6,1641,56.1,-18.7
5,Fièvre ondulante,7,0.2,19,0.6,
6,Variole,0,,1,0.03,
7,Rougeole,5146,173.0,7658,261.8,-33.9
8,Scarlatine,3189,107.2,3487,119.2,-1.0
9,Coqueluche,5046,169.7,3426,117.1,+44.9
10,Diphtérie,1066,35.8,1454,49.7,-28.0
11,Grippe épidémique,384,12.9,509,17.4,
13,Dysentérie,15,0.4,0,,
15,Erysipèle,255,8.6,300,10.3,
16,Poliomyélite,110,3.7,785,26.8,-86.2
17,Encéphalite léthargique,4,0.1,4,0.1,
18,Méningite-cérébro-spinale,18,0.6,33,1.1,
22,Tétanos,0,,1,0.03,
23,Tuberculose pulmonaire,2785,93.6,3129,107.0,-12.5
24-32,Tuberculose. autres formes de la,304,10.2,66,2.3,
35,Ophtalmie purulente des n.-nés,15,0.4,29,1.0,
44a,Varicelle,6434,216.3,3298,112.7,+91.9
44b,Rubéole,175,5.9,377,12.9,
44c,Autres maladies infectieuses,3306,111.2,2256,77.1,+44.2
145a,Septicémie puerpérale,44,1.5,39,1.3,
Table: Table_2
Interna-,,,1933,,1932,Increase
tional List Numbers,Names of diseases,TOTAL cases,Rate per "100,000" population,TOTAL cases,Rate per "100,000" population,or decrease from 1932 to 1933
1-2,Typhoid and paratyphoid,1358,45.6,1641,,
5,Undulent fever,7,0.2,,56.1,-18.7
6,Smallpox,0,,19,0.6,
7,Measles,5146,173.0,,0.03,
8,Scarlet fever,3189,107.2,7658 3487,261.8,-33.9
9,Whooping cough,5046,169.7,,119.2,-10
10,Diphtheria,1066,35.8,3426 1454,117.1,+44.9
11,Epidemic influenza,384,12.9,509,49.7,-28.0
13,Dysentery,15,0.4,0,17.4,
15,Erysipelas,255,86,300,,
16,Poliomyelitis,110,3.7,,10.3,
17,Encephalitis lethargica,4,01,785 4,26.8,-86.2
18,Cerebro-Spinal-Meningitis,18,0.6,33,0.1,
22,Tetanus,0,,,1.1,
23,Tuberculosis, pulmonary,2785,93.6,3129,0.03,
24-32,Tuberculosis, other forms,304,10.2,66,107.0,-12.5
35,Purulent ophthalmia,15,04,,2.3,
44a,Chickenpox,6434,216.3,29 3298,1.0,
44b,German measles,175,5.9,377,112.7,+91.9
44c,Other infectious diseases,3306,111.2,2256,12.9,
145a,Puerperal scepticaemia,44,1.5,39,77.1 1.3,+44.2
