Table: Table_1
Population in 1932,"2,925,615"
Population in 1933,"2,974,000"
Population in 1934,"3,025,000"
Table: Table_2
Interna- tional,,,1934,,1933,,1932
List Numbers,Names of diseases,Cases,Rate,Cases,Rate,Cases,Rate
1-2,Typhoid and paratyphoid,1304,43.1,1421,47.8,1669,57.0
5,Undulant fever,21,0.7,7,0.2,19,0.6
6,Smallpox,0,,0,,1,0.03
7,Measles,10911,360.7,5146,173.0,7658,261.8
8,Scarlet fever.,4335,143.3,3189,107.2,3487,119.2
9,Whooping cough,7775,257.0,5046,169.7,3426,117.1
10,Diphtheria,925,30.6,1066,35.8,1454,49.7
11,Epidemic influenza,0,,384,12.9,509,17.4
13,Dysentery,93,3.1,15,0.4,0,
15,Erysipelas,271,9.0,255,8.6,300,10.3
16,Poliomyelitis,102,3.4,110,3.7,785,26.8
17,Encephal. lethargica,10,0.3,4,0.1,4,0.1
18,Cer.-spinal mening,38,1.3,18,0.6,33,1.1
22,Tetanus,1,0.03,0,,1,0.03
23,Tuberculosis, pulm,2582,85.4,2785,93.6,3129,107.0
24-32,Tuberculosis, other forms,270,8.9,304,10.2,66,2.3
35,Purulent ophthalmia,16,0.5,15,0.4,29,1.0
44a,Chickenpox,5312,175.6,6434,216.3,3298,112.7
44b,German measles,404,13.4,175,5.9,377,12.9
44c,Other infectious diseases.,3323,109.9,3306,111.2,2256,77.1
88,Trachoma,2,0.07,0,,0,
115a,Epidemic infectious angina,55,1.8,0,,0,-
145a,Puerperal septicaemia,45,1.5,44,1.5,39,1.3
Table: Table_3
Numéros de la,,,1934,,1933,,1932
Liste Interna- tionale,Noms des maladies,Cas,Taux,Cas,Taux,Cas,Taux
1-2,F. typhoïde et paratyphoide,1304,43.1,1421,47.8,1669,57.0
5,Fièvre ondulante,21,0.7,7,0.2,19,0.6
6,Variole,0,-,0,,1,0.03
7,Rougeole,10911,360.7,5146,173.0,7658,261.8
8,Scarlatine,4335,143.3,3189,107.2,3487,119.2
9,Coqueluche,7775,257.0,5046,169,3426,117.1
10,Diphtérie,925,30.6,1066,35 X,1454,49.7
11,Grippe épidémique,0,,384,12.9,509,17:4
13,Dysentérie.,93,3.1,15,0.4,0,
15,Erysipèle,271,9.0,255,8.6,300,10.3
16,Poliomyélite,102,3.4,110,3.7,785,26.8
17,Encéphalite léthargique,10,0.3,4,0.1,4,0.1
18,Méningite cérébro-spinale,38,1.3,18,0.6,33,1.1
22,Tétanos,I,0.03,0,,1,0.03
23,Tuberculose pulmonaire,2582,85.4,2785,93.6,3129,107.0
24-32,Tuberculose, autres formes,270,8.9,304,10.2,66,2.3
35,Ophtalmie purulente des n. nés,16,0.5,15,0.4,29,1.0
44a,Varicelle,5312,175.6,6434,216.3,3298,112.7
44b,Rubéole,404,13.4,175,5.9,377,12.9
44c,Autres maladies infectieuses,3323,109.9,3306,111.2,2256,77.1
88,Trachôme.,2,0.07,0,,0,
115a,Angine infectieuse épidémique,55,1.8,0,,0,
145a,Septicémie puerpérale,45,1.5,44,1.5,39,1.3
