file_name,row_index,col_index,AWS_Value,Manual_Value,Equal,Confidence_Value
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,0,0,1.0,1,True,82.28
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,0,1,Chickenpox,Chickenpox,True,90.23
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,0,2,"1,135",1135,False,80.52
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,0,3,"1,111",1111,False,75.54
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,0,4,"1,031",1031,False,82.96
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,0,5,"13,395",13395,False,87.35
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,0,6,"12,408",12408,False,43.55
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,0,7,"14,545",14545,False,88.53
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,0,8,1,1,True,77.25
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,0,9,3,3,True,28.83
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,0,10,2,2,True,81.59
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,0,11,-,-,True,70.07
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,0,12,-,-,True,83.4
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,0,13,6,6,True,76.22
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,0,14,30,30,True,38.11
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,0,15,39,39,True,80.18
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,0,16,17,17,True,24.44
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,0,17,-,-,True,77.98
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,0,18,-,-,True,20.34
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,0,19,1,1,True,82.52
