file_name,row_index,col_index,AWS_Value,Manual_Value,Equal,Confidence_Value
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,0,1,1,TRUE,85.11
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,1,Chickenpox,Chickenpox,TRUE,91.99
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,2,"1,111",1111,FALSE,86.38
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,3,"1,234",1234,FALSE,82.32
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,4,"1,188",1188,FALSE,88.67
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,5,"12,260",12260,FALSE,91.5
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,6,"11,377",11377,FALSE,32.54
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,7,"13,247",13247,FALSE,91.6
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,8,3,3,TRUE,88.18
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,9,-,-,TRUE,72.85
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,10,3,3,TRUE,87.45
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,11,-,-,TRUE,84.91
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,12,-,-,TRUE,24.55
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,13,5,5,TRUE,85.55
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,14,39,39,TRUE,20.07
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,15,65,65,TRUE,86.38
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,16,45,45,TRUE,20.83
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,17,-,-,TRUE,88.96
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,18,-,-,TRUE,20.89
