file_name,row_index,col_index,AWS_Value,Manual_Value,Equal,Confidence_Value
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,0,"1,111",1111,False,86.38
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,1,"1,234",1234,False,82.32
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,2,"1,188",1188,False,88.67
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,3,"12,260",12260,False,91.5
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,4,"11,377",11377,False,32.54
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,5,"13,247",13247,False,91.6
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,6,3,3,True,88.18
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,7,-,-,True,72.85
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,8,3,3,True,87.45
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,9,-,-,True,84.91
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,10,-,-,True,24.55
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,11,5,5,True,85.55
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,12,39,39,True,20.07
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,13,65,65,True,86.38
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,14,45,45,True,20.83
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,15,-,-,True,88.96
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,16,-,-,True,20.89
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,17,1,1,True,88.53
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,18,244,244,True,82.03
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,19,495,495,True,77.49
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,20,240,240,True,89.06
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,21,621,621,True,58.89
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,22,379,379,True,86.77
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,23,558,558,True,20.67
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,24,18,18,True,85.99
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,25,25,25,True,36.21
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,26,34,34,True,85.69
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,27,:,..,False,77.15
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,28,..,..,True,26.81
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,29,27,27,True,88.53
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,30,,..,False,52.69
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,31,...,..,False,84.52
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,32,66,66,True,47.39
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,33,186,186,True,86.72
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,34,270,270,True,85.55
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,35,174,174,True,82.71
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,0,36,1,1,False,86.04
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,0,2,2,True,82.57
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,1,2,2,True,78.66
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,2,3,3,True,84.72
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,3,28,28,True,87.45
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,4,30,30,True,31.1
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,5,34,34,True,87.55
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,6,-,-,True,84.28
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,7,-,-,True,69.63
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,8,-,-,True,83.59
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,9,-,-,True,81.15
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,10,-,-,True,23.46
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,11,-,-,True,81.79
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,12,-,-,True,19.18
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,13,-,-,True,82.57
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,14,-,-,True,19.9
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,15,-,-,True,85.01
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,16,-,-,True,19.96
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,17,-,-,True,84.62
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,18,-,-,True,78.42
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,19,-,-,True,74.02
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,20,3,3,True,85.16
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,21,-,-,True,56.3
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,22,-,-,True,82.91
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,23,-,-,True,19.75
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,24,-,-,True,82.18
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,25,-,-,True,34.62
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1,26,-,-,True,81.88
