766,871,938,"19,299","17,873","20,841",-,13,5,4,-,3,13,29,35,-,-,-,156,241,147,376,392,491,28,13,27,P.P.,...,45,A.R.,:,41,189,183,160,1,FILLER
2,-,2,42,43,67,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,1,-,1,-,1,-,-,-,1,-,2,FILLER
12,11,11,189,187,187,-,-,-,1,-,-,-,-,-,...,,,,...,1,1,-,2,-,1,-,-,1,-,-,1,-,10,8,5,3,FILLER
-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,...,,,,,.A,-,-,-,-,-,-,-,-,-,-,-,-,I,I:,-,4,FILLER
12,11,11,189,186,186,-,-,-,1,-,-,-,-,-,,,,,,1,1,-,2,-,1,-,-,1,-,-,1,-,10,8,5,5,FILLER
 infectious,-,-,-,TB 6,7,10,-,-,-,...,...,..,-,-,-,-,-,-,..,....,...,...,...,....,-,-,-,-,-,-,-,-,-,-,-,-,6
 epidemic,161,142,368,,"34,346","7,500",,:.,...,59,32,...,79,96,67,2,-,2,-,-,-,2,2,2,6,6,10,-,-,-,...,,...,13,6,21,7
"1,348","1,318","1,496","27,589","29,350","32,019",3,8,2,24,20,3,16,30,27,-,-,3,379,518,374,733,554,553,18,22,40,R.P,,12,24,22,241,151,144,212,8,FILLER
 meningococcal,6,3,5,117,112,120,2,2,-,...,...,...,-,-,-,1,-,1,-,-,-,1,1,1,-,-,-,-,-,1,P.A,R.9.,...,2,-,-,9
791,784,793,"16,099","14,806","21,586",-,1,1,7,7,2,9,14,23,-,-,1,173,217,192,372,388,372,39,25,19,,,35,...,A.P.,27,191,132,119,10,FILLER
 epidemic:4,2,2,2,51,78,78,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,11
1,1,1,31,48,43,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,12,FILLER
1,1,-,15,25,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,1,-,13,FILLER
"2,086","2,120",393,"32,839","11,268","5,676",1,2,-,,,,10,15,8,,,*.*,828,786,33,488,805,175,6,4,1,1,,19,16,8,36,736,500,47,14,FILLER
 etc.⁵,271,307,365,"6,165","4,356","6,921",-,-,5,14,?,7,32,52,15,1,-,12,45,72,86,147,146,49,7,4,15,9,1,20,2,6,46,14,19,50,15
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,FILLER
114,143,215,"3,021","3,151","3,673",5,6,7,1,1,-,1,2,2,9,18,15,32,23,79,19,22,30,14,17,16,3,9,12,7,23,18,23,22,30,17,FILLER
88,111,181,"2,457","2,556","2,923",5,6,7,-,1,-,1,1,2,9,16,15,31,22,77,(6),(6),(6),13,17,16,1,8,8,7,20,17,21,20,27,18,FILLER
7,10,10,177,203,162,-,-,-,1,-,-,-,1,-,-,2,-,1,1,1,(6),(6),(6),1,-,-,2,1,3,9.8,3,2,2,2,3,19,FILLER
10,5,8,117,89,157,-,1,-,-,-,-,-,-,-,-,-,-,8,1,4,1,2,1,-,-,-,-,-,-,-,-,-,1,1,1,20,FILLER
5,2,2,52,30,41,-,-,-,-,-,-,-,-,-,...,R.P.,9..9.,3,2,1,1,-,-,1,-,-,-,-,-,..A,,.A,-,-,-,21,FILLER
289,302,356,"5,652","5,935","6,178",9,8,9,-,-,1,6,3,6,3,8,6,63,80,91,24,46,63,33,27,25,22,13,22,46,54,57,83,63,76,22,FILLER
 primary,1,1,5,42,43,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,-,-,-,-,1,-,1,-,-,1,23
-,4,2,19,13,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,3,-,-,-,-,24,FILLER
29,52,57,673,861,"1,054",-,-,1,-,-,-,3,-,1,1,3,2,13,27,30,3,9,15,1,2,3,1,1,1,-,3,4,7,7,6,25,FILLER
259,245,274,"4,918","5,007","4,957",9,8,8,-,-,1,3,3,5,2,5,4,50,53,62,21,37,45,32,23,22,21,12,20,45,48,51,76,56,65,26,FILLER
