715,766,879,"20,014","18,502","21,752",4,-,2,7,4,4,23,13,18,-,-,-,227,156,170,319,376,420,19,28,28,..,:,30,:.,: .,23,116,189,170,1,FILLER
2,2,2,44,47,69,-,-,-,-,-,-,-,,-,-,-,-,2,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,2,FILLER
9,12,11,198,198,198,-,-,-,-,1,-,-,-,-,,,,,,,2,1,2,-,-,-,-,-,-,3,-,-,4,10,10,3,FILLER
-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,FILLER
9,12,11,198,197,197,-,-,-,-,1,-,-,-,-,,,,,,,2,1,2,-,-,-,-,-,-,3,-,-,4,10,10,5,FILLER
 infectious,-,-,1,6,8,10,-,-,-,,,,-,-,-,-,-,-,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,6
 epidemic,184,164,382,"6,758","34,975","7,868",,,,63,59,,114,81,26,-,2,-,-,-,-,1,3,2,5,6,8,-,-,-,,,,1,13,5,7
"1,388","1,351","1,503","28,980","30,853","33,515",25,3,5,14,24,1,46,19,18,-,-,3,546,379,416,501,733,586,47,18,48,1,,31,54,24,250,154,151,178,8,FILLER
 meningococcal,8,6,4,125,120,123,2,2,-,,,,1,-,-,1,1,1,1,-,1,1,1,2,-,-,-,-,-,-,,,,2,2,-,9
676,791,733,"16,775","15,507","22,753",-,-,-,22,7,1,9,9,27,-,-,1,145,173,194,337,372,286,20,39,25,1,,41,,,17,142,191,78,10,FILLER
 epidemic:4,1,2,5,52,83,83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,2,1,11
1,1,3,32,51,50,-,-,-,-,-,!,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,12,FILLER
-,1,2,15,26,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,13,FILLER
"1,888","2,087",434,"34,728","12,197","5,967",1,1,-,,,...,22,11,11,,,,772,828,25,555,488,213,7,6,-,2,1,24,16,16,32,513,736,37,14,FILLER
 etc.5,291,272,330,"6,457","4,642","8,132",8,-,3,10,14,4,26,32,7,-,1,6,57,45,93,160,148,80,-,7,22,1,9,15,16,2,42,13,14,72,15
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,FILLER
214,114,196,"3,235","3,314","3,932",5,5,5,1,1,2,8,1,6,17,9,12,85,32,72,26,19,24,16,14,20,15,3,8,27,7,12,14,23,37,17,FILLER
172,88,175,"2,629","2,686","3,136",5,5,5,1,-,1,8,1,6,17,9,12,81,31,70,(6),(6),(6),15,13,20,8,1,7,25,7,10,12,21,30,18,FILLER
16,7,10,193,212,171,-,-,-,-,1,1,-,-,-,-,-,-,4,1,2,(6),(6),(6),1,1,-,7,2,1,2,,1,2,2,6,19,FILLER
6,10,14,123,93,162,-,-,-,-,-,-,,,-,-,-,-,3,8,8,2,1,1,-,-,-,-,-,-,1,-,-,-,1,-,20,FILLER
1,5,2,53,35,41,-,-,-,-,-,-,-,-,-,...,....,,1,3,....,-,1,-,-,1,-,-,-,-,....,,,-,-,-,21,FILLER
270,289,337,"5,922","6,213","6,511",7,9,9,-,-,-,4,6,13,1,3,5,54,63,74,42,24,64,21,33,21,10,22,23,58,46,56,73,83,51,22,FILLER
 primary,3,1,4,45,45,86,-,-,-,-,-,-,-,,-,-,-,-,-,-,1,-,I,-,-,-,-,-,-,-,3,1,1,-,-,-,23
-,-,1,19,14,54,-,-,I,-,-,-,I,,I,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,FILLER
30,29,52,703,892,"1,106",3,-,1,-,-,-,,3,-,-,1,3,10,13,19,6,3,17,3,1,1,1,1,2,1,-,5,6,7.,2,25,FILLER
237,259,248,"5,155","5,251","5,239",4,9,7,-,-,-,4,3,.0,1,2,2,44,50,51,36,21,51,18,32,19,9,21,19,54,45,50,67,76,43,26,FILLER
-,-,-,-,11,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,FILLER
207,197,147,"3,456","5,537","3,332",1,2,-,21,25,-,-,5,2,-,3,1,91,70,39,25,19,22,8,13,3,5,10,10,29,14,11,27,36,29,28,FILLER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FILLER
FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER
week,Disease,year*,Calendar,year,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER
1955,1956,1955,1956,1955,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER
205,480,738,"1,548","1,801",FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER
80,258,319,842,783,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER,FILLER
