94,133,138,"26,323","24,259","32,270",9,2,2,-,1,3,7,9,3,...,...,...,20,35,26,51,61,41,7,10,7,....,...,5,.R,,6,-,16,24,1,FILLER
-,-,2,60,68,88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,FILLER
7,14,14,406,400,400,-,-,-,1,-,-,-,-,-,R.P.,9.3,,...,R.P.,2,3,2,2,-,-,-,-,-,-,-,-,-,3,12,7,3,FILLER
-,-,-,-,2,7,-,-,-,-,-,-,-,-,-,R.P.,,,,R.P.,....,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,FILLER
7,14,13,406,398,398,-,-,-,1,-,-,-,-,-,,,A.A,,A.A,1,3,2,2,-,-,-,-,-,-,-,-,-,3,12,7,5,FILLER
 infectious,3,3,1,18,15,20,-,-,-,R.9.,...,A..,-,-,-,-,-,-,,,,3,2,,-,1,-,-,-,1,-,-,-,-,-,-,6
 epidemic,66,84,25,"8,624","36,449","8,978",,,,33,79,,31,5,20,-,-,-,-,-,-,2,-,5,-,I,1,1,I,-,,,,-,1,I,7
204,423,190,"40,837","13,284","47,007",2,4,1,-,-,2,19,30,3,,,,63,172,56,76,118,40,10,3,14,,7,9,12,18,21,22,71,32,8,FILLER
 meningococcal,5,2,5,196,202,177,2,-,-,,,,1,-,1,-,-,-,,,-,2,1,2,-,,-,-,1,,,,,-,-,-,9
100,134,118,"21,424","19,730","28,087",1,1,1,-,-,-,3,1,4,,,,16,34,13,46,67,50,8,9,8,,,6,,,8,26,22,19,10,FILLER
 epidemic:4,25,26,247,170,440,945,-,-,1,-,-,1,1,-,11,-,-,7,4,5,21,5,7,51,1,-,8,-,2,16,3,5,24,11,7,14,11
13,10,100,91,246,370,-,-,1,-,-,1,1,-,6,-,-,-,3,3,21,5,5,20,1,-,3,-,1,4,1,-,1,2,1,12,12,FILLER
12,15,124,66,163,472,-,-,1,-,-,-,-,-,-,-,-,7,1,2,-,-,2,31,-,-,5,-,-,4,2,5.,4,9,6,6,13,FILLER
88,94,67,"48,958","17,353","8,937",-,-,-,,,,-,2,-,,,,18,41,3,23,25,9,1,-,-,1,,,13,12,10,32,14,9,14,FILLER
 etc.⁵,58,71,83,"8,717","6,308","9,345",-,-,2,15,12,1,14,26,2,-,-,-,8,6,19,17,16,11,-,2,4.,1,-,5,2,3,4.,1,6,16,15
-,-,-,,,-,-,,,-,-,-,,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,I,-,-,-,-,I,-,16,FILLER
132,176,211,"5,821","6,139","6,695",4,10,7,-,2,1,1,1,2,9,13,3,65,48,64,23,26,25,13,25,20,2,22,8,-,-,20,15,29,28,17,FILLER
93,138,164,"4,743","5,015","5,386",4,10,7,-,2,-,1,1,2,8,11,3,59,47,62,(6),(6),(6),9,25,20,1,15,7,-,-,19,11,27,24,18,FILLER
16,12,6,362,403,337,-,-,-,-,-,-,-,-,-,1,2,-,6,1,-,(6),(6),(6),4,-,-,1,7,1,...,,,4,2,2,19,FILLER
9,10,17,266,202,284,-,-,-,-,-,-,-,-,-,-,-,-,3,10,10,5,-,2,-,-,-,1,-,-,-,-,-,,=,1,20,FILLER
2,2,3,99,81,84,-,-,-,-,-,-,-,-,=,,,,1,1,1,-,1,1,-,I,,=,#,if,,,,1,,-,21,FILLER
328,334,351,"10,186","10,699","11,251",4,5.,12,-,-,-,16,9,10,11,4,5,65,99,78,40,60,65,30,21,35,53,39,35,73,50,59,36,47,62,22,FILLER
 primary,2,3,3,64,68,132,,-,-,-,=,-,1,,-,1,-,-,,:0,T,4,1,1,=,1,-,E,:,-,1,1,1,,1,1,23
I,1,3,28,27,75,-,-,,-,,-,-,1,.,-,-,-,-,-,-,-,-,-,1:,-,-,E,-,-,,-,,,,,24,FILLER
