90,98,171,"26,770","24,479","32,814",-,-,1,-,2,-,2,13,11,..,:.,:.,24,7,26,46,53,47,3,13,7,..,:,11,..,...,3,15,10,25,1,FILLER
6,2,1,68,69,95,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,6,1,-,-,-,-,1,-,-,-,-,-,2,FILLER
7,18,13,442,445,445,-,-,-,-,-,-,-,-,-,R.9,2,,...,R..,5,3,2,1,-,3,-,-,2,-,1,3,-,3,6,4,3,FILLER
1,-,-,1,2,8,-,-,-,-,-,-,-,-,-,,,,P.A,...,,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,FILLER
6,18,13,441,443,443,-,-,-,-,-,-,-,-,-,A.O.,2,A.9,..A,R.P.,5,2,2,1,-,3,-,-,2,-,1,3,-,3,6,4,5,FILLER
 infectious,2,2,.2,24,21,24,-,-,-,,,,-,-,-,-,-,-,,,.A,A..,...,A.O.,-,-,-,1,2,-,-,-,-,1,-,-,6
 epidemic,55,127,17,"8,864","36,735","9,135",A.B.,,a.a,48,39,,3,86,13,-,-,-,-,-,-,4,1,4,-,1,1,-,1,-,A.A,...,,-,I,1,7
310,152,150,"41,545","43,947","47,458",3,2,4,-,1,1,6,17,6,,...,A.O.,70,27,29,135,60,34,13,5.,5,21,..,2,7,10,24,55,30,25,8,FILLER
 meningococcal,6,4,3,208,216,195,4,1,-,,,,-,-,-,-,-,-,-,-,-,1,3,1,-,-,-,1,1,=,,,,I,:,1,9
136,96,132,"21,783","20,060","28,529",1,-,1,-,-,1,-,6,2,R.P,1.8,...,14,3,19,74,67,68,9,5,6,....,9.8,6,.A,....,6,38,15,16,10,FILLER
 epidemic:4,30,38,198,285,667,"1,464",-,-,1,-,-,-,-,-,4,2,1,5.,10,7,18,9,14,52,1,-,3,-,1,to,6,9,33,2,6,1/,11
18,19,79,159,354,596,-,-,-,-,-,-,-,-,2,-,-,-,7,7,5,7,9.,19,-,-,1,-,-,5.,3,3,-,1,I,6,12,FILLER
10,18,100,104,254,796,-,-,1,-,-,-,-,-,-,2,1,4,1,-,2,2,5,33,1,-,2,-,-,2,3,6,2,1,6,8,13,FILLER
113,103,46,"49,247","17,453","9,072",1,1,-,...,...,,1,3,2,...,...,...,74,1,2,16,74,12,-,4,-,....,,1,9,8,11,12,12,14,14,FILLER
 etc.⁵,85,83,87,"8,963","6,504","9,470",-,1,-,24,31,5,7,32,10,-,1,-,11,6,16,28,8,9,-,2,4,5,-,8,7,-,7,3,2,27,15
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,FILLER
166,184,214,"6,380","6,702","7,246",14,11,10,-,-,2,-,8,1,6,9,18,71,87,85,17,17,16,9,6,12,7,13,12,24,11,8,18,22,32,17,FILLER
143,154,180,"5,179","5,500","5,926",14,11,9,-,-,2,-,7,1,6,9,18,69,86,84,(6),(6),(6),8,5.,12,6,8,12,23,11,8,17,17,30,18,FILLER
6,13,5,395,419,373,-,-,-,-,-,-,-,1,-,-,-,-,2,1,1,(6),(6),(6),1,1,-,1,5,I,1,...,9.8,1,5,2,19,FILLER
13,7,9.,300,248,321,1,-,-,-,-,-,-,-,-,-,-,-,10,5,3,1,2,1,-,-,-,-,-,-,-,-,-,1,-,-,20,FILLER
-,-,2,103,93,93,-,-,-,-,-,-,-,-,-,...,...,...,...,...,1,-,-,-,-,-,-,-,-,-,...,,,-,-,-,21,FILLER
300,365,360,"11,229","11,638","12,320",14,10,6,1,3,1,20,6,8,5,3,E,74,64,105,(8),49,64,38,28,25,35,27,27,47,79,46,66,96,74,22,FILLER
 primary,1,-,3,67,78,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,23
4,1,2,34,33,81,-,-,-,-,-,-,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,24,FILLER
25,37,53,"1,256","1,648","1,814",1,-,1,-,-,-,3,3,1,-,-,-,15,19,19,-,3,8,1,2,2,3,1,1,-,2,2,2,7,2,25,FILLER
270,327,298,"9,869","9,862","10,042",13,10,5,1,3,1,15,3,7,5,3,3,57,45,69,-,46,43,37,26,25,31,26,27,47,76,46,64,89,73,26,FILLER
-,-,-,3,17,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,FILLER
207,137,263,"5,843","9,417","5,783",-,-,-,5,9,-,-,3,4,-,-,-,108,34,96,38,25,66,5,8,7,13,13,9,21,6,29,17,39,20,28,FILLER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FILLER
