Table: Table_1
,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
DISEASE,,Previous,,,Cumulative,Total³,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.
,Report Week,Week,Median 1951-55,1956,1955,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,Report Week,Previous Week,Median 1951-55,
K,133,196,173,"26,229","24,147","32,097",2,2,1,-,1,-,9,29,8,:.,:,: .,35,55,25,61,63,54,10,20,10,:.,:.,16,:,:.,8,16,26,31,1
,-,1,2,60,66,88,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
4,14,19,19,399,377,377,-,-,-,-,-,-,-,-,-,P...,...,..S,R.P.,1,...,2,2,1,-,-,-,-,-,3,-,-,-,12,16,8,3
bic,-,-,-,-,2,7,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
llary,14,19,19,399,375,375,-,-,-,-,-,-,-,-,-,,,,,1,,2,2,1,-,-,-,-,-,3,-,-,-,12,16,8,5
is, infectious,3,1,1,15,14,20,-,-,-,...,A.9.,P.A,-,-,-,-,-,-,...,,R.O.,2,1,...,1,-,-,-,-,-,-,-,-,-,-,-,6
epidemic,84,92,26,"8,558","36,375","8,958",a.e.,.A,,79,66,,5,23,22,-,-,-,-,-,-,-,2,1,-,1,2,-,-,-,,,,-,-,-,7
,423,248,240,"40,633","43,078","46,789",4,-,2,-,-,2,30,13,12,,,,172,59,57,118,125,40,3,10,9,7,...,9,18,14,54,71,27,33,8
meningococcal,2,7,2,191,195,195,-,-,-,.A,A.S.,,-,-,-,-,3,-,-,2,-,1,2,1,-,-,-,1,-,-,A.9.,,A.O.,-,,,9
,134,131,116,"21,324","19,605","27,971",1,1,-,-,-,2,1,3,3,,,,34,20,23,67,64,47,9,4,8,,,9,A.A,,3,22,39,13,10
tis, epidemic:,24,12,204,137,372,794,-,-,-,-,1,1,-,-,4,-,-,3,5,-,14,5,3,64,-,-,15,2,4.,12,5,2,20,7,2,11,11
paralysis,8,5,71,75,206,299,-,-,-,-,-,1,-,-,4,-,-,-,3,-,14,3,2,16,-,-,9,1,1,3,-,-,1,1,2,5.,12
ut paralysis,15,6,121,52,143,341,-,-,-,-,1,-,-,-,-,-,-,3,2,-,1,2,1,48,-,-,6,-,2,5,5,2,7,6,-,8,13
,94,283,33,"48,870","17,284","8,920",-,5,-,,,,2,2,1,,,,41,181,4,25,43,6,-,2,1,,,2,12,14,10,14,36,10,14
er, etc.⁵,71,90,59,"8,659","6,243","9,306",-,1,1,12,14,3,26,23,8,-,-,1,6,6,16,16,25,9,2,1,3,-,5,7,3,8,6,6,7,8,15
,-,-,-,,,,-,-,-,-,-,-,-,=,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,I,16
is:4,176,163,226,"5,689","6,040","6,534",10,10,14,2,1,1,1,1,2,13,13,6,48,51,105,26,19,17,25,26,23,22,1,11,-,13,11,29,28,28,17
onary,138,130,190,"4,650","4,932","5,246",10,10,13,2,-,-,1,1,2,11,9,6,47,50,102,(6),(6),(6),25,23,23,15,-,10,-,11,11,27,26,24,18
pulmonary,12,14,11,346,398,326,-,-,-,-,1,-,-,-,-,2,4,-,1,1,3,(6),(6),(6),-,3,-,7,1,3,a.a,2,a.a,2,2,3,19
d paratyphoid,10,13,16,257,184,265,-,-,-,-,-,-,-,-,:,-,=,=,10,11,13,-,-,1,-,-,-,-,-,-,-,2,-,-,-,1,20
ever,2,13,6,97,74,78,=,:,-,=,-,-,1,,,,,,1,11,5,1,2,2,-,-,-,=,1,-,,,,-,I,-,21
liseases:,334,348,359,"9,858","10,370","10,525",5,10,9,-,-,-,9,6,10,4,6,6,99,58,95,60,34,68,21,25,25,39,29,31,50,62,50,47,118,57,22
ilis, primary,3,-,3,62,65,129,-,-,-,-,-,-,-,PP.,-,PR.,#,-,-,-,2,1,-:,-,1,E,-,I,-,.,1,-,E,-,E,-,23
secondary,1,2,2,28,24,73,PP.,-,-,-,-,t,-,-,-,1,-,-,-,1,1,-,-,1,-,-,:,,-,-,-,1,F,-,E,t,24
other,23,27,52,"1,130","1,487","1,487",-,1,1,-,-,-,1,-,1,-,-,1,13,14,22,6,3,14,-,2,2,1,3,1,1,3,1,1,1,4,25
rrhoea,307,319,311,"8,636","8,780","8,826",5,9,8,-,-,-,8,6,9,3,6,5.,86,43,80,53,31,51,20,23,24,38,26,29,48,58,50,46,117,54,26
r venereal ases⁷,-,-,1,2,14,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
cough,136,165,284,"5,220","8,332","5,045",1,-,-,4,8,-,-,1,5,-,-,1,87,66,86,19,11,52,4,6,7,10,6,8,9,29,15,2,38,13,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
