cdi_ca_1956_wk_prov_dbs_Part10_confidences.csv,80.18,86.67,81.40,77.59,83.54,86.23,30.66,86.28,83.11,68.65,82.42,80.03,23.13,80.62,18.91,81.40,19.63,83.79,19.68,83.40,77.29,73.00,83.94,55.52,81.74,19.47,81.01,34.13,80.76,72.71,25.27,83.40,49.63,79.64,44.65,81.74,80.62,77.93,81.05,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part1_tables.csv,21,Undulant fever,5,1,1,5,1,1,-,-,-,-,-,-,-,-,,,..A,A.O.,3,1,...,2,-,-,-,1,-,-,-,-,S.A,,,I,I,I,21,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part2_tables.csv,21,Undulant fever,1,5,3,6,3,5,-,-,-,-,-,-,-,-,-,*.A,A.O.,,1,3,1,-,2,-,-,-,-,-,-,-,,,,-,-,1,21,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part3_tables.csv,21,Undulant fever,2,1,1,8,3,6,-,-,-,-,-,-,-,-,-,,,A.9.,2,1,1,-,-,-,-,-,-,-,-,-,R.P.,...,R.P.,-,-,-,21,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part4_tables.csv,21,Undulant fever,4,2,3,12,4,9,-,-,-,-,-,-,-,-,-,R.P,...,A.P.,2,2,2,1,-,-,-,-,1,I,-,-,1,,A.O.,-,-,-,21,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part5_tables.csv,21,Undulant fever,6,4,2,18,7,9,-,-,-,-,-,I,I,I,I,,,,4,2,1,1,1,-,1,-,-,-,-,-,,1,,-,-,,21,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part6_tables.csv,21,Undulant fever,2,6,1,20,8,10,-,-,-,-,-,-,-,-,-,,,,,4,,1,1,1,I,1,-,1,-,-,,,...,I,I,I,21,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part7_tables.csv,21,Undulant fever,4,2,2,24,8,13,-,-,-,-,-,-,-,-,-,,.A,R.P.,4,R.9,1,-,1,-,-,-,-,-,1,-,...,R.A,...,-,-,-,21,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part8_tables.csv,21,Undulant fever,5,4,2,29,10,15,-,-,-,-,-,-,-,-,-,A..,..A,...,4,4,2,1,-,1,-,-,-,-,-,-,...,R.P.,9.5,-,-,-,21,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part9_tables.csv,21,Undulant fever,1,4,5,29,13,20,-,-,-,-,-,-,,-,-,,a.e.,...,1,4,3,-,-,-,-,-,-,-,-,-,,,,-,-,-,21,,,,,,,,
cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,21,Undulant fever,4,1,1,33,14,21,-,-,-,-,-,-,-,-,-,..,,,3,1,1,1,-,-,-,-,-,-,-,-,...,...,...,-,-,-,21,,,,,,,,
