"X.","X..1","X..2","X..3","X..4","X.CANADA2","X..5","X..6","X..7","X.NFLD.","X..8","X..9","X.P.E.I.","X..10","X..11","X.N.S.","X..12","X..13","X.N.B.","X..14","X..15","X.QUE.","X..16","X..17","X.ONT.","X..18","X..19","X.MAN.","X..20","X..21","X.SASK.","X..22","X..23","X.ALTA.","X..24","X..25","X.B.C.","X..26","X..27","X"
"No.","DISEASE","","Previous","","","Cumulative","Total³","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No.",NA
"","","Report Week","Week","Median 1951-55","1956","1955","Median 1951-55","Report Week","Previous Week","Median 1951-55","Report Week","Previous Week","Median 1951-55","Report Week","Previous Week","Median 1951-55","Report Week","Previous Week","Median 1951-55","Report Week","Previous Week","Median 1951-55","Report Week","Previous Week","Median 1951-55","Report Week","Previous Week","Median 1951-55","Report Week","Previous Week","Median 1951-55","Report Week","Previous Week","Median 1951-55","Report Week","Previous Week","Median 1951-55","",NA
"1","Chickenpox","1,369","927","1,600","2,296","2,305","3,074","7","9","6","-","4","9","84","25","65","-","-","-","417","182","327","633","511","761","38","3","73","1","P...","67","P...","...","109","189","193","194","1",NA
"2","Diphtheria","6","4","4","10","10","7","-","-","-","-","-","-","-","-","-","-","-","-","1","2","3","-","-","-","-","-","-","-","-","-","5","2","-","-","-","-","2",NA
"3","Dysentery:4","9","11","9","20","7","19","-","-","-","-","-","-","-","-","-","...","..","","1","3","1","3","2","2","-","-","-","-","-","-","-","-","-","5","6","3","3",NA
"4","(a) Amoebic","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","...","","","....","..A","P...","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","4",NA
"5","(b) Pacillary","9","11","8","20","7","19","-","-","-","-","-","-","-","-","-",".A","A.P.","...","1","3","1","3","2","2","-","-","-","-","-","-","-","-","-","5","6","3","5",NA
"6","Encephalitis, infectious","-","-","-","-","-","1","-","-","-","","A.P.",".A","-","-","-","-","-","-","A.P.","","A.9.",".A","A.O.","","-","-","-","-","-","-","-","-","-","-","I","1","6",NA
"7","Influenza, epidemic","200","89","62","289","614","109","...","...","...","100","34","...","95","48","51","-","-","-","-","2","-","4","1","7","-","-","2","-","-","-","P...","","P...","1","4","-","7",NA
"8","Measles","1,634","1,582","1,795","3,216","2,541","3,213","84","55","12","71","69","7","60","94","34","-","-","1","288","95","297","1,005","1.188","668","38","11","68","14","1","25","19","47","60","55","22","142","8",NA
"9","Meningitis, meningococcal","15","4","6","19","15","10","8","4","-","...","...","9.8","-","-","-","-","-","-","-","-","1","5","-","2","1","-","-","1","-","-","A.9.","","","-","-","2","9",NA
"10","Mumps","923","811","1,081","1,734","1,373","1,984","1","-","1","14","6","6","4","5","38","-","-","-","122","64","194","576","585","489","35","2","47","9.8","","73","R.O.","","33","171","149","211","10",NA
"11","Poliomyelitis, epidemic:4","-","1","7","1","12","12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2","-","1","1","11",NA
"12","(a) With paralysis","-","1","5","1","9","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","1","-","12",NA
"13","(b) Without paralysis","-","-","1","-","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","13",NA
"14","Rubella","1,213","460","186","1,673","345","345","6","2","-","-","-","-","61","42","9","-","-","-","899","310","8","139","70","104","3","-","1","-","-","5","13","8","27","92","28","20","14",NA
"15","Scarlet fever","238","172","420","410","332","685","6","21","3","8(5)","5(s)","4 (5)","2","-","-","...","1","3","48","40","83","138","78","97","5","2","15","1","","21","10","18","80","18","7","72","15",NA
"16","Smallpox","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","16",NA
"17","Tuberculosis:4","166","116","186","280","295","384","6","4","7","-","-","1","2","5","4","15","14","13","69","37","75","22","8","17","2","-","10","1","-","5","21","8","12","28","40","28","17",NA
"18","(a) Pulmonary","136","105","151","241","249","291","6","4","7","-","-","-","2","5","2","15","14","13","64","37","74","(6)","(6)","(6)","2","-","10","1","-","5","20","8","11","26","37","28","18",NA
"19","(b) Non-pulmonary","8","3","9","11","14","14","-","-","-","-","-","-","-","-","1","-","-","-","5","-","3","(6)","(6)","(6)","-","-","-","-","-","-","1","","","2","3","4.","19",NA
