"'","'","'","'","'","'CANADA2","'","'","'","'NFLD.","'","'","'P.E.I.","'","'","'N.S.","'","'","'N.B.","'","'","'QUE.","'","'","'ONT.","'","'","'MAN.","'","'","'SASK.","'","'","'ALTA.","'","'","'B.C.","'","'",
"'No.","'DISEASE","'Report","'Previous","'","'","'Cumulative","'Total³","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'","'","'Week","'Week","'Median 1951-55","'1956","'1955","'Median 1951-55","'Report Week","'Previous Week","'Median 1951-55","'Report Week","'Previous Week","'Median 1951-55","'Report Week","'Previous Week","'Median 1951-55","'Report Week","'Previous Week","'Median 1951-55","'Report Week","'Previous Week","'Median 1951-55","'Report Week","'Previous Week","'Median 1951-55","'Report Week","'Previous Week","'Median 1951-55","'Report Week","'Previous Week","'Median 1951-55","'Report Week","'Previous Week","'Median 1951-55","'Report Week","'Previous Week","'Median 1951-55","'",
"'1","'Chickenpox","'927","'695","'1,629","'927","'921","'1,415","'9","'1","'2","'4","'1","'6","'25","'14","'54","'-","'1","'3","'182","'204","'239","'511","'358","'719","'3","'39","'54","'....","'3","'47","'...","'","'148","'193","'74","'245","'",
"'2","'Diphtheria","'4","'1","'6","'4","'5","'5","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'2","'1","'4","'-","'-","'-","'-","'-","'-","'-","'-","'-","'2","'-","'-","'-","'-","'-","'",
"'3","'Dysentery:4","'11","'4","'9","'11","'4","'13","'-","'-","'-","'-","'-","'-","'-","'-","'-","'...","'...","'...","'3","'1","'3","'2","'1","'1","'-","'-","'-","'-","'1","'-","'-","'-","'-","'6","'1","'2","'",
"'4","'(a) Amoebic","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'*...","'...","'...","'...","'P..","'.","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'",
"'5","'(h) Pacillary","'11","'4","'9","'11","'4","'12","'-","'-","'-","'-","'-","'-","'-","'-","'-","'A.P","'P.A","'P...","'3","'1","'.A","'2","'1","'1","'-","'-","'-","'-","'1","'-","'-","'-","'-","'6","'1","'2","'",
"'6","'Encephalitis, infectious","'-","'-","'-","'-","'-","'-","'-","'-","'-","'A.O","'","'A.O","'-","'-","'-","'-","'-","'-","'","'A.O","'..","'","'","'A.P.","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'",
"'7","'Influenza, epidemic","'88","'181","'87","'88","'108","'32","'","'","'","'34","'104","'a.e.","'48","'70","'69","'-","'-","'1","'2","'-","'-","'-","'1","'4","'-","'1","'-","'-","'-","'-","'","'","'","'4","'5","'-","'",
"'8","'Measles","'1,574","'559","'1,855","'1,574","'1,375","'1,375","'55","'11","'11","'69","'98","'1","'86","'44","'108","'-","'2","'10","'95","'63","'197","'1,188","'242","'453","'11","'36","'41","'1","'3","'29","'47","'6","'90","'22","'30","'272","'",
"'9","'Meningitis, meningococcal","'4","'9","'4","'4","'2","'4","'4","'2","'-","'A.O","'P.A","'....","'-","'1","'-","'-","'-","'-","'-","'-","'-","'-","'1","'2","'-","'3","'-","'-","'-","'-","'P.R","'A.T","'...","'-","'2","'-","'",
"'10","'Mumps","'809","'481","'1,134","'809","'398","'664","'-","'-","'2","'6","'7","'3","'3","'3","'12","'-","'-","'-","'64","'59","'108","'585","'338","'227","'2","'24","'27","'....","'..R","'33","'..A","'A.9","'80","'149","'50","'71","'",
