source_file,value_at_3,computed_sum,difference,values_used,matches
cdi_ca_1956_wk_prov_dbs_Part1_tables.csv,927,927,0,9:9;12:4;15:25;21:182;24:511;27:3;36:193;39:1,True
cdi_ca_1956_wk_prov_dbs_Part2_tables.csv,1369,1369,0,9:7;15:84;21:417;24:633;27:38;30:1;36:189;39:1,True
cdi_ca_1956_wk_prov_dbs_Part3_tables.csv,1145,1145,0,9:7;12:1;21:337;24:554;27:28;30:5;36:213;39:1,True
cdi_ca_1956_wk_prov_dbs_Part4_tables.csv,1345,1345,0,9:5;15:65;21:329;24:698;27:15;30:2;36:231;39:1,True
cdi_ca_1956_wk_prov_dbs_Part5_tables.csv,1285,1285,0,9:6;15:54;18:1;21:436;24:539;27:30;36:219;39:1,True
cdi_ca_1956_wk_prov_dbs_Part6_tables.csv,1279,1279,0,9:1;12:1;15:34;21:391;24:613;27:27;30:2;36:210;39:1,True
cdi_ca_1956_wk_prov_dbs_Part7_tables.csv,1303,1303,0,9:3;12:1;15:62;21:340;24:543;27:49;36:305;39:1,True
cdi_ca_1956_wk_prov_dbs_Part8_tables.csv,1199,1199,0,9:24;15:62;21:324;24:580;27:20;30:5;36:184;39:1,True
cdi_ca_1956_wk_prov_dbs_Part9_tables.csv,1224,1219,5,15:50;21:495;24:379;27:25;36:270;39:1,False
cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1111,1111,0,9:3;15:39;21:244;24:621;27:18;36:186;39:1,True
cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,1135,1135,0,9:1;15:30;21:276;24:579;27:29;36:220;39:1,True
cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,1028,1028,0,9:2;15:16;21:335;24:382;27:14;36:279;39:1,True
cdi_ca_1956_wk_prov_dbs_Part13_tables.csv,690,690,0,9:2;12:1;15:17;21:199;24:296;27:14;36:161;39:1,True
cdi_ca_1956_wk_prov_dbs_Part14_tables.csv,813,813,0,9:27;12:5;15:18;21:240;24:395;27:15;36:113;39:1,True
cdi_ca_1956_wk_prov_dbs_Part15_tables.csv,848,848,0,9:4;12:8;15:25;21:312;24:324;27:17;36:158;39:1,True
cdi_ca_1956_wk_prov_dbs_Part16_tables.csv,883,883,0,9:2;12:2;15:15;21:244;24:393;27:12;36:215;39:1,True
cdi_ca_1956_wk_prov_dbs_Part17_tables.csv,871,871,0,9:13;15:29;21:241;24:392;27:13;36:183;39:1,True
cdi_ca_1956_wk_prov_dbs_Part18_tables.csv,766,766,0,12:4;15:13;21:156;24:376;27:28;36:189;39:1,True
cdi_ca_1956_wk_prov_dbs_Part19_tables.csv,715,715,0,9:4;12:7;15:23;21:227;24:319;27:19;36:116;39:1,True
cdi_ca_1956_wk_prov_dbs_Part20_tables.csv,820,820,0,9:2;15:25;21:157;24:461;27:14;30:1;36:160;39:1,True
cdi_ca_1956_wk_prov_dbs_Part21_tables.csv,841,841,0,9:7;12:6;15:28;21:183;24:386;27:29;36:202;39:1,True
cdi_ca_1956_wk_prov_dbs_Part22_tables.csv,750,750,0,9:2;12:2;15:38;21:168;24:324;27:38;36:178;39:1,True
cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,804,804,0,9:17;12:5;15:18;21:119;24:402;27:70;36:173;39:1,True
