source_file,value_at_3,computed_sum,difference,values_used,matches
cdi_ca_1956_wk_prov_dbs_Part1_tables.csv,927,927,0,8:9;11:4;14:25;20:182;23:511;26:3;35:193,True
cdi_ca_1956_wk_prov_dbs_Part2_tables.csv,1369,1369,0,8:7;14:84;20:417;23:633;26:38;29:1;35:189,True
cdi_ca_1956_wk_prov_dbs_Part3_tables.csv,1145,1145,0,8:7;11:1;20:337;23:554;26:28;29:5;35:213,True
cdi_ca_1956_wk_prov_dbs_Part4_tables.csv,1345,1345,0,8:5;14:65;20:329;23:698;26:15;29:2;35:231,True
cdi_ca_1956_wk_prov_dbs_Part5_tables.csv,1285,1285,0,8:6;14:54;17:1;20:436;23:539;26:30;35:219,True
cdi_ca_1956_wk_prov_dbs_Part6_tables.csv,1279,1279,0,8:1;11:1;14:34;20:391;23:613;26:27;29:2;35:210,True
cdi_ca_1956_wk_prov_dbs_Part7_tables.csv,1303,1303,0,8:3;11:1;14:62;20:340;23:543;26:49;35:305,True
cdi_ca_1956_wk_prov_dbs_Part8_tables.csv,1199,1199,0,8:24;14:62;20:324;23:580;26:20;29:5;35:184,True
cdi_ca_1956_wk_prov_dbs_Part9_tables.csv,1224,1219,5,14:50;20:495;23:379;26:25;35:270,False
cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1111,1111,0,8:3;14:39;20:244;23:621;26:18;35:186,True
cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,1135,1135,0,8:1;14:30;20:276;23:579;26:29;35:220,True
cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,1028,1028,0,8:2;14:16;20:335;23:382;26:14;35:279,True
cdi_ca_1956_wk_prov_dbs_Part13_tables.csv,690,690,0,8:2;11:1;14:17;20:199;23:296;26:14;35:161,True
cdi_ca_1956_wk_prov_dbs_Part14_tables.csv,813,813,0,8:27;11:5;14:18;20:240;23:395;26:15;35:113,True
cdi_ca_1956_wk_prov_dbs_Part15_tables.csv,848,848,0,8:4;11:8;14:25;20:312;23:324;26:17;35:158,True
cdi_ca_1956_wk_prov_dbs_Part16_tables.csv,883,883,0,8:2;11:2;14:15;20:244;23:393;26:12;35:215,True
cdi_ca_1956_wk_prov_dbs_Part17_tables.csv,871,871,0,8:13;14:29;20:241;23:392;26:13;35:183,True
cdi_ca_1956_wk_prov_dbs_Part18_tables.csv,766,766,0,11:4;14:13;20:156;23:376;26:28;35:189,True
cdi_ca_1956_wk_prov_dbs_Part19_tables.csv,715,715,0,8:4;11:7;14:23;20:227;23:319;26:19;35:116,True
cdi_ca_1956_wk_prov_dbs_Part20_tables.csv,820,820,0,8:2;14:25;20:157;23:461;26:14;29:1;35:160,True
