source_file,value_at_3,computed_sum,difference,values_used,matches
cdi_ca_1956_wk_prov_dbs_Part1_tables.csv,1574,1574,0,9:55;12:69;15:86;21:95;24:1188;27:11;30:1;33:47;36:22,True
cdi_ca_1956_wk_prov_dbs_Part2_tables.csv,1634,1634,0,9:84;12:71;15:60;21:288;24:1005;27:38;30:14;33:19;36:55,True
cdi_ca_1956_wk_prov_dbs_Part3_tables.csv,1332,1332,0,9:23;12:28;21:292;24:856;27:40;30:15;33:25;36:53,True
cdi_ca_1956_wk_prov_dbs_Part4_tables.csv,1779,1779,0,9:49;12:20;15:87;21:386;24:954;27:49;30:19;33:105;36:110,True
cdi_ca_1956_wk_prov_dbs_Part5_tables.csv,1717,1717,0,9:10;12:13;15:102;21:446;24:985;27:62;30:5;33:57;36:37,True
cdi_ca_1956_wk_prov_dbs_Part6_tables.csv,1795,1795,0,9:18;12:17;15:54;21:672;24:822;27:85;30:19;33:52;36:56,True
cdi_ca_1956_wk_prov_dbs_Part7_tables.csv,1676,1676,0,12:37;15:100;21:374;24:828;27:52;30:6;33:129;36:150,True
cdi_ca_1956_wk_prov_dbs_Part8_tables.csv,1947,1947,0,9:1;12:3;15:65;21:521;24:1158;27:57;30:21;33:32;36:89,True
cdi_ca_1956_wk_prov_dbs_Part9_tables.csv,1852,1882,-30,9:5;12:13;15:59;21:782;24:802;27:61;30:2;33:47;36:111,False
cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1697,1697,0,9:16;12:15;15:103;21:390;24:949;27:39;30:16;33:39;36:130,True
cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,1323,1313,10,9:4;12:14;15:44;21:235;24:857;27:58;36:101,False
cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,1321,1321,0,9:7;15:35;21:441;24:614;27:52;30:3;33:14;36:155,True
cdi_ca_1956_wk_prov_dbs_Part13_tables.csv,1388,1388,0,9:2;12:15;15:40;21:634;24:531;27:33;33:4;36:129,True
cdi_ca_1956_wk_prov_dbs_Part14_tables.csv,1195,1195,0,9:4;12:22;15:58;21:511;24:529;27:28;30:3;33:9;36:31,True
cdi_ca_1956_wk_prov_dbs_Part15_tables.csv,1077,1077,0,9:11;12:10;15:35;21:315;24:594;27:15;33:9;36:88,True
cdi_ca_1956_wk_prov_dbs_Part16_tables.csv,1290,1290,0,9:6;12:15;15:41;21:319;24:725;27:29;33:22;36:133,True
cdi_ca_1956_wk_prov_dbs_Part17_tables.csv,1317,1309,8,12:20;15:29;21:518;24:554;27:22;33:22;36:144,False
cdi_ca_1956_wk_prov_dbs_Part18_tables.csv,1348,1348,0,9:3;12:24;15:16;21:379;24:733;27:18;33:24;36:151,True
cdi_ca_1956_wk_prov_dbs_Part19_tables.csv,1388,1388,0,9:25;12:14;15:46;21:546;24:501;27:47;30:1;33:54;36:154,True
cdi_ca_1956_wk_prov_dbs_Part20_tables.csv,1458,1448,10,9:3;12:24;15:27;21:319;24:957;27:41;36:77,False
cdi_ca_1956_wk_prov_dbs_Part21_tables.csv,1659,1659,0,9:4;12:11;15:21;21:568;24:861;27:42;33:18;36:134,True
