source_file,value_at_3,computed_sum,difference,values_used,matches
cdi_ca_1956_wk_prov_dbs_Part1_tables.csv,1574,1574,0,8:55;11:69;14:86;20:95;23:1188;26:11;29:1;32:47;35:22,True
cdi_ca_1956_wk_prov_dbs_Part2_tables.csv,1634,1634,0,8:84;11:71;14:60;20:288;23:1005;26:38;29:14;32:19;35:55,True
cdi_ca_1956_wk_prov_dbs_Part3_tables.csv,1332,1332,0,8:23;11:28;20:292;23:856;26:40;29:15;32:25;35:53,True
cdi_ca_1956_wk_prov_dbs_Part4_tables.csv,1779,1779,0,8:49;11:20;14:87;20:386;23:954;26:49;29:19;32:105;35:110,True
cdi_ca_1956_wk_prov_dbs_Part5_tables.csv,1717,1717,0,8:10;11:13;14:102;20:446;23:985;26:62;29:5;32:57;35:37,True
cdi_ca_1956_wk_prov_dbs_Part6_tables.csv,1795,1795,0,8:18;11:17;14:54;20:672;23:822;26:85;29:19;32:52;35:56,True
cdi_ca_1956_wk_prov_dbs_Part7_tables.csv,1676,1676,0,11:37;14:100;20:374;23:828;26:52;29:6;32:129;35:150,True
cdi_ca_1956_wk_prov_dbs_Part8_tables.csv,1947,1947,0,8:1;11:3;14:65;20:521;23:1158;26:57;29:21;32:32;35:89,True
cdi_ca_1956_wk_prov_dbs_Part9_tables.csv,1852,1882,-30,8:5;11:13;14:59;20:782;23:802;26:61;29:2;32:47;35:111,False
cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,1697,1697,0,8:16;11:15;14:103;20:390;23:949;26:39;29:16;32:39;35:130,True
cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,1323,1313,10,8:4;11:14;14:44;20:235;23:857;26:58;35:101,False
cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,1321,1321,0,8:7;14:35;20:441;23:614;26:52;29:3;32:14;35:155,True
cdi_ca_1956_wk_prov_dbs_Part13_tables.csv,1388,1388,0,8:2;11:15;14:40;20:634;23:531;26:33;32:4;35:129,True
cdi_ca_1956_wk_prov_dbs_Part14_tables.csv,1195,1195,0,8:4;11:22;14:58;20:511;23:529;26:28;29:3;32:9;35:31,True
cdi_ca_1956_wk_prov_dbs_Part15_tables.csv,1077,1077,0,8:11;11:10;14:35;20:315;23:594;26:15;32:9;35:88,True
cdi_ca_1956_wk_prov_dbs_Part16_tables.csv,1290,1290,0,8:6;11:15;14:41;20:319;23:725;26:29;32:22;35:133,True
cdi_ca_1956_wk_prov_dbs_Part17_tables.csv,1317,1317,0,8:8;11:20;14:29;20:518;23:554;26:22;32:22;35:144,True
cdi_ca_1956_wk_prov_dbs_Part18_tables.csv,1348,1348,0,8:3;11:24;14:16;20:379;23:733;26:18;32:24;35:151,True
cdi_ca_1956_wk_prov_dbs_Part19_tables.csv,1388,1388,0,8:25;11:14;14:46;20:546;23:501;26:47;29:1;32:54;35:154,True
cdi_ca_1956_wk_prov_dbs_Part20_tables.csv,1458,1448,10,8:3;11:24;14:27;20:319;23:957;26:41;35:77,False
cdi_ca_1956_wk_prov_dbs_Part21_tables.csv,1659,1659,0,8:4;11:11;14:21;20:568;23:861;26:42;32:18;35:134,True
cdi_ca_1956_wk_prov_dbs_Part22_tables.csv,1285,1285,0,8:5;11:13;14:18;20:497;23:560;26:24;32:42;35:126,True
cdi_ca_1956_wk_prov_dbs_Part23_tables.csv,1390,1390,0,8:1;11:16;14:26;20:415;23:658;26:35;29:1;32:26;35:212,True
cdi_ca_1956_wk_prov_dbs_Part24_tables.csv,1377,1377,0,8:4;11:16;14:22;20:456;23:695;26:26;32:30;35:128,True
cdi_ca_1956_wk_prov_dbs_Part25_tables.csv,1137,1137,0,8:2;11:12;14:20;20:190;23:762;26:38;32:37;35:76,True
cdi_ca_1956_wk_prov_dbs_Part26_tables.csv,698,698,0,8:2;11:19;14:18;20:141;23:452;26:14;32:25;35:27,True
cdi_ca_1956_wk_prov_dbs_Part27_tables.csv,1,1,0,35:1,True
cdi_ca_1956_wk_prov_dbs_Part28_tables.csv,4,4,0,20:1;23:1;35:2,True
