"Lag","Manual","Textract","Difference","Relative_Difference"
-12,0.021669736879671,0.0243526682343367,0.00268293135466563,0.123810056834726
-11,0.105708141597988,0.087120346615715,-0.0185877949822726,-0.175840712941135
-10,0.176015928546745,0.157062317865305,-0.01895361068144,-0.107681224295598
-9,0.247594275927667,0.219880837172593,-0.0277134387550732,-0.111930854020105
-8,0.333391818268985,0.321321962029809,-0.0120698562391767,-0.0362032166891348
-7,0.41797168343471,0.399554327465667,-0.018417355969043,-0.0440636452156211
-6,0.508738805116639,0.48913583766947,-0.0196029674471686,-0.0385324792408438
-5,0.576736678694432,0.53145553216671,-0.0452811465277217,-0.078512687332849
-4,0.628374341150991,0.587679127958853,-0.0406952131921383,-0.0647626908469831
-3,0.67454772479017,0.626380866586922,-0.0481668582032486,-0.0714061532387968
-2,0.747289712893716,0.700889664922377,-0.046400047971339,-0.0620911102759129
-1,0.809158168798445,0.776559617111255,-0.0325985516871902,-0.0402869957249486
0,0.858443238945533,0.832936847106327,-0.0255063918392066,-0.0297123801342268
1,0.837651673666747,0.807815243225932,-0.0298364304408147,-0.0356191378573965
2,0.81619571567975,0.768196307305119,-0.0479994083746309,-0.0588086992525508
3,0.790849831530474,0.738490731842742,-0.0523590996877318,-0.0662061210614473
4,0.766066484207916,0.741222306264894,-0.024844177943022,-0.032430837864823
5,0.722508187820424,0.666805913362317,-0.0557022744581073,-0.0770956999479039
6,0.66460118718093,0.610173496922296,-0.0544276902586343,-0.0818952648723104
7,0.623578058594421,0.553634928565394,-0.0699431300290267,-0.11216419350399
8,0.559472046458078,0.539527881758229,-0.0199441646998488,-0.035648188012452
9,0.494309290440733,0.466188894024763,-0.0281203964159707,-0.0568882619845121
10,0.436964944016599,0.399102354550723,-0.0378625894658761,-0.0866490321119165
11,0.389318163914609,0.338591885872452,-0.050726278042157,-0.130295174343016
12,0.32762370694346,0.309130421147116,-0.0184932857963445,-0.0564467265475875
