"Lag","Manual","Textract","Difference","Relative_Difference"
-12,0.293725612169196,0.291886919264833,-0.00183869290436367,-0.0062598998118847
-11,0.365521104734688,0.363789200802799,-0.00173190393188899,-0.00473817765774724
-10,0.438403360753018,0.437341073849536,-0.00106228690348148,-0.00242308111337663
-9,0.498530315988494,0.499389971876457,0.000859655887963162,0.00172438036442904
-8,0.55317189686841,0.553476761601124,0.000304864732714627,0.000551121151382622
-7,0.613316224991863,0.611213679857772,-0.00210254513409158,-0.00342815834379643
-6,0.671993899561758,0.67104807367732,-0.000945825884437701,-0.00140749177195585
-5,0.710725909010634,0.708170108993317,-0.00255580001731714,-0.00359604171582115
-4,0.755375555279283,0.75427016462715,-0.00110539065213289,-0.00146336566547245
-3,0.790902502665313,0.785663106617071,-0.00523939604824197,-0.00662457892165646
-2,0.824626985646256,0.81457897526478,-0.0100480103814755,-0.0121849157938979
-1,0.87057563774804,0.870331284237376,-0.000244353510663764,-0.000280680391305051
0,0.898307137047789,0.897422744662575,-0.000884392385213983,-0.000984510028630592
1,0.849435153000333,0.844802157003674,-0.0046329959966589,-0.00545420798785458
2,0.797751072627859,0.787785509185026,-0.00996556344283239,-0.0124920715054697
3,0.756739153753537,0.74481861717912,-0.0119205365744172,-0.0157525040369453
4,0.724451421732001,0.711533933804517,-0.0129174879274837,-0.0178307165118137
5,0.687897941075888,0.673419150318827,-0.0144787907570602,-0.0210478762800409
6,0.629787784788774,0.61773870490762,-0.0120490798811546,-0.0191319682156041
7,0.561105248375211,0.551148885677224,-0.00995636269798628,-0.0177441981282778
8,0.472095702831609,0.464293867514685,-0.0078018353169248,-0.016525961304307
9,0.39540480488752,0.38958376820113,-0.00582103668638989,-0.0147217145933413
10,0.336181561433959,0.326479828449071,-0.0097017329848873,-0.0288586112322914
11,0.25914213981068,0.245671272006434,-0.0134708678042456,-0.0519825444602986
12,0.181924529154937,0.167674339750459,-0.0142501894044786,-0.078330225564813
