1,Chickenpox,377,632,609,24967,22956,29323,1,4,2,8,6,5,23,27,31,..,..,1,33,93,65,205,343,265,20,33,29,1,..,45,..,..,6,86,126,103,1
2,Diphtheria,2,-,1,50,54,81,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,2
3,Dysentery: 4,8,16,12,308,258,258,-,-,-,-,-,-,-,-,-,..,..,..,..,1,1,-,2,-,-,-,-,-,-,-,-,-,-,8,13,5,3
4,(a) Amoebic,-,-,-,-,1,6,-,-,-,-,-,-,-,-,-,..,..,..,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
5,(b) Bacillary,8,16,12,308,257,257,-,-,-,-,-,-,-,-,-,..,..,..,..,1,1,-,2,-,-,-,-,-,-,-,-,-,-,8,13,5,5
6,"Encephalitis, infectious",1,1,1,10,11,16,-,-,-,..,..,..,-,-,-,-,-,-,..,..,..,..,..,..,-,-,-,1,1,-,-,-,-,-,-,-,6
7,"Influenza, epidemic",133,168,35,7902,36025,8814,..,..,..,97,140,..,35,26,21,-,-,-,-,-,-,-,1,-,1,1,1,-,-,-,..,..,..,-,-,3,7
8,Measles,698,1137,821,38022,40340,43584,2,2,3,19,12,6,18,20,16,..,..,2,141,190,187,452,762,222,14,38,23,..,..,22,25,37,101,27,76,160,8
9,"Meningitis, meningococcal",4,8,6,170,163,160,-,-,-,..,..,..,1,2,-,-,-,-,-,-,-,1,-,1,-,1,1,-,2,-,..,..,..,2,3,-,9
10,Mumps,295,417,314,20386,13707,26769,-,-,1,10,8,-,-,3,4,..,..,..,23,45,36,193,259,130,9,21,15,..,..,24,..,..,11,60,81,67,10
11,"Poliomyelitis, epidemic: 4",2,2,29,72,152,152,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,-,9,-,-,1,1,-,1,-,-,3,-,1,4,11
12,(a) With paralysis,2,2,13,45,93,93,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,-,3,-,-,-,1,-,-,-,-,-,-,1,2,12
13,(b) Without paralysis,-,-,13,21,49,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,1,-,-,-,-,-,-,-,-,2,13
14,Rubella,566,974,172,47524,16777,8474,-,1,-,..,..,..,12,38,8,..,..,..,70,152,12,208,497,57,2,1,-,..,..,2,19,19,10,255,266,34,14
15,"Scarlet fever, etc. 5 **",172,170,200,8030,5731,8862,1,1,6,21,7,3,66,34,-,-,-,1,6,16,38,58,85,30,1,3,8,1,3,9,4,10,24,14,11,21,15
16,Smallpox,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
17,"Tuberculosis: 4,6",171,167,185,4596,4773,5295,8,10,8,1,1,-,1,1,4,14,3,11,41,54,70,13,24,26,17,6,14,10,-,7,24,28,16,42,40,20,17
18,(a) Pulmonary,145,134,163,3745,3865,4221,8,10,8,-,1,-,1,1,4,13,-,11,40,53,69,(6),(6),(6),16,6,14,8,-,6,23,26,14,36,37,18,18
19,(b) Non-pulmonary,13,9,6,276,310,259,-,-,-,1,-,-,-,-,-,1,3,-,1,1,2,(6),(6),(6),1,-,-,2,-,1,1,2,2,6,3,1,19
20,Typhoid and paratyphoid,6,11,4,203,127,224,1,2,-,-,-,-,-,-,-,1,-,-,1,5,1,1,1,-,-,-,-,1,-,-,-,-,-,1,3,-,20
21,Undulant fever,-,3,2,76,57,62,-,-,-,-,-,-,-,-,-,..,..,..,..,1,1,-,1,1,-,1,-,-,-,-,..,..,..,-,-,-,21
22,Venereal diseases:,273,282,328,7961,8305,8770,2,-,6,-,-,-,2,8,6,6,2,8,46,50,85,29,46,57,17,21,28,30,23,20,54,56,42,87,76,61,22
23,"(a) Syphilis, primary",1,2,5,50,58,109,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,1,-,1,-,1,-,-,-,-,23
24,(b) '' secondary,1,1,1,23,20,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,24
25,(c) '' other,30,36,45,952,1187,1368,-,-,2,-,-,-,-,-,2,-,-,-,14,19,25,5,5,9,2,-,1,2,4,2,1,2,1,6,6,2,25
26,(d) Gonorrhoea,241,242,265,6935,7027,7027,2,-,5,-,-,-,2,8,2,6,2,5,32,31,58,24,40,40,15,20,27,27,19,16,52,52,41,81,70,61,26
27,(e) Other venereal diseases 8,-,1,-,1,13,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,93,130,123,4480,7032,4344,-,-,1,13,39,-,2,3,-,-,-,1,23,54,31,9,10,33,16,8,5,5,-,5,1,5,21,24,11,19,28
