DOMINION BUREAU OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH AND WELFARE DIVISION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Summary of Cases of Notifiable Diseases in Canada, as reported by the Provincial Health Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"for the week ended August 31, 1957, in comparison with the previous week 1, and the 5 year (1952-56) Median",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,DISEASE,CANADA 2,,,,,,NFLD.,,,P.E.I.,,,N.S,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,,No. ,,,,,,,,,,,
,,Report Week,Previous Week,Median 1952-56,Cumulative Total 3,,,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week,Previous Week,Median 1952-56,Report Week ,Previous Week,Median 1952-56,,,,,,,,,,,,
,,,,,1957,1956,Median 1952-1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chickenpox,109,74,98,27103,26689,28669,..,..,..,..,2,..,2,3,5,..,..,..,60,8,14,27,26,33,8,4,13,..,..,..,..,..,..,12,26,20,1,,,,,,,,,,,
2,Diphtheria,4,5,-,92,63,68,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,3,4,-,-,-,-,2,,,,,,,,,,,
3,Dysentery: 4,8,6,18,423,427,432,-,-,-,-,-,-,-,-,-,2,-,-,1,..,..,1,-,3,-,1,-,-,-,-,2,2,-,2,3,6,3,,,,,,,,,,,
4,(a) Amoebic,-,2,-,6,-,4,-,-,-,-,-,-,-,-,-,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,4,,,,,,,,,,,
5,(b) Bacillary,8,4,18,417,427,430,-,-,-,-,-,-,-,-,-,2,-,-,1,..,..,1,-,3,-,1,-,-,-,-,2,2,-,2,1,6,5,,,,,,,,,,,
6,"Encephalitis, infectious",1,-,1,23,22,22,-,-,-,..,..,..,-,-,-,-,-,-,..,..,..,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,6,,,,,,,,,,,
7,"Influenza, epidemic",171,370,46,4284,3801,8801,..,..,..,81,63,-,84,300,40,..,..,..,-,-,-,2,1,3,-,-,2,-,-,-,..,..,..,4,4,-,7,,,,,,,,,,,
8,Measles,94,198,159,45343,41265,43678,-,-,1,2,2,..,12,56,9,..,..,..,3,9,20,13,40,50,14,22,9,..,..,..,35,59,24,15,10,24,8,,,,,,,,,,,
9,"Meningitis, Meningococcal",5,10,5,230,199,199,4,6,-,-,-,-,-,-,-,-,1,-,-,2,-,1,-,2,-,-,-,-,-,-,..,..,..,-,1,-,9,,,,,,,,,,,
10,Mumps,51,73,115,19559,21653,21652,..,..,..,..,..,..,8,10,2,..,..,..,3,6,..,36,43,67,2,8,10,..,..,..,..,..,..,2,6,18,10,,,,,,,,,,,
11,"Poliomyelitis, epidemic: 4",13,18,128,157,263,1214,-,-,-,-,-,-,-,-,3,2,1,6,1,9,15,-,-,21,-,-,5,1,1,8,4,4,20,5,3,8,11,,,,,,,,,,,
12,(a) With paralysis,6,12,57,93,152,511,-,-,-,-,-,-,-,-,3,-,-,1,-,6,7,-,-,10,-,-,2,1,1,3,2,4,3,3,1,5,12,,,,,,,,,,,
13,(b) Without paralysis,7,6,50,57,104,375,-,-,-,-,-,-,-,-,-,2,1,6,1,3,4,-,-,16,-,-,3,-,-,4,2,-,6,2,2,8,13,,,,,,,,,,,
14,Rubella,57,63,28,15437,48927,9035,-,-,-,..,..,..,2,18,2,..,..,..,10,4,1,11,12,7,-,2,-,..,..,..,19,19,8,15,8,8,14,,,,,,,,,,,
15,"Scarlet fever, etc. 5 **",51,94,74,6156,8878,9419,6,4,1,2,6,3,19,68,12,-,-,1,2,2,14,7,6,9,4,2,2,-,-,6,3,4,2,8,2,3,15,,,,,,,,,,,
